,neighbors,accuracy,auc,average_precision,recall,log_loss,train_time,test_time,predict_time
0,1.0,0.9328687572590012,0.9328682352651144,0.9063588484004109,0.9261266842186774,2.3186551279431162,2.494741,696.921287,678.384396
1,2.0,0.9320170344560589,0.9320131610823451,0.9233833216274294,0.8819885395694596,2.3480556274125814,2.107129,695.716367,695.823408
2,3.0,0.9419279907084785,0.9419264795438083,0.9241865738100548,0.9224097878271643,2.0057515598871962,2.076688,703.492881,702.676723
3,4.0,0.9371273712737127,0.937124073479784,0.9274243197353902,0.8945330648908162,2.1715517754495424,2.078725,706.343834,708.216971
4,5.0,0.9417731320170345,0.9417712371520043,0.926083030992662,0.9172990552888338,2.0110982703223095,2.078925,709.389611,711.238339
5,6.0,0.9363530778164925,0.9363499358958156,0.9253857668917779,0.8957720303546539,2.1982960384540213,2.072865,711.933566,713.848991
6,7.0,0.9423151374370886,0.9423129607960381,0.9284443134764104,0.9142016416292396,1.9923763946819693,2.070857,714.006526,715.780731
7,8.0,0.9376693766937669,0.937666276748107,0.927050537198722,0.8976304785504104,2.152832376301437,2.076899,715.726661,717.525713
8,9.0,0.9429345722028649,0.9429321677439907,0.9306393794846908,0.9118785813845439,1.9709804518325553,2.073047,717.478065,719.416859
9,10.0,0.9376693766937669,0.937666168832642,0.92768337753879,0.896236642403593,2.152831819090684,2.079282,719.250489,722.328642
