,neighbors,accuracy,auc,average_precision,recall,log_loss,train_time,test_time,predict_time
0,1.0,0.9354239256678281,0.9354618388252202,0.9103769745762332,0.9301968019680197,2.230402118496244,1.279291,514.646719,481.155904
1,2.0,0.9311653116531166,0.9315035461421531,0.9219613586695317,0.8845325953259533,2.3774744529245817,1.182233,484.823082,485.089635
2,3.0,0.9435540069686411,0.9436809988712896,0.9266665912723778,0.9260455104551045,1.9495908859506457,1.187239,487.79674,488.228148
3,4.0,0.9379016647309331,0.9381794709968625,0.9278215359832169,0.89960024600246,2.144809741288074,1.190447,489.517888,509.736725
4,5.0,0.9465737514518002,0.9467337978831356,0.9329094015402025,0.9245079950799509,1.8452895727740606,1.184479,490.468204,490.699929
5,6.0,0.9400696864111499,0.9403331077063695,0.9300259542114647,0.9037515375153752,2.0699288633434416,1.192014,491.86685,491.419539
6,7.0,0.9463414634146341,0.9465210135255306,0.933772724600208,0.9215867158671587,1.8533115267520583,1.18385,491.894032,491.998112
7,8.0,0.9406116918312041,0.9408578558761722,0.9297220167241649,0.9066728167281672,2.05120940228303,1.203054,492.60483,492.824412
8,9.0,0.9466511807975223,0.9468307469691449,0.9342147514308002,0.9218942189421894,1.8426141434942576,1.187,493.186483,493.575479
9,10.0,0.9413859852884243,0.9416299591166244,0.9306929734628385,0.9077490774907749,2.0244660679631385,1.19451,493.798589,493.928352
