global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.972203,0.510337,0.990008,0.992031,16.5985,0.129806,0.510337,0.498405,1.16882
00020000,0.970809,0.510337,0.988677,0.990962,19.8671,0.155368,0.510337,0.501368,1.17097
00030000,0.968796,0.510337,0.986752,0.990484,24.4825,0.191462,0.510337,0.492831,1.15437
00040000,0.971971,0.510337,0.98722,0.99112,22.7881,0.178212,0.510337,0.495944,1.1401
00050000,0.971661,0.510337,0.987514,0.990996,23.7846,0.186004,0.510337,0.496257,1.15893
00060000,0.971506,0.510337,0.986509,0.990208,24.9728,0.195296,0.510337,0.498404,1.18525
00070000,0.970964,0.510337,0.986004,0.990178,25.3897,0.198557,0.510337,0.496448,1.15416
00080000,0.971119,0.510337,0.986218,0.990681,25.9093,0.20262,0.510337,0.493365,1.14048
00090000,0.971816,0.510337,0.986787,0.990797,25.6733,0.200775,0.510337,0.496036,1.17695
00100000,0.974061,0.510337,0.988107,0.991526,23.95,0.187297,0.510337,0.498257,1.17001
00110000,0.97259,0.510337,0.986118,0.990201,26.3747,0.20626,0.510337,0.497899,1.18368
00120000,0.972048,0.510337,0.986053,0.990496,27.2791,0.213332,0.510337,0.496837,1.1623
00130000,0.973751,0.510337,0.98722,0.990955,24.8241,0.194133,0.510337,0.498975,1.1887
00140000,0.971816,0.510337,0.987304,0.99113,25.2775,0.197679,0.510337,0.495726,1.18418
00150000,0.971971,0.510337,0.987324,0.991294,24.7701,0.193711,0.510337,0.497453,1.18158
00160000,0.967944,0.510337,0.98533,0.990352,28.8675,0.225755,0.510337,0.488714,1.19346
00170000,0.969106,0.510337,0.985622,0.990565,27.967,0.218712,0.510337,0.491898,1.19817
00180000,0.9729,0.510337,0.986927,0.990831,25.4512,0.199037,0.510337,0.499688,1.17994
00190000,0.968873,0.510337,0.985549,0.990579,27.886,0.218079,0.510337,0.490019,1.19157
00200000,0.969338,0.510337,0.985161,0.990144,28.0308,0.219211,0.510337,0.491156,1.17152
00210000,0.971971,0.510337,0.985716,0.990284,26.6088,0.208091,0.510337,0.495745,1.17436
00220000,0.972435,0.510337,0.986456,0.990882,25.7814,0.20162,0.510337,0.496032,1.17876
00230000,0.968719,0.510337,0.986206,0.990804,27.3175,0.213633,0.510337,0.490131,1.17057
00240000,0.973829,0.510337,0.987889,0.991169,23.5968,0.184535,0.510337,0.502614,1.17311
00250000,0.974835,0.510337,0.987975,0.991163,23.3459,0.182574,0.510337,0.50292,1.16842
00260000,0.972435,0.510337,0.986717,0.990696,25.9886,0.20324,0.510337,0.497403,1.18371
00270000,0.973597,0.510337,0.98678,0.990974,26.0832,0.20398,0.510337,0.498194,1.1888
00280000,0.973906,0.510337,0.98669,0.991035,26.0394,0.203638,0.510337,0.49739,1.19116
00290000,0.973906,0.510337,0.986208,0.99076,26.9646,0.210873,0.510337,0.498451,1.19158
00300000,0.973364,0.510337,0.98649,0.990831,26.4673,0.206984,0.510337,0.497758,1.18936
