global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.96415,0.510337,0.984264,0.988514,27.1165,0.212061,0.510337,0.496183,0.417878,1.5e-05
00020000,0.965699,0.510337,0.981961,0.987587,32.9787,0.257906,0.510337,0.495279,0.41809,1.3e-05
00030000,0.967635,0.510337,0.983849,0.988695,32.4744,0.253961,0.510337,0.499751,0.419793,1.7e-05
00040000,0.965079,0.510337,0.983642,0.98821,33.4245,0.261392,0.510337,0.502951,0.418578,1.4e-05
00050000,0.968796,0.510337,0.982879,0.988407,36.8716,0.288349,0.510337,0.49744,0.420173,1.4e-05
00060000,0.964073,0.510337,0.982819,0.988074,33.9627,0.2656,0.510337,0.496202,0.419532,1.4e-05
00070000,0.96686,0.510337,0.981658,0.987594,39.9004,0.312036,0.510337,0.494512,0.413584,1.1e-05
00080000,0.964537,0.510337,0.981264,0.987483,42.4315,0.33183,0.510337,0.492742,0.417161,1.8e-05
00090000,0.969106,0.510337,0.981844,0.987609,39.1371,0.306067,0.510337,0.49845,0.421518,1.3e-05
00100000,0.968564,0.510337,0.981701,0.987796,41.6848,0.32599,0.510337,0.496018,0.419659,1.2e-05
00110000,0.967557,0.510337,0.982671,0.987512,37.0891,0.29005,0.510337,0.500271,0.420432,1.5e-05
00120000,0.966628,0.510337,0.981329,0.987098,43.2441,0.338185,0.510337,0.498789,0.413113,3.5e-05
00130000,0.967635,0.510337,0.980663,0.986799,47.7421,0.37336,0.510337,0.498683,0.419235,1.6e-05
00140000,0.966163,0.510337,0.982202,0.987839,41.015,0.320752,0.510337,0.497089,0.422072,1.3e-05
00150000,0.966705,0.510337,0.981878,0.987576,44.1104,0.344959,0.510337,0.497213,0.417889,1.3e-05
00160000,0.968331,0.510337,0.979483,0.986726,54.1684,0.423616,0.510337,0.49564,0.417794,1.3e-05
00170000,0.967247,0.510337,0.98082,0.98733,52.0014,0.40667,0.510337,0.49507,0.42183,1.4e-05
00180000,0.967093,0.510337,0.98017,0.986499,54.0317,0.422547,0.510337,0.498236,0.417013,1.2e-05
00190000,0.96748,0.510337,0.979525,0.986084,52.9515,0.4141,0.510337,0.498615,0.421316,1.4e-05
00200000,0.96446,0.510337,0.978408,0.985771,57.0436,0.446102,0.510337,0.494602,0.418579,1.1e-05
00210000,0.966551,0.510337,0.979903,0.986577,50.2005,0.392586,0.510337,0.496629,0.411004,1.4e-05
00220000,0.965157,0.510337,0.979235,0.986329,56.3273,0.4405,0.510337,0.492867,0.415417,1.3e-05
00230000,0.964073,0.510337,0.977483,0.985357,56.942,0.445307,0.510337,0.494031,0.418298,1.4e-05
00240000,0.96717,0.510337,0.982158,0.987012,49.8592,0.389917,0.510337,0.50307,0.417212,1.2e-05
00250000,0.965389,0.510337,0.979076,0.986077,61.5268,0.481162,0.510337,0.493478,0.418603,1.4e-05
00260000,0.966705,0.510337,0.979747,0.986479,61.0307,0.477282,0.510337,0.497448,0.419738,1.3e-05
00270000,0.965312,0.510337,0.97867,0.984579,60.8519,0.475884,0.510337,0.504733,0.418605,1.3e-05
00280000,0.966705,0.510337,0.9782,0.985458,63.0291,0.492911,0.510337,0.494872,0.415075,1.3e-05
00290000,0.966318,0.510337,0.977639,0.985338,66.6517,0.521241,0.510337,0.494559,0.416644,1.3e-05
00300000,0.965776,0.510337,0.978696,0.985828,60.0394,0.46953,0.510337,0.49479,0.419199,1.3e-05
