global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.966318,0.510337,0.98676,0.989805,20.7593,0.162345,0.510337,0.503464,0.492305,1.2e-05
00020000,0.968409,0.510337,0.98654,0.990424,21.0458,0.164586,0.510337,0.49962,0.486507,1.2e-05
00030000,0.968564,0.510337,0.988064,0.991226,21.7819,0.170342,0.510337,0.49734,0.479604,1.3e-05
00040000,0.971816,0.510337,0.987207,0.990919,21.795,0.170445,0.510337,0.500193,0.478908,1.7e-05
00050000,0.973132,0.510337,0.988125,0.990983,21.6305,0.169159,0.510337,0.505148,0.481577,1.4e-05
00060000,0.973519,0.510337,0.98696,0.990978,24.2849,0.189917,0.510337,0.500171,0.487808,1.2e-05
00070000,0.9729,0.510337,0.988233,0.991457,20.2977,0.158735,0.510337,0.498866,0.478536,1.5e-05
00080000,0.971893,0.510337,0.986626,0.990331,26.3904,0.206382,0.510337,0.502301,0.487255,1.6e-05
00090000,0.974216,0.510337,0.986286,0.990363,28.089,0.219666,0.510337,0.500224,0.488351,1.5e-05
00100000,0.973519,0.510337,0.986724,0.990823,28.2249,0.220729,0.510337,0.50119,0.488699,1.2e-05
00110000,0.973751,0.510337,0.984766,0.989928,33.841,0.264649,0.510337,0.497363,0.487958,1.2e-05
00120000,0.974526,0.510337,0.985088,0.989827,32.5451,0.254514,0.510337,0.500774,0.485296,1.3e-05
00130000,0.974371,0.510337,0.987183,0.991235,29.0381,0.227089,0.510337,0.500748,0.484785,1.1e-05
00140000,0.972435,0.510337,0.983595,0.989016,34.7426,0.2717,0.510337,0.497112,0.488708,1.5e-05
00150000,0.974139,0.510337,0.985107,0.989844,37.368,0.292232,0.510337,0.503156,0.485909,1.4e-05
00160000,0.974603,0.510337,0.985089,0.990118,36.4628,0.285153,0.510337,0.498548,0.484473,1.4e-05
00170000,0.973674,0.510337,0.984508,0.989584,38.5352,0.301359,0.510337,0.498747,0.48634,1.3e-05
00180000,0.974603,0.510337,0.984887,0.989437,43.6993,0.341744,0.510337,0.503057,0.481171,1.3e-05
00190000,0.975377,0.510337,0.984654,0.989398,43.6922,0.341689,0.510337,0.504912,0.486639,1.4e-05
00200000,0.973906,0.510337,0.984997,0.989874,39.4143,0.308234,0.510337,0.501277,0.490063,1.3e-05
00210000,0.973829,0.510337,0.98387,0.989372,55.254,0.432106,0.510337,0.498779,0.481416,1.3e-05
00220000,0.973674,0.510337,0.984688,0.989317,48.9475,0.382787,0.510337,0.505497,0.490005,1.5e-05
00230000,0.97499,0.510337,0.984336,0.989737,47.3306,0.370142,0.510337,0.499478,0.483291,1.3e-05
00240000,0.975145,0.510337,0.983816,0.988996,52.9953,0.414442,0.510337,0.503439,0.484834,1.6e-05
00250000,0.974448,0.510337,0.982745,0.988782,66.252,0.518115,0.510337,0.498735,0.484112,1.2e-05
00260000,0.973984,0.510337,0.98251,0.988402,75.2065,0.588142,0.510337,0.501494,0.486431,1.3e-05
00270000,0.973442,0.510337,0.983675,0.989307,61.1442,0.47817,0.510337,0.497809,0.484311,1.5e-05
00280000,0.973132,0.510337,0.983717,0.989223,61.969,0.48462,0.510337,0.498925,0.483835,2.3e-05
00290000,0.975842,0.510337,0.984967,0.989998,58.5989,0.458265,0.510337,0.501459,0.484124,1.2e-05
00300000,0.973906,0.510337,0.984739,0.989537,61.535,0.481226,0.510337,0.504136,0.486352,1.6e-05
