global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.941773,0.510337,0.984268,0.981332,25.1117,0.196383,0.510337,0.581056,0.868625
00020000,0.952691,0.510337,0.987774,0.986136,20.4002,0.159537,0.510337,0.563844,0.881145
00030000,0.947348,0.510337,0.988778,0.987278,21.7206,0.169863,0.510337,0.582766,0.852537
00040000,0.946264,0.510337,0.988877,0.987083,22.0733,0.172621,0.510337,0.584691,0.880934
00050000,0.96717,0.510337,0.990068,0.988193,16.0219,0.125297,0.510337,0.54267,0.886633
00060000,0.955014,0.510337,0.989938,0.988363,18.8594,0.147487,0.510337,0.565437,0.866514
00070000,0.965234,0.510337,0.990447,0.988692,16.3596,0.127938,0.510337,0.544922,0.85927
00080000,0.962369,0.510337,0.99003,0.988706,17.3308,0.135533,0.510337,0.555212,0.859427
00090000,0.966318,0.510337,0.990329,0.988763,16.2845,0.12735,0.510337,0.546235,0.861223
00100000,0.967712,0.510337,0.990352,0.988633,15.7154,0.1229,0.510337,0.533036,0.856958
00110000,0.967789,0.510337,0.990052,0.988737,16.1051,0.125948,0.510337,0.53142,0.854628
00120000,0.966783,0.510337,0.990507,0.989219,16.3008,0.127478,0.510337,0.544311,0.859991
00130000,0.970654,0.510337,0.990333,0.989187,15.7279,0.122998,0.510337,0.523015,0.856181
00140000,0.968022,0.510337,0.990764,0.989903,16.3426,0.127805,0.510337,0.540431,0.865031
00150000,0.972358,0.510337,0.990686,0.989865,15.5812,0.12185,0.510337,0.528972,0.873958
00160000,0.971583,0.510337,0.990617,0.989742,15.8233,0.123744,0.510337,0.525946,0.871871
00170000,0.96988,0.510337,0.990477,0.990061,16.1708,0.126462,0.510337,0.539493,0.862967
00180000,0.970422,0.510337,0.990134,0.989701,17.1316,0.133975,0.510337,0.52973,0.858462
00190000,0.972125,0.510337,0.990299,0.989623,15.8889,0.124257,0.510337,0.526008,0.855264
00200000,0.969725,0.510337,0.990486,0.990015,16.5408,0.129355,0.510337,0.542222,0.860463
00210000,0.971196,0.510337,0.990385,0.989949,16.3487,0.127853,0.510337,0.531562,0.868392
00220000,0.967557,0.510337,0.989726,0.989726,17.8918,0.139921,0.510337,0.543329,0.871349
00230000,0.967789,0.510337,0.990227,0.989796,17.1369,0.134017,0.510337,0.536655,0.860477
00240000,0.971274,0.510337,0.989528,0.989587,17.9081,0.140048,0.510337,0.521272,0.878649
00250000,0.970035,0.510337,0.989913,0.990058,16.8817,0.132021,0.510337,0.532388,0.866765
00260000,0.970887,0.510337,0.989866,0.989873,17.0852,0.133612,0.510337,0.523518,0.890049
00270000,0.971506,0.510337,0.990228,0.9902,17.652,0.138045,0.510337,0.523884,0.859723
00280000,0.970577,0.510337,0.989491,0.99007,19.7275,0.154276,0.510337,0.522074,0.866374
00290000,0.972125,0.510337,0.989795,0.990167,18.0869,0.141446,0.510337,0.530103,0.867294
00300000,0.972745,0.510337,0.990111,0.990465,17.703,0.138444,0.510337,0.521431,0.860978
