global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.960434,0.510337,0.984674,0.988424,23.8181,0.186266,0.510337,0.497625,0.759424
00020000,0.962834,0.510337,0.982327,0.988491,29.3456,0.229493,0.510337,0.489629,0.750878
00030000,0.967247,0.510337,0.985381,0.989497,24.4258,0.191019,0.510337,0.50117,0.759558
00040000,0.968099,0.510337,0.984272,0.988516,26.1407,0.204429,0.510337,0.50509,0.7541
00050000,0.965931,0.510337,0.982555,0.987404,28.9396,0.226319,0.510337,0.503004,0.761994
00060000,0.966938,0.510337,0.981637,0.987517,29.7519,0.232671,0.510337,0.496166,0.759397
00070000,0.965466,0.510337,0.980211,0.987232,39.9245,0.312224,0.510337,0.494052,0.760089
00080000,0.968719,0.510337,0.983319,0.988177,28.9869,0.226688,0.510337,0.502585,0.758876
00090000,0.968564,0.510337,0.981271,0.987388,36.4539,0.285082,0.510337,0.498472,0.773133
00100000,0.968796,0.510337,0.980909,0.987317,38.8525,0.30384,0.510337,0.497343,0.757873
00110000,0.96957,0.510337,0.983456,0.98823,33.4883,0.261891,0.510337,0.50348,0.760347
00120000,0.968022,0.510337,0.985456,0.988918,29.4317,0.230167,0.510337,0.508902,0.762914
00130000,0.968796,0.510337,0.981241,0.986973,39.4614,0.308602,0.510337,0.501466,0.754208
00140000,0.969648,0.510337,0.981443,0.987216,42.5756,0.332957,0.510337,0.500732,0.760085
00150000,0.968331,0.510337,0.980586,0.986808,43.0295,0.336506,0.510337,0.499782,0.755262
00160000,0.970964,0.510337,0.980834,0.987178,48.6187,0.380216,0.510337,0.498775,0.768265
00170000,0.969415,0.510337,0.980561,0.987011,48.3135,0.377829,0.510337,0.499524,0.766805
00180000,0.967247,0.510337,0.979297,0.986317,49.3702,0.386093,0.510337,0.496968,0.758899
00190000,0.968719,0.510337,0.979019,0.985778,57.3524,0.448516,0.510337,0.501651,0.759802
00200000,0.967712,0.510337,0.97892,0.986085,51.4983,0.402736,0.510337,0.498579,0.770694
00210000,0.965931,0.510337,0.979783,0.986742,47.1187,0.368486,0.510337,0.497715,0.765169
00220000,0.96957,0.510337,0.981739,0.987325,41.6389,0.325631,0.510337,0.500099,0.7652
00230000,0.967867,0.510337,0.981222,0.987058,46.1463,0.360881,0.510337,0.498642,0.765054
00240000,0.968796,0.510337,0.97817,0.985173,63.2088,0.494316,0.510337,0.501225,0.758358
00250000,0.964925,0.510337,0.979641,0.986507,37.3556,0.292134,0.510337,0.495751,0.753983
00260000,0.968099,0.510337,0.978601,0.985767,56.3277,0.440503,0.510337,0.49858,0.762716
00270000,0.968564,0.510337,0.980128,0.986537,49.441,0.386646,0.510337,0.49872,0.754545
00280000,0.966086,0.510337,0.980332,0.986531,47.4225,0.370861,0.510337,0.497187,0.761328
00290000,0.967789,0.510337,0.979388,0.986675,57.3508,0.448504,0.510337,0.49486,0.765231
00300000,0.964847,0.510337,0.977792,0.983349,68.2981,0.534116,0.510337,0.510189,0.758492
