global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.962679,0.510337,0.982705,0.987017,27.1633,0.212427,0.510337,0.500809,0.537371,1.5e-05
00020000,0.965466,0.510337,0.985261,0.989102,27.269,0.213253,0.510337,0.506415,0.537476,1.5e-05
00030000,0.960434,0.510337,0.979988,0.987132,35.7515,0.279589,0.510337,0.48444,0.532985,1.2e-05
00040000,0.967247,0.510337,0.982736,0.988783,31.4107,0.245643,0.510337,0.493071,0.538433,1.5e-05
00050000,0.968796,0.510337,0.983944,0.988996,31.8495,0.249075,0.510337,0.4968,0.532215,1.2e-05
00060000,0.968254,0.510337,0.98307,0.988197,32.4511,0.25378,0.510337,0.500643,0.537473,1.3e-05
00070000,0.969493,0.510337,0.982189,0.987677,41.8047,0.326928,0.510337,0.500641,0.53431,1.3e-05
00080000,0.965157,0.510337,0.980914,0.987564,38.6999,0.302648,0.510337,0.490341,0.534021,1.3e-05
00090000,0.968099,0.510337,0.978824,0.986658,55.7741,0.436174,0.510337,0.494859,0.532879,1.3e-05
00100000,0.966551,0.510337,0.978899,0.986705,75.112,0.587403,0.510337,0.49346,0.533855,1.4e-05
00110000,0.965389,0.510337,0.975712,0.984753,74.8397,0.585273,0.510337,0.492487,0.533966,1.5e-05
00120000,0.97019,0.510337,0.981247,0.987175,62.3126,0.487308,0.510337,0.501627,0.539509,1.6e-05
00130000,0.968951,0.510337,0.980185,0.98732,60.8798,0.476103,0.510337,0.494704,0.52901,1.5e-05
00140000,0.972358,0.510337,0.978964,0.985876,70.1969,0.548966,0.510337,0.502791,0.536761,1.5e-05
00150000,0.970112,0.510337,0.981523,0.987548,71.5007,0.559162,0.510337,0.500806,0.53203,1.2e-05
00160000,0.969183,0.510337,0.97824,0.986106,61.2339,0.478871,0.510337,0.496625,0.53576,1.3e-05
00170000,0.968331,0.510337,0.976285,0.984873,76.6215,0.599208,0.510337,0.49731,0.539223,1.2e-05
00180000,0.970732,0.510337,0.978566,0.986288,78.405,0.613155,0.510337,0.499329,0.537861,1.3e-05
00190000,0.969106,0.510337,0.97765,0.985473,76.7671,0.600347,0.510337,0.498029,0.528487,1.3e-05
00200000,0.970035,0.510337,0.977295,0.985266,83.589,0.653696,0.510337,0.499863,0.532921,1.4e-05
00210000,0.971429,0.510337,0.982298,0.988023,58.3782,0.456539,0.510337,0.498665,0.53699,1.2e-05
00220000,0.969028,0.510337,0.976704,0.984998,78.725,0.615658,0.510337,0.496826,0.537491,1.5e-05
00230000,0.971041,0.510337,0.978349,0.985565,108.105,0.845421,0.510337,0.502171,0.533397,1.2e-05
00240000,0.969957,0.510337,0.980683,0.986991,71.683,0.560587,0.510337,0.498893,0.541212,1.4e-05
00250000,0.97019,0.510337,0.980437,0.986783,70.7402,0.553214,0.510337,0.498746,0.536328,1.3e-05
00260000,0.96748,0.510337,0.979177,0.986068,86.2763,0.674712,0.510337,0.500666,0.527826,1.4e-05
00270000,0.967557,0.510337,0.979954,0.986643,111.214,0.869735,0.510337,0.496292,0.534847,1.7e-05
00280000,0.968641,0.510337,0.976866,0.984536,109.984,0.860117,0.510337,0.49951,0.526222,1.4e-05
00290000,0.967093,0.510337,0.977248,0.985197,139.26,1.08906,0.510337,0.49738,0.523103,1.6e-05
00300000,0.966551,0.510337,0.981319,0.987753,126.35,0.988104,0.510337,0.49358,0.532209,1.4e-05
