global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.812079,0.510337,0.897678,0.897745,53.6889,0.419867,0.510337,0.547284,0.268723,1.2e-05
00020000,0.878436,0.510337,0.946619,0.947723,40.2401,0.314692,0.510337,0.489716,0.262505,1.4e-05
00030000,0.909485,0.510337,0.967023,0.967499,31.8543,0.249112,0.510337,0.488904,0.261468,1.2e-05
00040000,0.929772,0.510337,0.977014,0.977116,26.1253,0.204309,0.510337,0.502219,0.26505,1.2e-05
00050000,0.939992,0.510337,0.981865,0.981686,22.9241,0.179275,0.510337,0.489879,0.261751,1.2e-05
00060000,0.945877,0.510337,0.984579,0.98469,20.6741,0.161679,0.510337,0.489614,0.262373,1.2e-05
00070000,0.952536,0.510337,0.986311,0.986542,18.8213,0.147189,0.510337,0.496359,0.265118,1.2e-05
00080000,0.956872,0.510337,0.987188,0.9878,17.6187,0.137785,0.510337,0.506395,0.261001,1.6e-05
00090000,0.957878,0.510337,0.987813,0.98848,17.168,0.13426,0.510337,0.498253,0.264851,1.5e-05
00100000,0.958188,0.510337,0.98823,0.988982,16.953,0.132579,0.510337,0.494116,0.264961,1.2e-05
00110000,0.959969,0.510337,0.988413,0.989235,16.7246,0.130792,0.510337,0.494736,0.267222,1.2e-05
00120000,0.961905,0.510337,0.988709,0.989575,16.3966,0.128228,0.510337,0.497536,0.264586,1.3e-05
00130000,0.961363,0.510337,0.988768,0.989827,16.6847,0.130481,0.510337,0.49365,0.26426,1.3e-05
00140000,0.962524,0.510337,0.988963,0.990136,16.8034,0.131409,0.510337,0.493288,0.266367,1.2e-05
00150000,0.962214,0.510337,0.988819,0.990091,16.914,0.132273,0.510337,0.4945,0.26473,1.3e-05
00160000,0.961905,0.510337,0.988869,0.990165,17.3574,0.135741,0.510337,0.491961,0.261967,1.4e-05
00170000,0.963376,0.510337,0.988773,0.990184,17.0748,0.133531,0.510337,0.497862,0.26233,1.4e-05
00180000,0.962911,0.510337,0.988534,0.990131,17.8367,0.139489,0.510337,0.492703,0.263432,1.2e-05
00190000,0.963763,0.510337,0.988492,0.990246,17.7665,0.13894,0.510337,0.496575,0.264142,1.4e-05
00200000,0.961827,0.510337,0.988347,0.990331,18.8167,0.147154,0.510337,0.490578,0.266593,1.3e-05
00210000,0.962756,0.510337,0.987905,0.990121,18.9428,0.148139,0.510337,0.492382,0.264008,2.3e-05
00220000,0.963376,0.510337,0.987796,0.99014,19.216,0.150276,0.510337,0.493239,0.269177,1.2e-05
00230000,0.96415,0.510337,0.987755,0.990193,19.2283,0.150372,0.510337,0.496166,0.266526,1.1e-05
00240000,0.963763,0.510337,0.987626,0.990189,19.9196,0.155779,0.510337,0.49455,0.264174,1.2e-05
00250000,0.96384,0.510337,0.987572,0.990224,20.2363,0.158255,0.510337,0.495054,0.268586,1.2e-05
00260000,0.964073,0.510337,0.987296,0.990066,20.5337,0.160581,0.510337,0.49618,0.263228,1.2e-05
00270000,0.964925,0.510337,0.987349,0.990171,20.5243,0.160508,0.510337,0.500216,0.265137,5e-05
00280000,0.963453,0.510337,0.986516,0.989847,22.0876,0.172733,0.510337,0.491852,0.266822,1.3e-05
00290000,0.963298,0.510337,0.986511,0.989855,22.4382,0.175475,0.510337,0.492867,0.265046,1.2e-05
00300000,0.964228,0.510337,0.986899,0.990055,22.1014,0.172841,0.510337,0.496706,0.263923,1.3e-05
