global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.711576,0.510337,0.781196,0.763801,73.7324,0.576614,0.510337,0.499682,0.217348
00020000,0.739683,0.510337,0.810436,0.795499,68.9032,0.538848,0.510337,0.49665,0.218297
00030000,0.754936,0.510337,0.826971,0.815241,66.0698,0.51669,0.510337,0.510301,0.21757
00040000,0.763299,0.510337,0.838969,0.830672,63.9896,0.500422,0.510337,0.502956,0.222909
00050000,0.771738,0.510337,0.849687,0.843629,62.1377,0.485939,0.510337,0.508148,0.227488
00060000,0.77832,0.510337,0.859339,0.855512,60.4613,0.47283,0.510337,0.502966,0.219741
00070000,0.786605,0.510337,0.86854,0.866015,58.8263,0.460043,0.510337,0.51349,0.219752
00080000,0.794502,0.510337,0.877011,0.875901,57.2519,0.447731,0.510337,0.511399,0.219099
00090000,0.801858,0.510337,0.884929,0.884797,55.7202,0.435752,0.510337,0.510887,0.220407
00100000,0.809137,0.510337,0.892617,0.893189,54.2031,0.423888,0.510337,0.512333,0.219055
00110000,0.816725,0.510337,0.899734,0.900599,52.7145,0.412247,0.510337,0.515115,0.218742
00120000,0.822532,0.510337,0.906193,0.907656,51.2491,0.400786,0.510337,0.503637,0.218835
00130000,0.830894,0.510337,0.912885,0.914459,49.7753,0.389261,0.510337,0.514501,0.219573
00140000,0.837631,0.510337,0.918665,0.92041,48.3532,0.37814,0.510337,0.510569,0.218585
00150000,0.843825,0.510337,0.924042,0.925702,46.9875,0.367459,0.510337,0.510137,0.220286
00160000,0.850329,0.510337,0.929156,0.93067,45.6486,0.356989,0.510337,0.513138,0.221722
00170000,0.856214,0.510337,0.933682,0.935171,44.3565,0.346884,0.510337,0.510328,0.220351
00180000,0.862331,0.510337,0.937877,0.939224,43.1296,0.337289,0.510337,0.512252,0.217662
00190000,0.869454,0.510337,0.941657,0.942939,41.9387,0.327976,0.510337,0.510814,0.22467
00200000,0.875571,0.510337,0.945134,0.946328,40.8031,0.319095,0.510337,0.505072,0.217388
00210000,0.881456,0.510337,0.948332,0.949363,39.7027,0.31049,0.510337,0.506282,0.219793
00220000,0.885947,0.510337,0.951384,0.952305,38.6402,0.302181,0.510337,0.512055,0.217869
00230000,0.889353,0.510337,0.954031,0.954853,37.6481,0.294422,0.510337,0.513509,0.219606
00240000,0.89338,0.510337,0.956614,0.957286,36.6792,0.286845,0.510337,0.51287,0.217288
00250000,0.897019,0.510337,0.958788,0.95923,35.7609,0.279663,0.510337,0.510019,0.217591
00260000,0.900426,0.510337,0.960828,0.961083,34.8931,0.272877,0.510337,0.509428,0.216847
00270000,0.902904,0.510337,0.962557,0.962863,34.1408,0.266993,0.510337,0.500411,0.219304
00280000,0.906388,0.510337,0.964351,0.964614,33.3329,0.260675,0.510337,0.500823,0.218349
00290000,0.909408,0.510337,0.966233,0.966427,32.4855,0.254049,0.510337,0.51181,0.218842
00300000,0.911343,0.510337,0.967527,0.967577,31.8365,0.248973,0.510337,0.500705,0.217824
