global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.967742,0.505273,0.97714,0.986433,44.0038,0.35487,0.494727,0.471943,0.457079,1.3e-05
00020000,0.967122,0.505273,0.97481,0.985013,57.4803,0.463551,0.494727,0.471759,0.455838,1.3e-05
00030000,0.966501,0.505273,0.974576,0.984943,65.7075,0.529899,0.494727,0.471795,0.45582,1.5e-05
00040000,0.966191,0.505273,0.974551,0.98492,69.8062,0.562953,0.494727,0.471854,0.453483,1.4e-05
00050000,0.966501,0.505273,0.974583,0.984954,71.287,0.574895,0.494727,0.471999,0.452549,1.7e-05
00060000,0.966501,0.505273,0.973966,0.984647,72.0713,0.58122,0.494727,0.471986,0.458998,1.4e-05
00070000,0.966501,0.505273,0.973967,0.984648,72.582,0.585339,0.494727,0.471972,0.448297,1.4e-05
00080000,0.965881,0.505273,0.973968,0.984649,72.945,0.588266,0.494727,0.471966,0.452576,1.4e-05
00090000,0.965881,0.505273,0.973972,0.984655,73.2332,0.59059,0.494727,0.471966,0.455338,1.3e-05
00100000,0.966191,0.505273,0.973972,0.984655,73.4607,0.592425,0.494727,0.471977,0.456989,1.4e-05
00110000,0.966501,0.505273,0.973972,0.984656,73.6977,0.594337,0.494727,0.471961,0.455837,1.5e-05
00120000,0.966501,0.505273,0.973664,0.984502,73.8675,0.595705,0.494727,0.471969,0.451442,1.2e-05
00130000,0.966501,0.505273,0.973664,0.984502,74.0397,0.597095,0.494727,0.471961,0.455714,1.4e-05
00140000,0.966501,0.505273,0.973664,0.984502,74.182,0.598242,0.494727,0.47196,0.455398,1.8e-05
00150000,0.966501,0.505273,0.973663,0.984502,74.3051,0.599235,0.494727,0.471964,0.452142,2.2e-05
00160000,0.966501,0.505273,0.973664,0.984502,74.4337,0.600272,0.494727,0.471959,0.451762,1.2e-05
00170000,0.966501,0.505273,0.973666,0.984507,74.5428,0.601151,0.494727,0.471961,0.451975,1.3e-05
00180000,0.966501,0.505273,0.973682,0.984524,74.6488,0.602007,0.494727,0.47196,0.451544,1.6e-05
00190000,0.966501,0.505273,0.973682,0.984524,74.7377,0.602723,0.494727,0.471966,0.451859,1.3e-05
00200000,0.966811,0.505273,0.973372,0.984369,74.8374,0.603527,0.494727,0.471962,0.451847,1.4e-05
00210000,0.966811,0.505273,0.973373,0.984369,74.9379,0.604338,0.494727,0.471956,0.453719,2.5e-05
00220000,0.966811,0.505273,0.973373,0.984369,75.0165,0.604972,0.494727,0.471963,0.446478,1.5e-05
00230000,0.966811,0.505273,0.973373,0.984369,75.0997,0.605643,0.494727,0.471964,0.453931,1.3e-05
00240000,0.966811,0.505273,0.973373,0.984369,75.184,0.606323,0.494727,0.471963,0.454132,1.6e-05
00250000,0.966811,0.505273,0.973373,0.984369,75.2643,0.60697,0.494727,0.471962,0.453608,1.4e-05
00260000,0.966811,0.505273,0.973373,0.98437,75.3452,0.607623,0.494727,0.471959,0.452149,1.2e-05
00270000,0.967122,0.505273,0.973373,0.98437,75.4133,0.608172,0.494727,0.471962,0.4539,1.3e-05
00280000,0.967122,0.505273,0.973373,0.984369,75.4762,0.608679,0.494727,0.471966,0.451123,1.3e-05
00290000,0.967122,0.505273,0.973373,0.984369,75.5468,0.609248,0.494727,0.471964,0.452342,1.2e-05
00300000,0.967122,0.505273,0.973372,0.984369,75.6129,0.609782,0.494727,0.471962,0.448088,1.2e-05
