global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.96371,0.50062,0.978013,0.988302,40.9479,0.330225,0.50062,0.467329,0.877241
00020000,0.96402,0.50062,0.97387,0.986172,74.741,0.60275,0.50062,0.467289,0.868776
00030000,0.96464,0.50062,0.972947,0.985718,88.6494,0.714915,0.50062,0.467647,0.861184
00040000,0.96371,0.50062,0.970781,0.984634,97.0121,0.782356,0.50062,0.466909,0.868463
00050000,0.959057,0.50062,0.971708,0.98473,52.6158,0.424321,0.50062,0.465123,0.856369
00060000,0.957506,0.50062,0.967658,0.982681,74.4865,0.600698,0.50062,0.464013,0.851915
00070000,0.957196,0.50062,0.96681,0.982311,93.9941,0.758017,0.50062,0.4637,0.866596
00080000,0.957506,0.50062,0.966259,0.981892,108.019,0.871122,0.50062,0.463557,0.852746
00090000,0.959367,0.50062,0.970814,0.984131,51.5082,0.415389,0.50062,0.464258,0.866868
00100000,0.959057,0.50062,0.967353,0.982536,73.7512,0.594768,0.50062,0.463755,0.853701
00110000,0.958437,0.50062,0.966566,0.982223,93.7336,0.755916,0.50062,0.463368,0.891584
00120000,0.958747,0.50062,0.965127,0.981564,107.673,0.868334,0.50062,0.463183,0.856476
00130000,0.955645,0.50062,0.971397,0.984398,56.1443,0.452776,0.50062,0.462458,0.854421
00140000,0.955645,0.50062,0.967557,0.982568,89.75,0.72379,0.50062,0.461851,0.872557
00150000,0.956266,0.50062,0.963999,0.980882,120.032,0.967999,0.50062,0.461776,0.867413
00160000,0.956576,0.50062,0.963413,0.98061,138.449,1.11653,0.50062,0.462061,0.863521
00170000,0.958437,0.50062,0.968724,0.982957,123.695,0.99754,0.50062,0.467517,0.876337
00180000,0.958437,0.50062,0.966642,0.981781,128.046,1.03263,0.50062,0.465874,0.86806
00190000,0.957196,0.50062,0.96639,0.982044,133.057,1.07304,0.50062,0.464229,0.865737
00200000,0.957506,0.50062,0.965819,0.981783,140.286,1.13134,0.50062,0.46309,0.865406
00210000,0.957506,0.50062,0.964634,0.981217,148.697,1.19917,0.50062,0.462884,0.874193
00220000,0.956886,0.50062,0.967986,0.982137,89.595,0.722541,0.50062,0.464347,0.870213
00230000,0.958127,0.50062,0.966013,0.981432,108.623,0.875995,0.50062,0.464096,0.865178
00240000,0.958127,0.50062,0.965565,0.981306,129.314,1.04286,0.50062,0.464089,0.866278
00250000,0.958127,0.50062,0.964151,0.980673,147.288,1.18781,0.50062,0.463304,0.861504
00260000,0.955955,0.50062,0.96271,0.978998,105.45,0.850403,0.50062,0.467745,0.866984
00270000,0.955645,0.50062,0.962004,0.978919,114.936,0.9269,0.50062,0.46625,0.859542
00280000,0.955025,0.50062,0.963335,0.97981,126.934,1.02366,0.50062,0.464351,0.883785
00290000,0.952233,0.50062,0.961389,0.97896,146.478,1.18127,0.50062,0.463014,0.848957
00300000,0.954404,0.50062,0.960251,0.978263,164.722,1.32841,0.50062,0.462044,0.86227
