global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.967742,0.501551,0.981311,0.98956,29.7515,0.239931,0.498449,0.475861,0.632183,1.8e-05
00020000,0.970844,0.501551,0.980876,0.989803,39.3309,0.317184,0.498449,0.473266,0.628325,1.4e-05
00030000,0.971154,0.501551,0.978384,0.988017,41.9668,0.338442,0.498449,0.477501,0.636491,1.7e-05
00040000,0.972705,0.501551,0.980114,0.989162,60.7847,0.490199,0.498449,0.475752,0.637945,1.5e-05
00050000,0.972705,0.501551,0.977938,0.987708,75.5078,0.608934,0.498449,0.475884,0.634222,1.3e-05
00060000,0.972084,0.501551,0.977386,0.987652,95.2189,0.767894,0.498449,0.475622,0.639647,1.4e-05
00070000,0.972084,0.501551,0.977416,0.988037,116.217,0.937235,0.498449,0.473688,0.632318,1.7e-05
00080000,0.971774,0.501551,0.976497,0.987762,108.028,0.871196,0.498449,0.472944,0.628914,1.6e-05
00090000,0.973015,0.501551,0.977664,0.987789,96.1576,0.775464,0.498449,0.475873,0.63985,1.6e-05
00100000,0.972395,0.501551,0.975278,0.986647,179.976,1.45142,0.498449,0.475089,0.629774,1.3e-05
00110000,0.972705,0.501551,0.977539,0.988007,159.856,1.28916,0.498449,0.476618,0.636747,1.4e-05
00120000,0.968672,0.501551,0.974879,0.986741,180.117,1.45256,0.498449,0.471678,0.635708,1.7e-05
00130000,0.970533,0.501551,0.975932,0.986989,196.575,1.58529,0.498449,0.474379,0.633503,1.6e-05
00140000,0.972084,0.501551,0.975628,0.987019,230.955,1.86254,0.498449,0.47457,0.639074,1.6e-05
00150000,0.974876,0.501551,0.978647,0.988489,197.089,1.58943,0.498449,0.477796,0.627931,1.3e-05
00160000,0.973945,0.501551,0.978653,0.988153,167.626,1.35182,0.498449,0.47816,0.631624,1.3e-05
00170000,0.973325,0.501551,0.976265,0.987177,287.284,2.31681,0.498449,0.476104,0.633224,1.3e-05
00180000,0.970533,0.501551,0.974687,0.986536,304.733,2.45753,0.498449,0.472232,0.626424,1.6e-05
00190000,0.969603,0.501551,0.974674,0.986698,352.369,2.84168,0.498449,0.471758,0.63204,1.6e-05
00200000,0.973635,0.501551,0.978379,0.988548,242.052,1.95203,0.498449,0.476169,0.637225,1.4e-05
00210000,0.973635,0.501551,0.977461,0.988094,276.106,2.22666,0.498449,0.475167,0.639757,1.3e-05
00220000,0.974256,0.501551,0.976291,0.987208,319.176,2.574,0.498449,0.47588,0.638404,1.2e-05
00230000,0.974876,0.501551,0.978089,0.988418,432.815,3.49044,0.498449,0.477585,0.631674,1.4e-05
00240000,0.973945,0.501551,0.975884,0.987294,430.351,3.47057,0.498449,0.47631,0.62972,1.7e-05
00250000,0.975186,0.501551,0.978673,0.988179,374.411,3.01944,0.498449,0.479354,0.626341,1.8e-05
00260000,0.977357,0.501551,0.978402,0.987898,412.7,3.32823,0.498449,0.480572,0.635405,1.3e-05
00270000,0.976117,0.501551,0.977875,0.98785,495.747,3.99796,0.498449,0.478163,0.678395,2e-05
00280000,0.975186,0.501551,0.976003,0.98624,531.274,4.28447,0.498449,0.480093,0.682872,1.7e-05
00290000,0.974256,0.501551,0.975963,0.987204,551.862,4.4505,0.498449,0.475276,0.677505,1.9e-05
00300000,0.976117,0.501551,0.978716,0.988221,399.14,3.21887,0.498449,0.479292,0.672607,1.3e-05
