global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.965881,0.501551,0.976805,0.987543,40.7132,0.328332,0.498449,0.468478,0.62273,1.6e-05
00020000,0.967742,0.501551,0.974179,0.986327,55.3712,0.446542,0.498449,0.468166,0.623155,1.5e-05
00030000,0.967122,0.501551,0.973882,0.98619,65.2939,0.526564,0.498449,0.467965,0.622974,1.4e-05
00040000,0.966811,0.501551,0.973906,0.986215,71.1233,0.573575,0.498449,0.467749,0.622633,1.4e-05
00050000,0.967122,0.501551,0.973598,0.986062,73.2882,0.591034,0.498449,0.467636,0.620858,1.3e-05
00060000,0.966811,0.501551,0.973598,0.986063,74.3533,0.599623,0.498449,0.467599,0.624908,1.8e-05
00070000,0.966811,0.501551,0.973289,0.985909,75.1186,0.605795,0.498449,0.467547,0.618215,1.4e-05
00080000,0.966811,0.501551,0.973306,0.985927,75.6235,0.609867,0.498449,0.467543,0.624723,1.2e-05
00090000,0.966811,0.501551,0.973306,0.985926,76.0346,0.613182,0.498449,0.467538,0.613425,1.6e-05
00100000,0.966811,0.501551,0.973305,0.985926,76.392,0.616064,0.498449,0.467525,0.625236,1.6e-05
00110000,0.966811,0.501551,0.973306,0.985926,76.7141,0.618662,0.498449,0.467506,0.624683,1.4e-05
00120000,0.966811,0.501551,0.973305,0.985926,76.9873,0.620865,0.498449,0.467493,0.622073,1.2e-05
00130000,0.966811,0.501551,0.973306,0.985926,77.234,0.622855,0.498449,0.467481,0.62257,1.3e-05
00140000,0.966811,0.501551,0.973306,0.985926,77.434,0.624468,0.498449,0.46748,0.62728,1.9e-05
00150000,0.966811,0.501551,0.973323,0.985944,77.634,0.626081,0.498449,0.46747,0.62318,1.6e-05
00160000,0.966811,0.501551,0.973323,0.985944,77.8164,0.627552,0.498449,0.46746,0.62238,1.3e-05
00170000,0.966811,0.501551,0.973323,0.985944,77.9801,0.628872,0.498449,0.467454,0.611048,1.4e-05
00180000,0.966811,0.501551,0.973015,0.985791,78.1363,0.630132,0.498449,0.467447,0.621691,1.5e-05
00190000,0.966811,0.501551,0.973015,0.985792,78.2862,0.63134,0.498449,0.467441,0.614359,1.7e-05
00200000,0.966811,0.501551,0.973015,0.985792,78.4133,0.632365,0.498449,0.467443,0.623509,1.5e-05
00210000,0.966811,0.501551,0.973016,0.985792,78.5519,0.633483,0.498449,0.467435,0.620619,1.5e-05
00220000,0.966811,0.501551,0.973015,0.985792,78.6683,0.634421,0.498449,0.467434,0.625068,1.9e-05
00230000,0.966811,0.501551,0.973016,0.985792,78.7922,0.635421,0.498449,0.467425,0.615421,2.3e-05
00240000,0.966811,0.501551,0.973016,0.985793,78.8936,0.636239,0.498449,0.467425,0.623693,1.2e-05
00250000,0.966811,0.501551,0.973016,0.985792,78.9863,0.636986,0.498449,0.467425,0.614737,1.4e-05
00260000,0.966811,0.501551,0.973017,0.985793,79.0863,0.637792,0.498449,0.467419,0.625323,1.5e-05
00270000,0.966811,0.501551,0.973017,0.985794,79.1777,0.63853,0.498449,0.467415,0.627226,1.3e-05
00280000,0.966811,0.501551,0.973018,0.985794,79.2587,0.639183,0.498449,0.467415,0.623847,1.4e-05
00290000,0.966811,0.501551,0.973018,0.985794,79.3428,0.639861,0.498449,0.467411,0.613852,1.3e-05
00300000,0.966811,0.501551,0.973017,0.985794,79.4268,0.640539,0.498449,0.467406,0.620875,1.8e-05
