global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.933722,0.521632,0.95629,0.965846,93.2603,0.744022,0.478368,0.462401,0.477824,1.2e-05
00020000,0.934949,0.521632,0.951325,0.963438,121.241,0.96725,0.478368,0.462465,0.470421,2.1e-05
00030000,0.934949,0.521632,0.949519,0.962165,138.684,1.10641,0.478368,0.461819,0.47664,1.6e-05
00040000,0.933722,0.521632,0.94929,0.962117,145.307,1.15925,0.478368,0.461468,0.47112,1.7e-05
00050000,0.933722,0.521632,0.949646,0.962334,147.719,1.17849,0.478368,0.46115,0.477285,1.9e-05
00060000,0.933415,0.521632,0.949941,0.962488,148.758,1.18678,0.478368,0.461261,0.479766,1.3e-05
00070000,0.932801,0.521632,0.950249,0.962642,149.632,1.19375,0.478368,0.461057,0.480759,1.4e-05
00080000,0.933108,0.521632,0.950251,0.962645,150.17,1.19804,0.478368,0.461109,0.474742,1.3e-05
00090000,0.933108,0.521632,0.950253,0.962647,150.713,1.20238,0.478368,0.460993,0.474623,1.6e-05
00100000,0.933108,0.521632,0.950274,0.962694,151.1,1.20546,0.478368,0.460984,0.472457,1.3e-05
00110000,0.933415,0.521632,0.950012,0.962395,151.443,1.2082,0.478368,0.460957,0.479344,1.7e-05
00120000,0.933415,0.521632,0.950017,0.9624,151.768,1.21079,0.478368,0.460893,0.478678,1.3e-05
00130000,0.933108,0.521632,0.950019,0.962402,151.991,1.21257,0.478368,0.460941,0.480042,1.4e-05
00140000,0.933108,0.521632,0.950019,0.962402,152.243,1.21458,0.478368,0.460919,0.475807,1.3e-05
00150000,0.933108,0.521632,0.950022,0.962405,152.469,1.21638,0.478368,0.460907,0.469526,1.4e-05
00160000,0.933108,0.521632,0.950025,0.962408,152.713,1.21833,0.478368,0.460851,0.474778,1.6e-05
00170000,0.933108,0.521632,0.949725,0.962262,152.888,1.21973,0.478368,0.460878,0.473635,1.5e-05
00180000,0.933108,0.521632,0.949724,0.962261,153.086,1.2213,0.478368,0.460856,0.470739,1.6e-05
00190000,0.933108,0.521632,0.949725,0.962262,153.297,1.22299,0.478368,0.460805,0.474338,1.3e-05
00200000,0.933108,0.521632,0.949425,0.962116,153.443,1.22415,0.478368,0.460834,0.47183,1.6e-05
00210000,0.933415,0.521632,0.949422,0.962113,153.62,1.22557,0.478368,0.460802,0.477643,1.6e-05
00220000,0.933415,0.521632,0.949162,0.961816,153.759,1.22668,0.478368,0.460811,0.475877,1.9e-05
00230000,0.933415,0.521632,0.949165,0.961819,153.886,1.22769,0.478368,0.46082,0.478489,1.1e-05
00240000,0.933415,0.521632,0.949165,0.96182,154.014,1.22871,0.478368,0.46081,0.472254,1.3e-05
00250000,0.933415,0.521632,0.949166,0.961821,154.139,1.2297,0.478368,0.460792,0.47805,1.4e-05
00260000,0.933722,0.521632,0.949167,0.961821,154.242,1.23053,0.478368,0.460788,0.477916,1.5e-05
00270000,0.933722,0.521632,0.949167,0.961821,154.33,1.23123,0.478368,0.460797,0.472416,1.3e-05
00280000,0.933722,0.521632,0.949187,0.961841,154.428,1.23201,0.478368,0.460783,0.478644,1.6e-05
00290000,0.933722,0.521632,0.948884,0.961693,154.51,1.23267,0.478368,0.460782,0.474389,1.3e-05
00300000,0.933722,0.521632,0.948886,0.961694,154.591,1.23331,0.478368,0.460777,0.48203,1.7e-05
