global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.91838,0.521632,0.945894,0.961993,92.4777,0.737778,0.478368,0.437455,0.551159,1.5e-05
00020000,0.918687,0.521632,0.937702,0.957171,137.1,1.09377,0.478368,0.437188,0.548662,1.7e-05
00030000,0.918687,0.521632,0.934725,0.955096,159.854,1.2753,0.478368,0.437803,0.544706,1.2e-05
00040000,0.918687,0.521632,0.934382,0.955319,171.567,1.36875,0.478368,0.436981,0.550131,1.7e-05
00050000,0.891685,0.521632,0.926759,0.943582,95.7209,0.763652,0.478368,0.448777,0.54695,1.2e-05
00060000,0.896594,0.521632,0.919269,0.938619,149.977,1.19651,0.478368,0.446906,0.552312,1.4e-05
00070000,0.898742,0.521632,0.913239,0.936076,201.247,1.60553,0.478368,0.440688,0.531502,1.4e-05
00080000,0.898435,0.521632,0.913545,0.936363,236.785,1.88905,0.478368,0.444557,0.530953,1.2e-05
00090000,0.887389,0.521632,0.923278,0.93837,119.991,0.957279,0.478368,0.456156,0.533002,1.3e-05
00100000,0.895367,0.521632,0.916178,0.93467,187.454,1.49549,0.478368,0.458881,0.526437,1.3e-05
00110000,0.894139,0.521632,0.915078,0.934613,256.765,2.04845,0.478368,0.45889,0.540199,1.4e-05
00120000,0.896594,0.521632,0.911716,0.932995,315.108,2.5139,0.478368,0.456651,0.536311,1.4e-05
00130000,0.897821,0.521632,0.910914,0.932304,341.719,2.7262,0.478368,0.45617,0.533019,1.5e-05
00140000,0.891991,0.521632,0.912796,0.934722,241.898,1.92984,0.478368,0.454166,0.531014,1.4e-05
00150000,0.892912,0.521632,0.911324,0.934137,261.919,2.08957,0.478368,0.452017,0.537539,1.5e-05
00160000,0.893526,0.521632,0.911205,0.932309,272.288,2.17228,0.478368,0.45799,0.537211,1.3e-05
00170000,0.895367,0.521632,0.908817,0.930628,307.519,2.45336,0.478368,0.455351,0.532783,1.3e-05
00180000,0.894446,0.521632,0.90849,0.931043,339.98,2.71233,0.478368,0.453883,0.533233,1.4e-05
00190000,0.89598,0.521632,0.916946,0.935859,215.032,1.71551,0.478368,0.450032,0.538581,2e-05
00200000,0.897208,0.521632,0.916205,0.935966,242.671,1.936,0.478368,0.450463,0.531477,1.7e-05
00210000,0.901504,0.521632,0.914995,0.935326,285.42,2.27705,0.478368,0.454391,0.528718,1.5e-05
00220000,0.90089,0.521632,0.914934,0.936013,318.645,2.54212,0.478368,0.453176,0.534076,1.4e-05
00230000,0.90089,0.521632,0.916413,0.936973,339.9,2.71169,0.478368,0.455158,0.536288,1.6e-05
00240000,0.893219,0.521632,0.914275,0.933699,264.395,2.10932,0.478368,0.454952,0.526173,1.3e-05
00250000,0.89506,0.521632,0.914101,0.933451,274.19,2.18746,0.478368,0.451299,0.537777,1.2e-05
00260000,0.897821,0.521632,0.91512,0.935117,288.387,2.30073,0.478368,0.453537,0.528929,1.7e-05
00270000,0.900276,0.521632,0.913638,0.934833,314.573,2.50963,0.478368,0.451851,0.534767,1.2e-05
00280000,0.900583,0.521632,0.913576,0.935395,334.068,2.66516,0.478368,0.452171,0.531878,1.4e-05
00290000,0.888616,0.521632,0.915693,0.933815,225.399,1.79821,0.478368,0.455299,0.532802,1.6e-05
00300000,0.892605,0.521632,0.913656,0.932991,251.275,2.00465,0.478368,0.453731,0.536003,1.3e-05
