global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.863148,0.521632,0.923952,0.928753,77.0287,0.614528,0.478368,0.500116,0.679104,1.2e-05
00020000,0.861307,0.521632,0.913193,0.922991,76.0488,0.606711,0.478368,0.449336,0.669752,1.3e-05
00030000,0.837373,0.521632,0.897161,0.90915,97.7119,0.779537,0.478368,0.457058,0.682261,1.6e-05
00040000,0.849033,0.521632,0.896604,0.909475,113.108,0.902367,0.478368,0.459063,0.671806,1.3e-05
00050000,0.825407,0.521632,0.895613,0.902447,77.3364,0.616983,0.478368,0.512996,0.671261,1.2e-05
00060000,0.851181,0.521632,0.892142,0.91419,114.533,0.913735,0.478368,0.387505,0.670635,2.4e-05
00070000,0.854863,0.521632,0.908232,0.924983,116.32,0.927986,0.478368,0.45098,0.678269,1.5e-05
00080000,0.853022,0.521632,0.911482,0.926578,102.866,0.820656,0.478368,0.479963,0.676394,1.2e-05
00090000,0.857318,0.521632,0.89636,0.920867,135.566,1.08153,0.478368,0.413392,0.669977,1.5e-05
00100000,0.866217,0.521632,0.908155,0.923805,121.043,0.965672,0.478368,0.432206,0.675224,1.3e-05
00110000,0.858239,0.521632,0.90394,0.919245,143.977,1.14864,0.478368,0.421008,0.676662,1.7e-05
00120000,0.857932,0.521632,0.896674,0.917475,166.294,1.32668,0.478368,0.425668,0.682678,1.2e-05
00130000,0.860693,0.521632,0.904352,0.921216,146.591,1.16949,0.478368,0.44852,0.669368,1.4e-05
00140000,0.858852,0.521632,0.90239,0.922013,152.426,1.21604,0.478368,0.44895,0.675711,1.2e-05
00150000,0.861307,0.521632,0.897233,0.919304,157.089,1.25324,0.478368,0.43493,0.679476,2e-05
00160000,0.86591,0.521632,0.907946,0.924482,148.148,1.18191,0.478368,0.437651,0.669449,1.3e-05
00170000,0.867751,0.521632,0.904486,0.922568,149.838,1.19539,0.478368,0.45,0.677778,1.6e-05
00180000,0.864682,0.521632,0.900879,0.921966,174.291,1.39047,0.478368,0.430979,0.678222,1.3e-05
00190000,0.859466,0.521632,0.899905,0.920386,175.664,1.40143,0.478368,0.449133,0.674998,1.3e-05
00200000,0.868058,0.521632,0.902463,0.923288,196.904,1.57088,0.478368,0.4393,0.672213,1.1e-05
00210000,0.859159,0.521632,0.896077,0.917223,180.356,1.43887,0.478368,0.456894,0.668646,1.3e-05
00220000,0.866217,0.521632,0.902385,0.918641,165.054,1.31678,0.478368,0.456255,0.681145,1.3e-05
00230000,0.710954,0.521632,0.768952,0.689838,88.7885,0.708347,0.478368,0.403423,0.674196,1.6e-05
00240000,0.701135,0.521632,0.773248,0.702492,98.4695,0.78558,0.478368,0.409386,0.66837,1.3e-05
00250000,0.729365,0.521632,0.785336,0.724593,95.4318,0.761346,0.478368,0.495644,0.668543,1.3e-05
00260000,0.734888,0.521632,0.805611,0.766437,97.23,0.775692,0.478368,0.504926,0.668761,1.4e-05
00270000,0.738877,0.521632,0.810224,0.769779,94.7071,0.755565,0.478368,0.468148,0.680224,1.5e-05
00280000,0.742866,0.521632,0.814555,0.776653,95.6197,0.762845,0.478368,0.491734,0.672214,1.3e-05
00290000,0.744093,0.521632,0.823143,0.793212,97.7145,0.779557,0.478368,0.450224,0.678554,1.3e-05
00300000,0.745628,0.521632,0.822315,0.797803,96.8985,0.773048,0.478368,0.426278,0.675719,1.3e-05
