global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.664314,0.521632,0.747276,0.727533,76.2075,0.607977,0.478368,0.416842,0.164638
00020000,0.710647,0.521632,0.770135,0.758369,72.253,0.576428,0.478368,0.505518,0.161263
00030000,0.717091,0.521632,0.78389,0.776644,70.3214,0.561017,0.478368,0.463962,0.157352
00040000,0.717091,0.521632,0.798459,0.79435,70.3,0.560847,0.478368,0.409477,0.159593
00050000,0.718012,0.521632,0.807182,0.807342,70.3154,0.560969,0.478368,0.387832,0.156098
00060000,0.743173,0.521632,0.818858,0.822147,66.2767,0.528749,0.478368,0.435657,0.158484
00070000,0.749923,0.521632,0.827815,0.833222,64.1812,0.512031,0.478368,0.487496,0.160016
00080000,0.752071,0.521632,0.839466,0.845642,66.9414,0.534052,0.478368,0.382905,0.156943
00090000,0.7668,0.521632,0.848279,0.854559,63.1801,0.504045,0.478368,0.411049,0.15679
00100000,0.766493,0.521632,0.855958,0.862759,64.0945,0.51134,0.478368,0.390353,0.159965
00110000,0.770789,0.521632,0.859509,0.8661,60.3389,0.481378,0.478368,0.512989,0.158869
00120000,0.786131,0.521632,0.865252,0.87274,62.0734,0.495216,0.478368,0.409762,0.159047
00130000,0.79104,0.521632,0.868856,0.875365,59.8795,0.477713,0.478368,0.451853,0.15839
00140000,0.792574,0.521632,0.87185,0.878009,59.8625,0.477578,0.478368,0.501142,0.156827
00150000,0.797177,0.521632,0.87327,0.879237,60.8217,0.48523,0.478368,0.460441,0.158005
00160000,0.794722,0.521632,0.874006,0.880497,63.2285,0.504431,0.478368,0.430786,0.15956
00170000,0.803928,0.521632,0.877892,0.883095,61.6307,0.491684,0.478368,0.474996,0.16063
00180000,0.804234,0.521632,0.878136,0.883648,62.9815,0.502461,0.478368,0.484157,0.157555
00190000,0.800245,0.521632,0.877315,0.882935,66.105,0.52738,0.478368,0.437172,0.155908
00200000,0.806689,0.521632,0.878917,0.884996,66.3712,0.529503,0.478368,0.478405,0.162136
00210000,0.801473,0.521632,0.878457,0.885129,67.9502,0.542101,0.478368,0.491457,0.15791
00220000,0.803621,0.521632,0.87871,0.886645,71.421,0.56979,0.478368,0.424389,0.161988
00230000,0.799939,0.521632,0.878814,0.885071,70.5143,0.562557,0.478368,0.47046,0.157675
00240000,0.798711,0.521632,0.878513,0.885997,71.7794,0.57265,0.478368,0.484536,0.160425
00250000,0.80178,0.521632,0.880416,0.888062,73.1719,0.583758,0.478368,0.465574,0.155593
00260000,0.805462,0.521632,0.882157,0.889977,74.9737,0.598133,0.478368,0.493802,0.163157
00270000,0.805462,0.521632,0.881103,0.889156,76.6135,0.611215,0.478368,0.467239,0.157235
00280000,0.806689,0.521632,0.879779,0.889176,80.7647,0.644333,0.478368,0.436499,0.162083
00290000,0.80853,0.521632,0.88126,0.890722,81.8762,0.653201,0.478368,0.442599,0.158578
00300000,0.806689,0.521632,0.88162,0.890008,81.367,0.649138,0.478368,0.482802,0.156821
