global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.792268,0.521632,0.872501,0.87818,67.6166,0.539439,0.478368,0.507226,0.554745,1.2e-05
00020000,0.809758,0.521632,0.879992,0.893658,113.349,0.904285,0.478368,0.379873,0.559144,1.7e-05
00030000,0.828168,0.521632,0.8881,0.901401,121.252,0.967339,0.478368,0.42453,0.568321,1.4e-05
00040000,0.806689,0.521632,0.867089,0.87132,120.506,0.961386,0.478368,0.484632,0.569793,1.2e-05
00050000,0.830623,0.521632,0.885591,0.900972,134.492,1.07297,0.478368,0.442271,0.568688,1.2e-05
00060000,0.828782,0.521632,0.878006,0.893713,149.608,1.19356,0.478368,0.446105,0.561108,1.6e-05
00070000,0.83185,0.521632,0.883592,0.897941,146.168,1.16612,0.478368,0.450206,0.568485,1.4e-05
00080000,0.834919,0.521632,0.880269,0.897968,152.316,1.21516,0.478368,0.437683,0.560496,1.4e-05
00090000,0.828782,0.521632,0.883101,0.896705,143.439,1.14434,0.478368,0.44359,0.56931,1.7e-05
00100000,0.828475,0.521632,0.886795,0.896824,111.885,0.892611,0.478368,0.458357,0.569876,1.6e-05
00110000,0.830316,0.521632,0.874274,0.891887,181.036,1.44429,0.478368,0.455943,0.571461,1.4e-05
00120000,0.804848,0.521632,0.860189,0.875883,153.512,1.22471,0.478368,0.427612,0.558635,1.6e-05
00130000,0.830623,0.521632,0.87429,0.892528,186.404,1.48711,0.478368,0.441745,0.568605,2.1e-05
00140000,0.833998,0.521632,0.88606,0.897535,125.914,1.00453,0.478368,0.454972,0.570608,1.4e-05
00150000,0.828168,0.521632,0.867127,0.885878,216.9,1.73041,0.478368,0.453585,0.566259,1.6e-05
00160000,0.828782,0.521632,0.873061,0.889242,163.556,1.30483,0.478368,0.446781,0.569266,1.3e-05
00170000,0.834919,0.521632,0.87852,0.894143,160.821,1.28301,0.478368,0.446792,0.570085,1.5e-05
00180000,0.831543,0.521632,0.867425,0.886293,227.33,1.81362,0.478368,0.45465,0.56855,1.4e-05
00190000,0.833078,0.521632,0.877675,0.892092,161.017,1.28458,0.478368,0.452256,0.569124,1.6e-05
00200000,0.832157,0.521632,0.877447,0.893565,162.964,1.30011,0.478368,0.442995,0.568358,1.4e-05
00210000,0.830009,0.521632,0.858139,0.881663,299.563,2.38989,0.478368,0.450601,0.569704,1.3e-05
00220000,0.83185,0.521632,0.864195,0.886202,243.482,1.94247,0.478368,0.444898,0.567481,1.4e-05
00230000,0.830316,0.521632,0.876464,0.892112,153.298,1.223,0.478368,0.453101,0.569007,1.4e-05
00240000,0.830623,0.521632,0.856562,0.880675,312.656,2.49434,0.478368,0.452448,0.561009,1.7e-05
00250000,0.828475,0.521632,0.853854,0.87899,283.272,2.25991,0.478368,0.447592,0.568452,1.4e-05
00260000,0.825713,0.521632,0.850315,0.877154,313.234,2.49895,0.478368,0.450556,0.570372,1.3e-05
00270000,0.824793,0.521632,0.852218,0.879859,315.543,2.51737,0.478368,0.448285,0.567822,1.3e-05
00280000,0.826941,0.521632,0.853925,0.877401,277.665,2.21519,0.478368,0.45448,0.566984,1.4e-05
00290000,0.823565,0.521632,0.859528,0.88149,238.69,1.90424,0.478368,0.458562,0.566902,1.5e-05
00300000,0.802393,0.521632,0.865544,0.875781,90.1874,0.719506,0.478368,0.449358,0.568237,1.6e-05
