global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.834919,0.521632,0.890599,0.898558,109.65,0.874776,0.478368,0.475846,0.723554,1.7e-05
00020000,0.849647,0.521632,0.890944,0.904571,135.151,1.07822,0.478368,0.440046,0.727384,1.8e-05
00030000,0.844124,0.521632,0.894154,0.907913,134.063,1.06955,0.478368,0.448717,0.736889,1.2e-05
00040000,0.83676,0.521632,0.881904,0.897885,164.349,1.31116,0.478368,0.444814,0.737949,1.2e-05
00050000,0.837987,0.521632,0.87486,0.894919,225.536,1.79931,0.478368,0.452131,0.73745,1.6e-05
00060000,0.830316,0.521632,0.890223,0.897788,101.296,0.808133,0.478368,0.461695,0.737514,1.4e-05
00070000,0.839215,0.521632,0.881594,0.898279,211.745,1.68928,0.478368,0.448486,0.73726,1.3e-05
00080000,0.843817,0.521632,0.896617,0.902886,97.6045,0.77868,0.478368,0.472341,0.730249,1.8e-05
00090000,0.843817,0.521632,0.885041,0.90168,198.822,1.58618,0.478368,0.450091,0.738191,1.2e-05
00100000,0.842897,0.521632,0.873214,0.896843,293.991,2.34544,0.478368,0.443631,0.728036,2.3e-05
00110000,0.840135,0.521632,0.866163,0.893282,393.026,3.13552,0.478368,0.447825,0.739887,1.3e-05
00120000,0.839521,0.521632,0.871921,0.893643,287.036,2.28995,0.478368,0.455008,0.732974,1.6e-05
00130000,0.839521,0.521632,0.869541,0.892312,339.241,2.70644,0.478368,0.457196,0.736389,1.3e-05
00140000,0.837373,0.521632,0.867424,0.890727,319.939,2.55244,0.478368,0.45504,0.741219,1.8e-05
00150000,0.839521,0.521632,0.865008,0.891013,401.629,3.20416,0.478368,0.452789,0.736986,1.2e-05
00160000,0.837987,0.521632,0.872507,0.894509,305.985,2.44112,0.478368,0.454194,0.726948,1.4e-05
00170000,0.836453,0.521632,0.879158,0.89684,196.863,1.57056,0.478368,0.457592,0.736816,1.2e-05
00180000,0.837067,0.521632,0.868347,0.890658,313.547,2.50145,0.478368,0.459743,0.736643,1.7e-05
00190000,0.842283,0.521632,0.892253,0.903289,140.401,1.1201,0.478368,0.462059,0.729087,1.4e-05
00200000,0.845658,0.521632,0.870707,0.892896,334.397,2.66779,0.478368,0.454017,0.738432,1.6e-05
00210000,0.843817,0.521632,0.888978,0.904875,159.559,1.27295,0.478368,0.453095,0.736083,1.5e-05
00220000,0.845658,0.521632,0.875413,0.898744,271.207,2.16366,0.478368,0.451319,0.734551,1.4e-05
00230000,0.848727,0.521632,0.880806,0.899652,252,2.01043,0.478368,0.456129,0.730899,1.6e-05
00240000,0.850261,0.521632,0.877453,0.898992,319.719,2.55069,0.478368,0.455102,0.737286,1.6e-05
00250000,0.846579,0.521632,0.877663,0.898695,261.141,2.08335,0.478368,0.450936,0.736399,1.3e-05
00260000,0.84934,0.521632,0.870983,0.894761,357.561,2.85259,0.478368,0.452194,0.732028,1.7e-05
00270000,0.847192,0.521632,0.882705,0.902103,213.012,1.69939,0.478368,0.449231,0.7312,1.6e-05
00280000,0.850874,0.521632,0.872488,0.896628,320.775,2.55911,0.478368,0.447993,0.731291,1.3e-05
00290000,0.846886,0.521632,0.87617,0.897243,291.536,2.32584,0.478368,0.448455,0.73775,1.2e-05
00300000,0.845351,0.521632,0.870364,0.892989,387.541,3.09176,0.478368,0.455022,0.74001,1.7e-05
