global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.723535,0.521632,0.810553,0.814412,66.7631,0.53263,0.478368,0.53465,0.991331,1.2e-05
00020000,0.764959,0.521632,0.843143,0.85556,61.1208,0.487616,0.478368,0.448385,0.973302,1.7e-05
00030000,0.780914,0.521632,0.862452,0.875488,59.5576,0.475145,0.478368,0.430966,0.958777,1.5e-05
00040000,0.792881,0.521632,0.86567,0.879751,58.1881,0.464219,0.478368,0.467395,0.914438,1.6e-05
00050000,0.805155,0.521632,0.877115,0.88796,58.3595,0.465586,0.478368,0.423835,0.914997,1.8e-05
00060000,0.819577,0.521632,0.891631,0.90376,52.9858,0.422716,0.478368,0.476286,0.911584,1.3e-05
00070000,0.811292,0.521632,0.880173,0.893236,56.8726,0.453725,0.478368,0.510135,0.913055,1.4e-05
00080000,0.81927,0.521632,0.897579,0.910184,53.0022,0.422847,0.478368,0.512181,0.908252,1.6e-05
00090000,0.818042,0.521632,0.890048,0.901092,56.269,0.448909,0.478368,0.453505,0.908961,1.3e-05
00100000,0.830316,0.521632,0.898378,0.908848,55.2763,0.44099,0.478368,0.517796,0.911132,1.4e-05
00110000,0.812212,0.521632,0.896994,0.906604,56.9705,0.454505,0.478368,0.539578,0.920341,1.5e-05
00120000,0.829702,0.521632,0.898425,0.910737,56.1767,0.448172,0.478368,0.428613,0.927967,2e-05
00130000,0.833998,0.521632,0.902107,0.912787,54.6164,0.435725,0.478368,0.461102,0.919312,1.7e-05
00140000,0.831237,0.521632,0.905494,0.916401,57.5972,0.459505,0.478368,0.511661,0.919696,1.7e-05
00150000,0.846579,0.521632,0.911431,0.921644,52.5313,0.41909,0.478368,0.468172,0.922463,1.4e-05
00160000,0.845965,0.521632,0.90913,0.920443,54.2186,0.432551,0.478368,0.466886,0.909212,1.9e-05
00170000,0.848727,0.521632,0.91346,0.922474,57.2376,0.456636,0.478368,0.49063,0.921571,1.9e-05
00180000,0.832464,0.521632,0.911518,0.918683,57.0097,0.454818,0.478368,0.528879,0.909504,1.8e-05
00190000,0.84934,0.521632,0.91279,0.923223,54.1335,0.431872,0.478368,0.509361,0.914705,1.3e-05
00200000,0.837987,0.521632,0.911873,0.922604,55.2675,0.440919,0.478368,0.513278,0.907715,1.5e-05
00210000,0.849647,0.521632,0.914576,0.923549,57.791,0.461051,0.478368,0.503487,0.914209,1.4e-05
00220000,0.853022,0.521632,0.920673,0.92911,48.9188,0.39027,0.478368,0.494354,0.914686,1.3e-05
00230000,0.853022,0.521632,0.920806,0.929828,52.2303,0.416688,0.478368,0.505723,0.91444,1.3e-05
00240000,0.857011,0.521632,0.919223,0.927624,55.0228,0.438967,0.478368,0.46868,0.90735,1.3e-05
00250000,0.857318,0.521632,0.919494,0.928562,52.111,0.415737,0.478368,0.486743,0.914805,1.6e-05
00260000,0.853022,0.521632,0.926081,0.934634,51.6314,0.41191,0.478368,0.518312,0.909343,1.5e-05
00270000,0.862228,0.521632,0.925405,0.935326,54.1305,0.431848,0.478368,0.485509,0.909871,2e-05
00280000,0.857011,0.521632,0.919822,0.928703,50.3603,0.40177,0.478368,0.480757,0.920285,2e-05
00290000,0.861614,0.521632,0.923461,0.931987,51.4231,0.410248,0.478368,0.499496,0.907108,1.6e-05
00300000,0.857625,0.521632,0.922679,0.931216,49.6852,0.396384,0.478368,0.501346,0.907297,1.5e-05
