global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.842897,0.521632,0.894553,0.909785,118.832,0.948034,0.478368,0.416775,2.13502
00020000,0.85425,0.521632,0.883178,0.903495,182.622,1.45694,0.478368,0.450619,2.06923
00030000,0.850568,0.521632,0.868807,0.895059,317.306,2.53143,0.478368,0.448621,2.0529
00040000,0.850261,0.521632,0.866489,0.895037,433.967,3.46215,0.478368,0.452038,2.06102
00050000,0.812519,0.521632,0.883396,0.892967,73.6566,0.587626,0.478368,0.501839,2.0665
00060000,0.841056,0.521632,0.885875,0.903041,165.017,1.31649,0.478368,0.43843,2.05677
00070000,0.850261,0.521632,0.874378,0.898638,270.888,2.16112,0.478368,0.438746,2.0884
00080000,0.840442,0.521632,0.885541,0.90169,198.689,1.58512,0.478368,0.457617,2.07362
00090000,0.850568,0.521632,0.882645,0.90254,250.711,2.00015,0.478368,0.448965,2.08086
00100000,0.849647,0.521632,0.879974,0.901305,264.681,2.1116,0.478368,0.454805,2.06908
00110000,0.851795,0.521632,0.872373,0.898284,372.997,2.97573,0.478368,0.43932,2.06872
00120000,0.850874,0.521632,0.86703,0.895578,466.045,3.71806,0.478368,0.444458,2.09748
00130000,0.851488,0.521632,0.884575,0.903477,259.072,2.06685,0.478368,0.46054,2.07156
00140000,0.85425,0.521632,0.875897,0.89871,363.825,2.90256,0.478368,0.456679,2.07269
00150000,0.845044,0.521632,0.871632,0.897307,328.81,2.62321,0.478368,0.446431,2.07188
00160000,0.844124,0.521632,0.862848,0.891842,446.437,3.56163,0.478368,0.444973,2.0716
00170000,0.849033,0.521632,0.859261,0.890117,535.597,4.27294,0.478368,0.44352,2.06068
00180000,0.848113,0.521632,0.888183,0.903184,165.297,1.31873,0.478368,0.459935,2.04804
00190000,0.794109,0.521632,0.877194,0.886111,67.8762,0.54151,0.478368,0.531067,2.08238
00200000,0.845965,0.521632,0.872286,0.895371,306.851,2.44803,0.478368,0.456511,2.06978
00210000,0.850874,0.521632,0.873794,0.895412,323.84,2.58356,0.478368,0.459834,2.0656
00220000,0.851181,0.521632,0.871436,0.894574,409.871,3.26992,0.478368,0.458703,2.05296
00230000,0.851795,0.521632,0.88589,0.90265,221.536,1.76739,0.478368,0.468998,2.07849
00240000,0.85425,0.521632,0.874797,0.897578,330.672,2.63807,0.478368,0.45221,2.05462
00250000,0.852716,0.521632,0.866779,0.893517,480.587,3.83408,0.478368,0.454614,2.05269
00260000,0.852716,0.521632,0.880408,0.90226,262.62,2.09516,0.478368,0.453686,2.08511
00270000,0.853022,0.521632,0.898589,0.917371,158.613,1.2654,0.478368,0.429062,2.07173
00280000,0.86008,0.521632,0.884816,0.906414,323.868,2.58379,0.478368,0.455116,2.06614
00290000,0.858852,0.521632,0.877907,0.901434,330.042,2.63304,0.478368,0.451036,2.06029
00300000,0.861,0.521632,0.882542,0.907172,326.939,2.60829,0.478368,0.452655,2.12293
