global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.857625,0.521632,0.903845,0.920578,122.366,0.976225,0.478368,0.449137,1.03843,1.8e-05
00020000,0.863455,0.521632,0.881613,0.906588,292.532,2.33379,0.478368,0.447754,1.0673,1.3e-05
00030000,0.863455,0.521632,0.875175,0.902184,428.713,3.42023,0.478368,0.44673,1.07764,1.2e-05
00040000,0.861614,0.521632,0.872838,0.900833,533.312,4.25471,0.478368,0.446944,1.08647,1.3e-05
00050000,0.845351,0.521632,0.899912,0.911328,94.0708,0.750488,0.478368,0.457794,1.07122,1.3e-05
00060000,0.867444,0.521632,0.895164,0.917374,189.152,1.50904,0.478368,0.44717,1.0212,1.5e-05
00070000,0.866523,0.521632,0.88204,0.908606,347.792,2.77465,0.478368,0.449893,1.02436,2e-05
00080000,0.867137,0.521632,0.878406,0.906075,440.314,3.51278,0.478368,0.44907,1.02226,1.3e-05
00090000,0.848113,0.521632,0.891594,0.905507,133.329,1.06368,0.478368,0.456876,1.02341,1.6e-05
00100000,0.851488,0.521632,0.872864,0.900695,341.69,2.72597,0.478368,0.446169,1.02823,1.3e-05
00110000,0.852409,0.521632,0.864143,0.894766,598.604,4.77561,0.478368,0.445311,1.00954,1.3e-05
00120000,0.851181,0.521632,0.863216,0.894291,703.753,5.61447,0.478368,0.444406,1.02448,1.4e-05
00130000,0.854557,0.521632,0.898574,0.912268,139.39,1.11204,0.478368,0.471866,1.02077,2e-05
00140000,0.861614,0.521632,0.882023,0.908992,319.466,2.54867,0.478368,0.440076,1.03914,1.6e-05
00150000,0.860387,0.521632,0.875517,0.905311,433.764,3.46053,0.478368,0.439275,1.02744,1.4e-05
00160000,0.845351,0.521632,0.901538,0.911609,125.07,0.997793,0.478368,0.510793,1.02521,1.3e-05
00170000,0.881252,0.521632,0.89541,0.921297,420.052,3.35113,0.478368,0.442028,1.01496,1.3e-05
00180000,0.880945,0.521632,0.893533,0.920637,540.876,4.31506,0.478368,0.441425,1.02729,1.6e-05
00190000,0.880945,0.521632,0.891566,0.918524,611.101,4.87531,0.478368,0.443739,1.01275,1.5e-05
00200000,0.882479,0.521632,0.890787,0.917476,635.71,5.07164,0.478368,0.446736,1.02032,1.3e-05
00210000,0.84842,0.521632,0.894836,0.908916,126.418,1.00855,0.478368,0.427063,1.01973,1.3e-05
00220000,0.86591,0.521632,0.89643,0.914955,213.116,1.70022,0.478368,0.451786,1.01536,1.3e-05
00230000,0.864376,0.521632,0.881625,0.905665,432.812,3.45294,0.478368,0.455616,1.03532,1.4e-05
00240000,0.865296,0.521632,0.876299,0.90231,564.389,4.50264,0.478368,0.457328,1.0312,1.3e-05
00250000,0.863455,0.521632,0.875537,0.902386,658.197,5.25103,0.478368,0.457246,1.02416,1.5e-05
00260000,0.863148,0.521632,0.892403,0.91078,237.025,1.89096,0.478368,0.450402,1.02061,1.5e-05
00270000,0.861921,0.521632,0.874369,0.900949,604.705,4.82428,0.478368,0.451964,1.02296,1.5e-05
00280000,0.861921,0.521632,0.86982,0.898389,846.012,6.74941,0.478368,0.45242,1.0158,1.4e-05
00290000,0.861614,0.521632,0.868091,0.89731,983.979,7.85009,0.478368,0.451591,1.0206,1.4e-05
00300000,0.86008,0.521632,0.869989,0.898372,1039.88,8.29607,0.478368,0.454006,1.02463,1.4e-05
