global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.667076,0.521632,0.738532,0.715376,76.5574,0.610768,0.478368,0.426837,0.234503,1.4e-05
00020000,0.679963,0.521632,0.761623,0.747282,74.4062,0.593606,0.478368,0.413353,0.230387,1.6e-05
00030000,0.712182,0.521632,0.778107,0.768534,71.3099,0.568903,0.478368,0.514532,0.232079,1.7e-05
00040000,0.704511,0.521632,0.783243,0.777609,71.6835,0.571884,0.478368,0.547983,0.231068,1.4e-05
00050000,0.711875,0.521632,0.792412,0.788433,69.9511,0.558064,0.478368,0.532753,0.231862,1.3e-05
00060000,0.719853,0.521632,0.79955,0.797042,70.069,0.559004,0.478368,0.41178,0.232511,1.5e-05
00070000,0.729672,0.521632,0.805181,0.806076,67.7884,0.54081,0.478368,0.517406,0.232662,1.5e-05
00080000,0.726296,0.521632,0.81256,0.813228,68.0781,0.543121,0.478368,0.415118,0.23258,1.4e-05
00090000,0.735195,0.521632,0.819166,0.82185,67.2271,0.536331,0.478368,0.417757,0.232961,1.3e-05
00100000,0.752071,0.521632,0.828364,0.8334,64.5182,0.51472,0.478368,0.440207,0.231687,1.4e-05
00110000,0.748389,0.521632,0.833944,0.840128,64.5765,0.515186,0.478368,0.538848,0.232373,1.2e-05
00120000,0.753912,0.521632,0.841712,0.848888,63.8822,0.509647,0.478368,0.545642,0.231872,1.7e-05
00130000,0.753605,0.521632,0.846711,0.8543,63.7972,0.508968,0.478368,0.551649,0.22919,1.3e-05
00140000,0.768641,0.521632,0.850643,0.859188,62.0007,0.494636,0.478368,0.517923,0.230209,1.3e-05
00150000,0.777846,0.521632,0.856507,0.865547,61.1698,0.488007,0.478368,0.444513,0.232767,1.7e-05
00160000,0.777846,0.521632,0.86003,0.870002,60.462,0.48236,0.478368,0.484406,0.231325,1.7e-05
00170000,0.780301,0.521632,0.859949,0.870209,61.0917,0.487384,0.478368,0.503073,0.233037,1.5e-05
00180000,0.785824,0.521632,0.862317,0.87323,61,0.486652,0.478368,0.469629,0.233097,1.4e-05
00190000,0.782755,0.521632,0.863063,0.874722,64.2045,0.512218,0.478368,0.416091,0.231511,1.6e-05
00200000,0.790733,0.521632,0.864457,0.875856,63.2497,0.504601,0.478368,0.429462,0.232572,2e-05
00210000,0.791347,0.521632,0.866033,0.878046,64.2334,0.512448,0.478368,0.419899,0.230747,1.4e-05
00220000,0.791961,0.521632,0.867067,0.878243,63.0701,0.503167,0.478368,0.452225,0.233174,1.6e-05
00230000,0.78521,0.521632,0.867311,0.877671,63.826,0.509198,0.478368,0.461588,0.231861,1.3e-05
00240000,0.798098,0.521632,0.869926,0.88115,67.1216,0.53549,0.478368,0.412505,0.232904,1.3e-05
00250000,0.797791,0.521632,0.869774,0.880631,66.8358,0.53321,0.478368,0.423295,0.232361,1.2e-05
00260000,0.794415,0.521632,0.868976,0.880215,65.6545,0.523785,0.478368,0.456335,0.233048,1.3e-05
00270000,0.794415,0.521632,0.872611,0.882422,65.9072,0.525801,0.478368,0.468522,0.230915,2.5e-05
00280000,0.799325,0.521632,0.871041,0.881319,69.1209,0.55144,0.478368,0.433264,0.230426,1.3e-05
00290000,0.790733,0.521632,0.870959,0.880545,67.9702,0.54226,0.478368,0.482828,0.230978,1.7e-05
00300000,0.793802,0.521632,0.871352,0.881193,69.3951,0.553627,0.478368,0.460965,0.23043,2.4e-05
