global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.525008,0.521632,0.642309,0.626643,86.3714,0.689063,0.478368,0.481207,0.23108,1.6e-05
00020000,0.541577,0.521632,0.654095,0.627725,86.0128,0.686203,0.478368,0.479506,0.227949,2e-05
00030000,0.571341,0.521632,0.654079,0.625567,85.5754,0.682713,0.478368,0.479243,0.22865,1.8e-05
00040000,0.59374,0.521632,0.654646,0.625605,85.0681,0.678665,0.478368,0.479805,0.229324,1.8e-05
00050000,0.600184,0.521632,0.655899,0.626844,84.5455,0.674496,0.478368,0.479104,0.228452,1.4e-05
00060000,0.60448,0.521632,0.656569,0.627462,84.0297,0.670381,0.478368,0.479556,0.227265,1.5e-05
00070000,0.606014,0.521632,0.657779,0.629556,83.5505,0.666558,0.478368,0.479216,0.227576,1.7e-05
00080000,0.608469,0.521632,0.658701,0.63108,83.1246,0.663161,0.478368,0.477834,0.228869,1.3e-05
00090000,0.609083,0.521632,0.660148,0.632254,82.7553,0.660214,0.478368,0.477769,0.22874,1.8e-05
00100000,0.611844,0.521632,0.661402,0.634194,82.4354,0.657662,0.478368,0.478248,0.226987,1.1e-05
00110000,0.615833,0.521632,0.662266,0.635683,82.16,0.655465,0.478368,0.478298,0.230539,1.2e-05
00120000,0.61706,0.521632,0.664089,0.637654,81.9181,0.653535,0.478368,0.477364,0.228637,1.6e-05
00130000,0.61706,0.521632,0.664918,0.639157,81.7092,0.651868,0.478368,0.477642,0.226778,1.7e-05
00140000,0.616754,0.521632,0.666658,0.641394,81.5219,0.650374,0.478368,0.477072,0.227304,1.3e-05
00150000,0.614606,0.521632,0.66835,0.643404,81.3505,0.649007,0.478368,0.476355,0.230734,1.3e-05
00160000,0.615526,0.521632,0.670088,0.645652,81.1901,0.647727,0.478368,0.476684,0.229489,1.4e-05
00170000,0.617367,0.521632,0.671268,0.647251,81.0428,0.646552,0.478368,0.476962,0.227916,1.4e-05
00180000,0.617674,0.521632,0.672871,0.649172,80.9016,0.645425,0.478368,0.476878,0.22764,1.5e-05
00190000,0.618595,0.521632,0.67458,0.65113,80.7647,0.644333,0.478368,0.476015,0.227831,1.5e-05
00200000,0.621663,0.521632,0.675931,0.652761,80.6331,0.643283,0.478368,0.477061,0.230878,1.6e-05
00210000,0.624732,0.521632,0.677283,0.65455,80.5033,0.642248,0.478368,0.476584,0.229111,1.2e-05
00220000,0.623811,0.521632,0.679098,0.656355,80.3792,0.641258,0.478368,0.476263,0.230631,1.4e-05
00230000,0.625038,0.521632,0.680527,0.658062,80.2577,0.640289,0.478368,0.476007,0.228675,1.4e-05
00240000,0.625959,0.521632,0.68209,0.659482,80.1368,0.639324,0.478368,0.475936,0.22796,1.7e-05
00250000,0.625345,0.521632,0.683795,0.661105,80.017,0.638368,0.478368,0.475576,0.22955,1.8e-05
00260000,0.624732,0.521632,0.685403,0.662544,79.9017,0.637449,0.478368,0.476021,0.228739,1.3e-05
00270000,0.625652,0.521632,0.686688,0.663893,79.7871,0.636534,0.478368,0.476703,0.229684,1.6e-05
00280000,0.626266,0.521632,0.688589,0.665591,79.6697,0.635598,0.478368,0.47539,0.228873,1.6e-05
00290000,0.628414,0.521632,0.690094,0.667199,79.5569,0.634697,0.478368,0.475643,0.227654,1.5e-05
00300000,0.629641,0.521632,0.691777,0.668566,79.4438,0.633795,0.478368,0.475049,0.228641,1.3e-05
