global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.969803,0.510337,0.99015,0.991315,15.3644,0.120155,0.510337,0.516965,0.482972,1.6e-05
00020000,0.96957,0.510337,0.988443,0.991411,19.8793,0.155463,0.510337,0.495198,0.479302,1.3e-05
00030000,0.968177,0.510337,0.986366,0.989448,22.2435,0.173952,0.510337,0.507109,0.478942,1.4e-05
00040000,0.972203,0.510337,0.987739,0.990831,21.7964,0.170456,0.510337,0.504322,0.482092,1.3e-05
00050000,0.973597,0.510337,0.988358,0.991322,21.2121,0.165886,0.510337,0.506984,0.480956,1.3e-05
00060000,0.967093,0.510337,0.982634,0.988705,33.3995,0.261197,0.510337,0.489219,0.481243,1.6e-05
00070000,0.971274,0.510337,0.987008,0.990499,23.0345,0.180138,0.510337,0.501863,0.479584,1.7e-05
00080000,0.975223,0.510337,0.987267,0.990732,23.9,0.186907,0.510337,0.506215,0.481242,1.4e-05
00090000,0.971816,0.510337,0.986493,0.989845,26.3678,0.206206,0.510337,0.512653,0.482475,1.3e-05
00100000,0.974216,0.510337,0.986779,0.990611,24.4114,0.190906,0.510337,0.500441,0.482375,1.3e-05
00110000,0.974526,0.510337,0.986,0.990444,27.7372,0.216915,0.510337,0.497334,0.484191,1.2e-05
00120000,0.973055,0.510337,0.984867,0.989163,30.6181,0.239444,0.510337,0.506237,0.483492,1.4e-05
00130000,0.974913,0.510337,0.985996,0.990428,26.6818,0.208661,0.510337,0.498526,0.481027,1.4e-05
00140000,0.974216,0.510337,0.984849,0.989937,30.4457,0.238096,0.510337,0.495869,0.483816,1.3e-05
00150000,0.975842,0.510337,0.985968,0.990333,28.3987,0.222088,0.510337,0.499528,0.483537,1.6e-05
00160000,0.975068,0.510337,0.98774,0.99117,23.5188,0.183926,0.510337,0.501539,0.481505,1.3e-05
00170000,0.960511,0.510337,0.978231,0.98691,39.7952,0.311213,0.510337,0.479906,0.483668,1.3e-05
00180000,0.972822,0.510337,0.985738,0.989917,28.4969,0.222856,0.510337,0.502886,0.478702,1.3e-05
00190000,0.970964,0.510337,0.988173,0.991377,22.1838,0.173485,0.510337,0.503458,0.484943,1.5e-05
00200000,0.976616,0.510337,0.987681,0.991264,24.1282,0.188692,0.510337,0.502093,0.481818,1.3e-05
00210000,0.975455,0.510337,0.986261,0.990432,27.8473,0.217776,0.510337,0.501287,0.478743,1.5e-05
00220000,0.976229,0.510337,0.986286,0.99064,26.545,0.207592,0.510337,0.497895,0.480585,1.3e-05
00230000,0.9777,0.510337,0.986947,0.990839,25.398,0.198621,0.510337,0.502494,0.477264,1.6e-05
00240000,0.976152,0.510337,0.985421,0.990255,30.4472,0.238108,0.510337,0.499522,0.478849,1.3e-05
00250000,0.976461,0.510337,0.986394,0.99045,26.6665,0.208542,0.510337,0.505085,0.480517,1.4e-05
00260000,0.9777,0.510337,0.985527,0.990157,27.105,0.211971,0.510337,0.500547,0.48195,1.6e-05
00270000,0.976694,0.510337,0.985121,0.989945,30.2493,0.23656,0.510337,0.50024,0.478623,1.2e-05
00280000,0.976539,0.510337,0.985585,0.990255,28.4048,0.222136,0.510337,0.499684,0.475984,1.2e-05
00290000,0.973829,0.510337,0.985848,0.990302,25.9297,0.20278,0.510337,0.498663,0.478065,1.2e-05
00300000,0.974371,0.510337,0.985713,0.989659,29.4059,0.229965,0.510337,0.506769,0.478736,1.2e-05
