global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.893302,0.510337,0.963008,0.966965,34.0199,0.266048,0.510337,0.457799,1.03307
00020000,0.931552,0.510337,0.980303,0.981279,25.273,0.197644,0.510337,0.561284,1.04156
00030000,0.950136,0.510337,0.984575,0.985195,19.8781,0.155454,0.510337,0.532355,1.02968
00040000,0.956485,0.510337,0.987678,0.987867,17.3959,0.136043,0.510337,0.533496,1.04632
00050000,0.962602,0.510337,0.988947,0.989091,15.5021,0.121232,0.510337,0.515307,1.01271
00060000,0.965002,0.510337,0.989582,0.989633,14.8198,0.115896,0.510337,0.503373,1.05565
00070000,0.967944,0.510337,0.990313,0.990284,14.3964,0.112585,0.510337,0.506023,1.01324
00080000,0.969028,0.510337,0.991103,0.991173,14.072,0.110048,0.510337,0.518063,1.04782
00090000,0.969957,0.510337,0.991699,0.991496,13.8867,0.108599,0.510337,0.519479,1.02964
00100000,0.968331,0.510337,0.991109,0.991255,14.4803,0.113241,0.510337,0.506544,1.01301
00110000,0.968022,0.510337,0.991757,0.99182,14.7309,0.115201,0.510337,0.527071,1.02782
00120000,0.970809,0.510337,0.991884,0.991836,15.0432,0.117643,0.510337,0.498631,1.03924
00130000,0.971971,0.510337,0.99103,0.991179,15.6455,0.122354,0.510337,0.500307,1.04053
00140000,0.973209,0.510337,0.991913,0.992046,15.3289,0.119878,0.510337,0.501814,1.02839
00150000,0.972358,0.510337,0.991306,0.991729,16.4342,0.128521,0.510337,0.522557,1.05492
00160000,0.973597,0.510337,0.99212,0.992375,17.3693,0.135835,0.510337,0.524247,1.04085
00170000,0.973751,0.510337,0.992268,0.992542,18.7066,0.146293,0.510337,0.520935,1.02733
00180000,0.974681,0.510337,0.992132,0.992387,17.2018,0.134524,0.510337,0.515685,1.04214
00190000,0.97561,0.510337,0.992312,0.992595,18.9376,0.148099,0.510337,0.511508,1.03634
00200000,0.974603,0.510337,0.991861,0.992275,20.3966,0.159509,0.510337,0.522155,1.01971
00210000,0.975145,0.510337,0.992173,0.9925,18.8199,0.147178,0.510337,0.511139,1.0417
00220000,0.975532,0.510337,0.992004,0.992474,21.1962,0.165762,0.510337,0.518914,1.04985
00230000,0.970112,0.510337,0.990726,0.991584,21.5556,0.168573,0.510337,0.491225,1.04093
00240000,0.976152,0.510337,0.992466,0.992986,22.1943,0.173567,0.510337,0.51006,1.03641
00250000,0.974758,0.510337,0.991873,0.99233,22.4438,0.175519,0.510337,0.508997,1.01742
00260000,0.97561,0.510337,0.992133,0.992634,23.613,0.184662,0.510337,0.51861,0.978248
00270000,0.975919,0.510337,0.991841,0.992438,24.3022,0.190052,0.510337,0.510522,0.968693
00280000,0.975455,0.510337,0.99176,0.992442,24.9841,0.195385,0.510337,0.512707,1.01388
00290000,0.976539,0.510337,0.992119,0.99262,28.7826,0.22509,0.510337,0.520903,0.980779
00300000,0.975223,0.510337,0.991721,0.992567,27.6638,0.216341,0.510337,0.501758,0.97783
