global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.96175,0.510337,0.986732,0.989818,20.7879,0.162569,0.510337,0.488633,0.537347,1.2e-05
00020000,0.95842,0.510337,0.986829,0.989173,20.4998,0.160316,0.510337,0.522099,0.533958,1.4e-05
00030000,0.96957,0.510337,0.987119,0.989787,20.8093,0.162736,0.510337,0.513494,0.534781,1.4e-05
00040000,0.963763,0.510337,0.987082,0.989238,21.1644,0.165514,0.510337,0.524138,0.525749,1.2e-05
00050000,0.959272,0.510337,0.980931,0.987965,31.2944,0.244734,0.510337,0.481129,0.537088,1.5e-05
00060000,0.955788,0.510337,0.97777,0.986176,35.7974,0.279949,0.510337,0.478703,0.529608,1.2e-05
00070000,0.966163,0.510337,0.985029,0.989578,26.2073,0.20495,0.510337,0.503083,0.536103,1.2e-05
00080000,0.97019,0.510337,0.984628,0.988949,28.8571,0.225673,0.510337,0.505135,0.536102,1.4e-05
00090000,0.971506,0.510337,0.985199,0.989773,26.5882,0.207929,0.510337,0.502067,0.535915,1.3e-05
00100000,0.968719,0.510337,0.98568,0.989539,25.8207,0.201928,0.510337,0.501004,0.527875,1.6e-05
00110000,0.968873,0.510337,0.982035,0.988838,37.6394,0.294354,0.510337,0.490224,0.538604,1.3e-05
00120000,0.971429,0.510337,0.984693,0.989803,24.6271,0.192593,0.510337,0.496012,0.534455,1.1e-05
00130000,0.964925,0.510337,0.982329,0.988684,30.8476,0.241239,0.510337,0.486609,0.533384,1.3e-05
00140000,0.971816,0.510337,0.985533,0.990467,25.4644,0.199141,0.510337,0.496086,0.537995,1.2e-05
00150000,0.965854,0.510337,0.982081,0.988708,31.9326,0.249725,0.510337,0.487879,0.535896,1.3e-05
00160000,0.974061,0.510337,0.986013,0.990133,27.8911,0.218118,0.510337,0.506331,0.533114,1.2e-05
00170000,0.969493,0.510337,0.98549,0.988611,29.1322,0.227824,0.510337,0.520137,0.533733,1.3e-05
00180000,0.973597,0.510337,0.984644,0.989824,29.9993,0.234605,0.510337,0.498093,0.537066,1.3e-05
00190000,0.971738,0.510337,0.985296,0.989961,29.0621,0.227276,0.510337,0.499403,0.53501,1.4e-05
00200000,0.970732,0.510337,0.984016,0.989516,29.6308,0.231724,0.510337,0.494714,0.537845,1.8e-05
00210000,0.971119,0.510337,0.983082,0.989064,33.7286,0.26377,0.510337,0.494625,0.534423,1.2e-05
00220000,0.971971,0.510337,0.982853,0.988826,32.0015,0.250264,0.510337,0.494531,0.538084,1.1e-05
00230000,0.971893,0.510337,0.985533,0.99021,31.3457,0.245135,0.510337,0.49723,0.530062,1.4e-05
00240000,0.970499,0.510337,0.982137,0.988214,39.8809,0.311884,0.510337,0.496833,0.532271,1.5e-05
00250000,0.974061,0.510337,0.98543,0.990323,32.6296,0.255175,0.510337,0.497897,0.532838,1.5e-05
00260000,0.975223,0.510337,0.98501,0.989827,33.4313,0.261445,0.510337,0.501181,0.524219,1.4e-05
00270000,0.972358,0.510337,0.986047,0.989494,28.7284,0.224666,0.510337,0.512771,0.533453,1.4e-05
00280000,0.969493,0.510337,0.98288,0.989059,39.0735,0.305569,0.510337,0.492559,0.528182,1.2e-05
00290000,0.972125,0.510337,0.982724,0.98877,41.2833,0.322851,0.510337,0.497524,0.559572,1.2e-05
00300000,0.974061,0.510337,0.984844,0.989517,35.0083,0.273778,0.510337,0.503015,0.546656,1.6e-05
