global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.957104,0.510337,0.987119,0.989029,17.9778,0.140593,0.510337,0.522545,1.08961
00020000,0.963066,0.510337,0.98358,0.98911,24.0161,0.187815,0.510337,0.485228,1.08597
00030000,0.970887,0.510337,0.985163,0.989542,21.7185,0.169846,0.510337,0.503739,1.09867
00040000,0.966009,0.510337,0.981936,0.988277,28.3009,0.221323,0.510337,0.492696,1.09679
00050000,0.967712,0.510337,0.984757,0.988547,23.307,0.182269,0.510337,0.510155,1.0862
00060000,0.969415,0.510337,0.987485,0.99,20.2621,0.158457,0.510337,0.507323,1.09956
00070000,0.963995,0.510337,0.983291,0.987308,28.5701,0.223428,0.510337,0.51239,1.09033
00080000,0.968951,0.510337,0.980862,0.98786,32.0015,0.250263,0.510337,0.492727,1.08476
00090000,0.972125,0.510337,0.983569,0.989234,28.2055,0.220577,0.510337,0.496073,1.08089
00100000,0.963144,0.510337,0.983961,0.988815,27.1364,0.212217,0.510337,0.490488,1.09685
00110000,0.967867,0.510337,0.9813,0.988283,35.9448,0.281101,0.510337,0.489609,1.09776
00120000,0.972203,0.510337,0.984133,0.989369,30.7875,0.24077,0.510337,0.497917,1.0824
00130000,0.968099,0.510337,0.981542,0.987545,38.3797,0.300143,0.510337,0.497806,1.08699
00140000,0.973751,0.510337,0.985434,0.990231,27.406,0.214325,0.510337,0.498309,1.08883
00150000,0.976771,0.510337,0.985673,0.989863,31.332,0.245028,0.510337,0.503396,1.09067
00160000,0.973906,0.510337,0.982869,0.988837,35.3647,0.276565,0.510337,0.49749,1.08751
00170000,0.973287,0.510337,0.981036,0.987961,52.6884,0.412043,0.510337,0.496327,1.08721
00180000,0.973906,0.510337,0.981764,0.988275,40.1118,0.313689,0.510337,0.498254,1.10277
00190000,0.974293,0.510337,0.98592,0.990482,29.8672,0.233572,0.510337,0.498874,1.17018
00200000,0.970422,0.510337,0.981101,0.988191,45.4046,0.35508,0.510337,0.493576,1.15646
00210000,0.974293,0.510337,0.983999,0.989705,42.901,0.335501,0.510337,0.496559,1.05808
00220000,0.97561,0.510337,0.984512,0.989627,37.5896,0.293964,0.510337,0.500429,1.13989
00230000,0.970267,0.510337,0.982138,0.988613,35.4455,0.277196,0.510337,0.492944,1.10836
00240000,0.970112,0.510337,0.983851,0.988967,41.1684,0.321952,0.510337,0.499401,1.0645
00250000,0.973519,0.510337,0.982748,0.98895,52.9153,0.413817,0.510337,0.498167,1.0505
00260000,0.974139,0.510337,0.986309,0.989685,24.7655,0.193675,0.510337,0.511987,1.08305
00270000,0.971893,0.510337,0.98153,0.988227,47.0642,0.368059,0.510337,0.494955,1.08214
00280000,0.975068,0.510337,0.980831,0.987115,57.2722,0.44789,0.510337,0.504266,1.06476
00290000,0.974603,0.510337,0.983819,0.988917,42.7773,0.334534,0.510337,0.501612,1.06471
00300000,0.973209,0.510337,0.983812,0.989248,36.5098,0.28552,0.510337,0.495879,1.06918
