global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.950213,0.510337,0.984579,0.987296,23.9904,0.187614,0.510337,0.476091,1.24795
00020000,0.958111,0.510337,0.984348,0.988312,24.1187,0.188617,0.510337,0.488059,1.23976
00030000,0.949671,0.510337,0.974973,0.984985,43.5173,0.340321,0.510337,0.470126,1.25713
00040000,0.959737,0.510337,0.980518,0.98737,33.15,0.259245,0.510337,0.485921,1.26205
00050000,0.966473,0.510337,0.984157,0.988648,27.0923,0.211872,0.510337,0.507073,1.25318
00060000,0.966241,0.510337,0.980481,0.987204,34.1549,0.267104,0.510337,0.49531,1.26137
00070000,0.971893,0.510337,0.984299,0.988949,27.2974,0.213475,0.510337,0.503789,1.2387
00080000,0.959117,0.510337,0.981091,0.987287,33.0695,0.258615,0.510337,0.485034,1.24639
00090000,0.970654,0.510337,0.984122,0.988088,27.2846,0.213375,0.510337,0.510574,1.24276
00100000,0.966473,0.510337,0.981364,0.987909,38.8594,0.303895,0.510337,0.491428,1.24345
00110000,0.957182,0.510337,0.982689,0.985673,29.9191,0.233978,0.510337,0.527925,1.24857
00120000,0.970809,0.510337,0.984713,0.989192,33.8009,0.264335,0.510337,0.501904,1.24575
00130000,0.965157,0.510337,0.980995,0.987823,48.4101,0.378585,0.510337,0.489955,1.24141
00140000,0.971816,0.510337,0.982498,0.987595,48.2782,0.377553,0.510337,0.505538,1.2422
00150000,0.959892,0.510337,0.981095,0.986152,49.7577,0.389123,0.510337,0.511664,1.24024
00160000,0.969648,0.510337,0.981406,0.987708,42.6923,0.333869,0.510337,0.496801,1.24126
00170000,0.970964,0.510337,0.981233,0.987944,51.2125,0.400501,0.510337,0.494923,1.26081
00180000,0.964073,0.510337,0.979159,0.986578,48.8422,0.381963,0.510337,0.489933,1.2396
00190000,0.97259,0.510337,0.982022,0.988424,46.0486,0.360117,0.510337,0.496052,1.24287
00200000,0.96988,0.510337,0.984263,0.989239,36.9432,0.288909,0.510337,0.498055,1.26369
00210000,0.963995,0.510337,0.977158,0.985661,58.824,0.460025,0.510337,0.489473,1.25387
00220000,0.970732,0.510337,0.983179,0.988288,41.0373,0.320927,0.510337,0.500849,1.23809
00230000,0.973132,0.510337,0.98332,0.988679,43.433,0.339662,0.510337,0.501818,1.23387
00240000,0.973132,0.510337,0.98203,0.987714,49.2216,0.384931,0.510337,0.501306,1.24418
00250000,0.96988,0.510337,0.984856,0.989366,38.1182,0.298098,0.510337,0.497429,1.20922
00260000,0.972513,0.510337,0.981677,0.987602,86.8991,0.679583,0.510337,0.504871,1.1575
00270000,0.972435,0.510337,0.98018,0.987576,84.2288,0.6587,0.510337,0.497387,1.15145
00280000,0.971583,0.510337,0.984207,0.988417,34.801,0.272156,0.510337,0.509515,1.14681
00290000,0.970345,0.510337,0.984901,0.989663,54.4719,0.42599,0.510337,0.497378,1.14555
00300000,0.971738,0.510337,0.983245,0.989067,56.9809,0.445611,0.510337,0.494698,1.16197
