global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.955943,0.510337,0.984735,0.98679,20.6009,0.161107,0.510337,0.530605,0.716842,1.3e-05
00020000,0.965466,0.510337,0.985967,0.989446,21.4579,0.167809,0.510337,0.50795,0.713882,1.3e-05
00030000,0.960666,0.510337,0.983292,0.988594,26.0912,0.204042,0.510337,0.487046,0.714649,1.4e-05
00040000,0.962137,0.510337,0.988469,0.990508,18.6467,0.145824,0.510337,0.50229,0.715836,1.4e-05
00050000,0.965699,0.510337,0.983341,0.988207,25.8877,0.202451,0.510337,0.501408,0.70624,1.6e-05
00060000,0.963918,0.510337,0.980928,0.987596,31.9803,0.250098,0.510337,0.49093,0.710898,1.3e-05
00070000,0.972667,0.510337,0.982363,0.988165,30.3959,0.237707,0.510337,0.501366,0.713085,1.3e-05
00080000,0.971119,0.510337,0.983865,0.989376,27.6966,0.216597,0.510337,0.499125,0.714109,1.4e-05
00090000,0.96748,0.510337,0.985026,0.989593,29.1919,0.228292,0.510337,0.497735,0.70173,1.2e-05
00100000,0.965931,0.510337,0.978326,0.986823,40.4892,0.31664,0.510337,0.488567,0.702518,1.5e-05
00110000,0.966938,0.510337,0.987343,0.990494,23.3677,0.182744,0.510337,0.496429,0.702169,1.1e-05
00120000,0.971583,0.510337,0.982758,0.988464,35.943,0.281087,0.510337,0.500729,0.70315,1.7e-05
00130000,0.971119,0.510337,0.982552,0.988661,48.9313,0.382661,0.510337,0.495707,0.703411,1.4e-05
00140000,0.970732,0.510337,0.982559,0.988075,53.9388,0.421821,0.510337,0.501832,0.717483,1.3e-05
00150000,0.972358,0.510337,0.980615,0.987201,43.2453,0.338194,0.510337,0.498546,0.713451,1.4e-05
00160000,0.971971,0.510337,0.983735,0.989253,40.7367,0.318576,0.510337,0.499989,0.709034,1.2e-05
00170000,0.974448,0.510337,0.983503,0.988732,52.9121,0.413792,0.510337,0.504069,0.713549,1.7e-05
00180000,0.97228,0.510337,0.982639,0.98797,44.1789,0.345495,0.510337,0.503238,0.713878,1.2e-05
00190000,0.965931,0.510337,0.97539,0.98497,75.2295,0.588322,0.510337,0.490376,0.704495,1.4e-05
00200000,0.97019,0.510337,0.980787,0.986793,60.3189,0.471716,0.510337,0.499176,0.707135,1.2e-05
00210000,0.971661,0.510337,0.982056,0.988333,47.8391,0.374119,0.510337,0.497315,0.71239,1.5e-05
00220000,0.966628,0.510337,0.978761,0.985483,72.0883,0.563757,0.510337,0.504075,0.703591,1.2e-05
00230000,0.973751,0.510337,0.985483,0.98956,76.6255,0.59924,0.510337,0.506005,0.698829,1.2e-05
00240000,0.970654,0.510337,0.984242,0.989761,46.5622,0.364134,0.510337,0.494579,0.707479,1.2e-05
00250000,0.970887,0.510337,0.980614,0.988007,75.9318,0.593814,0.510337,0.493219,0.71352,1.4e-05
00260000,0.969648,0.510337,0.982178,0.987422,87.124,0.681342,0.510337,0.504205,0.713133,1.6e-05
00270000,0.968177,0.510337,0.984279,0.989119,65.969,0.515901,0.510337,0.495473,0.690314,1.3e-05
00280000,0.971429,0.510337,0.980252,0.986584,92.7601,0.725418,0.510337,0.501222,0.71578,1.2e-05
00290000,0.970577,0.510337,0.981318,0.98701,68.9933,0.539552,0.510337,0.504677,0.713823,1.2e-05
00300000,0.972048,0.510337,0.978028,0.985861,79.8209,0.624229,0.510337,0.498028,0.712645,1.2e-05
