global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.961363,0.510337,0.987101,0.989669,18.0542,0.141191,0.510337,0.49084,0.760036,1.4e-05
00020000,0.953775,0.510337,0.981307,0.987498,28.8724,0.225793,0.510337,0.476563,0.764719,1.4e-05
00030000,0.960898,0.510337,0.98641,0.988861,21.1649,0.165517,0.510337,0.507429,0.764675,1.2e-05
00040000,0.969028,0.510337,0.986651,0.990225,22.2695,0.174156,0.510337,0.503211,0.747751,1.2e-05
00050000,0.968177,0.510337,0.982036,0.987876,35.2804,0.275906,0.510337,0.496165,0.753245,1.3e-05
00060000,0.964847,0.510337,0.984068,0.988806,34.8335,0.27241,0.510337,0.491717,0.757333,1.1e-05
00070000,0.970654,0.510337,0.983995,0.988354,40.5881,0.317414,0.510337,0.50741,0.759071,1.4e-05
00080000,0.968873,0.510337,0.984159,0.989156,36.8978,0.288554,0.510337,0.493802,0.759227,1.3e-05
00090000,0.968409,0.510337,0.983384,0.989116,32.9608,0.257765,0.510337,0.491014,0.767794,1.4e-05
00100000,0.970964,0.510337,0.983899,0.987979,36.775,0.287594,0.510337,0.50761,0.757191,1.3e-05
00110000,0.962214,0.510337,0.981899,0.985219,34.6276,0.270801,0.510337,0.523177,0.768557,1.5e-05
00120000,0.967635,0.510337,0.98055,0.987706,83.5209,0.653164,0.510337,0.489504,0.755566,1.5e-05
00130000,0.970887,0.510337,0.984136,0.989242,40.2102,0.314458,0.510337,0.495779,0.762843,1.3e-05
00140000,0.973829,0.510337,0.983517,0.989122,57.6008,0.450459,0.510337,0.500581,0.75781,1.3e-05
00150000,0.968099,0.510337,0.979203,0.987161,57.573,0.450242,0.510337,0.490344,0.772748,3.1e-05
00160000,0.967247,0.510337,0.983382,0.989198,77.8758,0.609017,0.510337,0.488501,0.76551,1.4e-05
00170000,0.970422,0.510337,0.983558,0.98908,70.4444,0.550901,0.510337,0.495317,0.753304,1.3e-05
00180000,0.971274,0.510337,0.982155,0.988687,119.679,0.935931,0.510337,0.493582,0.754373,1.2e-05
00190000,0.971661,0.510337,0.982843,0.988844,110.253,0.862218,0.510337,0.496444,0.760057,1.2e-05
00200000,0.97499,0.510337,0.984243,0.988572,65.9779,0.515971,0.510337,0.50748,0.764648,1.4e-05
00210000,0.966705,0.510337,0.982111,0.988545,51.6638,0.40403,0.510337,0.493414,0.779654,1.3e-05
00220000,0.96686,0.510337,0.978923,0.986616,190.257,1.48788,0.510337,0.492994,0.758028,1.4e-05
00230000,0.971816,0.510337,0.98195,0.988473,221.723,1.73396,0.510337,0.495249,0.826752,1.2e-05
00240000,0.971661,0.510337,0.981709,0.988331,258.114,2.01855,0.510337,0.494653,0.813601,1.6e-05
00250000,0.973364,0.510337,0.982412,0.988002,117.413,0.918215,0.510337,0.5008,0.821034,1.4e-05
00260000,0.968409,0.510337,0.979213,0.987117,193.603,1.51404,0.510337,0.491012,0.82045,1.3e-05
00270000,0.97228,0.510337,0.982007,0.988481,581.956,4.55111,0.510337,0.496015,0.764146,1.3e-05
00280000,0.966551,0.510337,0.976624,0.986103,1016.48,7.94923,0.510337,0.48712,0.762824,1.3e-05
00290000,0.968099,0.510337,0.989697,0.991656,39.9075,0.312091,0.510337,0.495985,0.738511,1.5e-05
00300000,0.973519,0.510337,0.984308,0.988808,107.25,0.838734,0.510337,0.501034,0.764074,1.2e-05
