global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.759427,0.510337,0.852676,0.853779,63.0417,0.493009,0.510337,0.573168,0.431532,1.63888
00020000,0.769803,0.510337,0.864369,0.868456,61.4447,0.48052,0.510337,0.433681,0.304513,1.33113
00030000,0.781417,0.510337,0.868837,0.874417,58.8653,0.460348,0.510337,0.551942,0.306331,1.34184
00040000,0.786914,0.510337,0.871449,0.877857,58.5065,0.457542,0.510337,0.463736,0.306669,1.33352
00050000,0.783817,0.510337,0.873271,0.880201,59.286,0.463638,0.510337,0.440549,0.304718,1.32449
00060000,0.791638,0.510337,0.874789,0.882325,57.1139,0.446651,0.510337,0.487987,0.310205,1.3132
00070000,0.792257,0.510337,0.876243,0.884091,56.6566,0.443075,0.510337,0.522187,0.306843,1.34153
00080000,0.79427,0.510337,0.877729,0.885784,56.3972,0.441047,0.510337,0.494302,0.304859,1.34097
00090000,0.78916,0.510337,0.879408,0.887868,57.0872,0.446443,0.510337,0.561034,0.310275,1.34069
00100000,0.798219,0.510337,0.881098,0.889606,55.8985,0.437147,0.510337,0.483645,0.311795,1.30473
00110000,0.797135,0.510337,0.882813,0.891618,56.648,0.443008,0.510337,0.453837,0.309162,1.31633
00120000,0.795974,0.510337,0.884704,0.893666,55.5502,0.434422,0.510337,0.549649,0.30576,1.46914
00130000,0.802245,0.510337,0.886292,0.895266,55.1412,0.431224,0.510337,0.472715,0.303716,1.46588
00140000,0.806272,0.510337,0.888043,0.897195,54.382,0.425287,0.510337,0.487469,0.306686,1.33654
00150000,0.800232,0.510337,0.889717,0.899194,54.6886,0.427685,0.510337,0.554342,0.329369,1.54062
00160000,0.807278,0.510337,0.89137,0.900985,53.6056,0.419215,0.510337,0.527888,0.322637,1.4714
00170000,0.812002,0.510337,0.892797,0.902295,53.207,0.416098,0.510337,0.498701,0.305052,1.34207
00180000,0.811382,0.510337,0.894185,0.903673,53.4609,0.418084,0.510337,0.473518,0.311337,1.34784
00190000,0.811072,0.510337,0.895546,0.905129,53.4905,0.418315,0.510337,0.464838,0.305706,1.50082
00200000,0.811692,0.510337,0.897117,0.906568,52.4913,0.410501,0.510337,0.534044,0.30836,1.32276
00210000,0.817499,0.510337,0.898398,0.908062,51.9423,0.406208,0.510337,0.506484,0.304306,1.53308
00220000,0.815873,0.510337,0.899718,0.909183,51.7784,0.404926,0.510337,0.526454,0.304051,1.31958
00230000,0.813473,0.510337,0.900957,0.910471,51.845,0.405447,0.510337,0.541755,0.303778,1.54499
00240000,0.821835,0.510337,0.902175,0.911523,51.0996,0.399618,0.510337,0.506995,0.307383,1.32184
00250000,0.81959,0.510337,0.903396,0.912906,50.9971,0.398816,0.510337,0.528872,0.306184,1.32378
00260000,0.822842,0.510337,0.904458,0.913746,50.7494,0.396879,0.510337,0.490619,0.304869,1.33399
00270000,0.825087,0.510337,0.905636,0.915061,50.3152,0.393483,0.510337,0.514257,0.304934,1.33831
00280000,0.819667,0.510337,0.906798,0.916286,50.6148,0.395826,0.510337,0.544364,0.306983,1.54389
00290000,0.826249,0.510337,0.907809,0.917199,49.8759,0.390048,0.510337,0.522262,0.302405,1.33295
00300000,0.823693,0.510337,0.908803,0.918299,49.9568,0.39068,0.510337,0.538322,0.302214,1.55949
