global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.802942,0.510337,0.88711,0.896535,54.0373,0.422591,0.510337,0.528145,0.280198
00020000,0.835695,0.510337,0.924298,0.932691,46.9142,0.366886,0.510337,0.575332,0.289185
00030000,0.885172,0.510337,0.954429,0.96023,35.5616,0.278105,0.510337,0.536298,0.288119
00040000,0.908633,0.510337,0.969729,0.973073,30.2065,0.236225,0.510337,0.468834,0.286534
00050000,0.912427,0.510337,0.977604,0.979774,28.6273,0.223876,0.510337,0.44886,0.28067
00060000,0.941851,0.510337,0.981319,0.983307,22.4679,0.175707,0.510337,0.530158,0.291475
00070000,0.950755,0.510337,0.983554,0.985157,20.4234,0.159719,0.510337,0.513855,0.286164
00080000,0.954084,0.510337,0.984935,0.986644,19.6959,0.154029,0.510337,0.52824,0.282559
00090000,0.954317,0.510337,0.985904,0.98731,18.7709,0.146795,0.510337,0.501169,0.282202
00100000,0.95904,0.510337,0.986215,0.987845,18.3523,0.143522,0.510337,0.517751,0.288761
00110000,0.95664,0.510337,0.986738,0.988228,18.2585,0.142788,0.510337,0.500195,0.286915
00120000,0.954704,0.510337,0.986766,0.988489,19.4141,0.151825,0.510337,0.484843,0.283817
00130000,0.959892,0.510337,0.987454,0.989117,18.105,0.141588,0.510337,0.497986,0.289982
00140000,0.959969,0.510337,0.987385,0.989288,18.1795,0.14217,0.510337,0.499914,0.289462
00150000,0.961518,0.510337,0.987465,0.98937,18.1946,0.142289,0.510337,0.5046,0.284206
00160000,0.959582,0.510337,0.98757,0.989474,19.1029,0.149392,0.510337,0.493226,0.293694
00170000,0.96144,0.510337,0.987155,0.989135,18.8497,0.147412,0.510337,0.504718,0.289451
00180000,0.958962,0.510337,0.986871,0.989068,20.127,0.157401,0.510337,0.492996,0.284001
00190000,0.959582,0.510337,0.986677,0.989073,20.5105,0.1604,0.510337,0.492357,0.289524
00200000,0.960046,0.510337,0.986452,0.989062,20.9229,0.163625,0.510337,0.493721,0.284487
00210000,0.960124,0.510337,0.986317,0.988998,21.1482,0.165387,0.510337,0.49593,0.286241
00220000,0.959272,0.510337,0.986344,0.989053,21.8137,0.170591,0.510337,0.495354,0.285041
00230000,0.960666,0.510337,0.98546,0.988703,22.5926,0.176683,0.510337,0.495688,0.283659
00240000,0.961208,0.510337,0.985815,0.988876,22.5167,0.176088,0.510337,0.500468,0.281806
00250000,0.961827,0.510337,0.985877,0.988839,22.8266,0.178512,0.510337,0.505041,0.279566
00260000,0.960743,0.510337,0.985414,0.988698,23.3472,0.182583,0.510337,0.502932,0.280813
00270000,0.960124,0.510337,0.984828,0.988552,24.6842,0.193039,0.510337,0.4958,0.283848
00280000,0.960046,0.510337,0.984963,0.988545,25.1841,0.196949,0.510337,0.501204,0.276903
00290000,0.95904,0.510337,0.984676,0.988523,25.6777,0.200809,0.510337,0.496991,0.286301
00300000,0.95873,0.510337,0.984047,0.988399,28.0704,0.219521,0.510337,0.486378,0.281505
