global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.864731,0.510337,0.944702,0.951846,40.6595,0.317972,0.510337,0.557972,0.454585,2.3e-05
00020000,0.918622,0.510337,0.969555,0.974281,28.5371,0.223171,0.510337,0.50392,0.310319,1.4e-05
00030000,0.943709,0.510337,0.980202,0.983459,24.3438,0.190377,0.510337,0.479452,0.310011,1.3e-05
00040000,0.944715,0.510337,0.981313,0.985492,26.9829,0.211016,0.510337,0.47406,0.312958,1.4e-05
00050000,0.952304,0.510337,0.981495,0.985878,26.3881,0.206364,0.510337,0.498533,0.31441,1.6e-05
00060000,0.953775,0.510337,0.980028,0.985203,30.257,0.236621,0.510337,0.502729,0.322082,1.5e-05
00070000,0.948045,0.510337,0.976528,0.983842,38.5531,0.301499,0.510337,0.479121,0.320757,1.3e-05
00080000,0.954472,0.510337,0.978224,0.984356,37.2313,0.291162,0.510337,0.498611,0.314685,1.3e-05
00090000,0.909175,0.510337,0.953491,0.974068,86.9634,0.680086,0.510337,0.427716,0.312643,1.3e-05
00100000,0.955401,0.510337,0.976138,0.983425,43.7384,0.34205,0.510337,0.493974,0.314752,1.3e-05
00110000,0.954239,0.510337,0.975241,0.982532,45.3716,0.354822,0.510337,0.497681,0.31575,1.2e-05
00120000,0.945954,0.510337,0.970429,0.981547,58.49,0.457413,0.510337,0.472874,0.314893,1.2e-05
00130000,0.954239,0.510337,0.976614,0.983188,46.4519,0.363271,0.510337,0.505539,0.311277,1.2e-05
00140000,0.955014,0.510337,0.974927,0.982325,50.1229,0.391979,0.510337,0.496948,0.314364,1.3e-05
00150000,0.954162,0.510337,0.974291,0.982768,52.9995,0.414475,0.510337,0.491104,0.318846,1.3e-05
00160000,0.953388,0.510337,0.973227,0.982715,57.2721,0.447889,0.510337,0.485923,0.311794,1.4e-05
00170000,0.954007,0.510337,0.973014,0.98213,57.3196,0.44826,0.510337,0.489171,0.31186,1.3e-05
00180000,0.954084,0.510337,0.973358,0.981174,55.6608,0.435287,0.510337,0.501666,0.298156,1.3e-05
00190000,0.953542,0.510337,0.972266,0.981021,58.8607,0.460312,0.510337,0.496689,0.297999,1.3e-05
00200000,0.957724,0.510337,0.973439,0.98263,58.8292,0.460066,0.510337,0.489838,0.305571,1.2e-05
00210000,0.950058,0.510337,0.971669,0.980491,62.9186,0.492047,0.510337,0.498114,0.297021,1.2e-05
00220000,0.95571,0.510337,0.973767,0.981227,58.2064,0.455195,0.510337,0.505981,0.303639,1.2e-05
00230000,0.953697,0.510337,0.970924,0.981022,64.663,0.505689,0.510337,0.49083,0.303585,1.3e-05
00240000,0.949284,0.510337,0.967095,0.980241,74.6158,0.583522,0.510337,0.477376,0.299404,1.2e-05
00250000,0.953155,0.510337,0.969745,0.980889,70.0125,0.547523,0.510337,0.484192,0.299926,1.2e-05
00260000,0.954781,0.510337,0.973207,0.980467,60.8211,0.475643,0.510337,0.50881,0.295696,1.2e-05
00270000,0.955168,0.510337,0.97171,0.981482,65.971,0.515918,0.510337,0.492345,0.296526,1.3e-05
00280000,0.952691,0.510337,0.969962,0.981235,71.935,0.562558,0.510337,0.483877,0.298097,1.5e-05
00290000,0.955478,0.510337,0.972109,0.981253,66.1797,0.51755,0.510337,0.495935,0.295565,1.3e-05
00300000,0.957027,0.510337,0.97191,0.981695,67.2032,0.525553,0.510337,0.490662,0.300213,1.7e-05
