global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.907549,0.510337,0.963119,0.968683,15.5125,0.242627,0.510337,0.52126,0.259687,1.76516
00020000,0.942083,0.510337,0.980927,0.98365,11.2428,0.175845,0.510337,0.507148,0.252429,1.6117
00030000,0.940457,0.510337,0.983198,0.985788,12.2571,0.19171,0.510337,0.470498,0.254553,1.60449
00040000,0.957801,0.510337,0.985956,0.988049,10.4158,0.162911,0.510337,0.516104,0.253445,1.60013
00050000,0.954781,0.510337,0.985337,0.987668,11.4675,0.179359,0.510337,0.506591,0.25579,1.61532
00060000,0.952149,0.510337,0.983612,0.986767,12.6239,0.197447,0.510337,0.49161,0.252627,1.60797
00070000,0.957956,0.510337,0.985234,0.987902,12.7031,0.198685,0.510337,0.505988,0.25318,1.62481
00080000,0.957956,0.510337,0.984315,0.987762,13.4888,0.210974,0.510337,0.498698,0.253969,1.64799
00090000,0.961672,0.510337,0.98432,0.9882,13.9978,0.218936,0.510337,0.49821,0.252834,1.65314
00100000,0.951219,0.510337,0.979752,0.98586,17.7929,0.278294,0.510337,0.478296,0.256075,1.49738
00110000,0.961982,0.510337,0.984334,0.987931,15.3722,0.240432,0.510337,0.506472,0.256108,1.523
00120000,0.961208,0.510337,0.982832,0.987182,16.4862,0.257856,0.510337,0.508415,0.254907,1.51278
00130000,0.955246,0.510337,0.979109,0.985976,19.1408,0.299376,0.510337,0.481954,0.253221,1.63098
00140000,0.961363,0.510337,0.981155,0.986671,18.1522,0.283913,0.510337,0.495914,0.252133,1.49691
00150000,0.944251,0.510337,0.974292,0.983999,24.8556,0.38876,0.510337,0.466142,0.255664,1.52851
00160000,0.960124,0.510337,0.980007,0.986503,19.8471,0.310424,0.510337,0.489249,0.252545,1.68037
00170000,0.959969,0.510337,0.980292,0.98567,19.7435,0.308802,0.510337,0.500147,0.254157,1.52565
00180000,0.956949,0.510337,0.980738,0.984822,20.8693,0.326412,0.510337,0.521986,0.255873,1.69739
00190000,0.959272,0.510337,0.97934,0.986004,21.4394,0.335328,0.510337,0.489729,0.254652,1.52398
00200000,0.962369,0.510337,0.980272,0.986219,20.815,0.325561,0.510337,0.498441,0.258725,1.50377
00210000,0.963298,0.510337,0.980933,0.986277,21.0333,0.328977,0.510337,0.504076,0.255466,1.53097
00220000,0.963376,0.510337,0.979731,0.98627,21.6578,0.338743,0.510337,0.495003,0.25775,1.50829
00230000,0.954084,0.510337,0.979984,0.984065,23.3854,0.365765,0.510337,0.530536,0.254707,1.51432
00240000,0.964305,0.510337,0.981328,0.986859,21.3495,0.333922,0.510337,0.500107,0.25475,1.74465
00250000,0.963995,0.510337,0.980172,0.986348,22.684,0.354794,0.510337,0.493837,0.251947,1.53103
00260000,0.962447,0.510337,0.981264,0.98664,21.8878,0.342341,0.510337,0.502726,0.252057,1.77948
00270000,0.960511,0.510337,0.979275,0.986091,24.0653,0.376399,0.510337,0.490273,0.256294,1.51621
00280000,0.966241,0.510337,0.980357,0.986801,22.9372,0.358755,0.510337,0.495559,0.254879,1.54075
00290000,0.962834,0.510337,0.978958,0.985659,24.4339,0.382165,0.510337,0.496143,0.252946,1.79699
00300000,0.962292,0.510337,0.979491,0.986029,24.2759,0.379693,0.510337,0.493617,0.254626,1.54116
