global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.685482,0.510337,0.784214,0.777363,86.7133,0.678129,0.510337,0.493858,0.307055,1.1e-05
00020000,0.713279,0.510337,0.792681,0.784485,83.8155,0.655468,0.510337,0.49371,0.301068,1.2e-05
00030000,0.717151,0.510337,0.797555,0.789214,80.4743,0.629338,0.510337,0.515871,0.299165,1.2e-05
00040000,0.725358,0.510337,0.802387,0.794229,77.3893,0.605212,0.510337,0.499357,0.303177,1.3e-05
00050000,0.728997,0.510337,0.807704,0.799993,74.7149,0.584298,0.510337,0.488285,0.29923,1.2e-05
00060000,0.735579,0.510337,0.812686,0.805369,72.3047,0.565449,0.510337,0.503458,0.298815,1.5e-05
00070000,0.740921,0.510337,0.81777,0.811039,70.4234,0.550737,0.510337,0.507241,0.303562,1.1e-05
00080000,0.743089,0.510337,0.822572,0.816503,68.9963,0.539576,0.510337,0.492809,0.299626,1.2e-05
00090000,0.746574,0.510337,0.827215,0.821756,67.6307,0.528897,0.510337,0.522945,0.299798,1.1e-05
00100000,0.749129,0.510337,0.831568,0.826864,66.6764,0.521434,0.510337,0.484682,0.299138,1.4e-05
00110000,0.751761,0.510337,0.835504,0.831505,65.6966,0.513771,0.510337,0.487246,0.301631,1.3e-05
00120000,0.755556,0.510337,0.839125,0.835885,64.9181,0.507683,0.510337,0.48398,0.300603,1.3e-05
00130000,0.760821,0.510337,0.842406,0.839881,64.0007,0.500509,0.510337,0.521587,0.300068,1.3e-05
00140000,0.765776,0.510337,0.84538,0.843501,63.3137,0.495136,0.510337,0.507206,0.300162,1.1e-05
00150000,0.767712,0.510337,0.84799,0.846812,62.7488,0.490718,0.510337,0.503503,0.300584,1.4e-05
00160000,0.766318,0.510337,0.850377,0.849651,62.4216,0.48816,0.510337,0.486167,0.300442,1.3e-05
00170000,0.768409,0.510337,0.852673,0.852523,61.9428,0.484415,0.510337,0.486281,0.302841,1.3e-05
00180000,0.772745,0.510337,0.854642,0.855054,61.4249,0.480365,0.510337,0.528814,0.303586,1.2e-05
00190000,0.77259,0.510337,0.856464,0.857235,61.1185,0.477969,0.510337,0.486301,0.302262,1.5e-05
00200000,0.774681,0.510337,0.858155,0.859436,60.8237,0.475664,0.510337,0.483073,0.305328,1.2e-05
00210000,0.77801,0.510337,0.859652,0.861304,60.3041,0.4716,0.510337,0.525206,0.299331,1.3e-05
00220000,0.776694,0.510337,0.860968,0.862928,60.0479,0.469596,0.510337,0.492575,0.301575,1.3e-05
00230000,0.779249,0.510337,0.862234,0.864574,59.7822,0.467518,0.510337,0.528774,0.29963,1.3e-05
00240000,0.780643,0.510337,0.863374,0.866035,59.4571,0.464976,0.510337,0.522401,0.300372,2.3e-05
00250000,0.781882,0.510337,0.864414,0.86735,59.175,0.46277,0.510337,0.510466,0.294652,1.2e-05
00260000,0.780875,0.510337,0.865338,0.868609,59.1172,0.462318,0.510337,0.490674,0.297016,1.4e-05
00270000,0.783972,0.510337,0.866215,0.869847,58.7996,0.459835,0.510337,0.518353,0.299331,1.1e-05
00280000,0.782811,0.510337,0.866983,0.870817,58.8935,0.460568,0.510337,0.4827,0.295137,1.4e-05
00290000,0.783353,0.510337,0.867756,0.871844,58.7331,0.459314,0.510337,0.482406,0.299849,1.2e-05
00300000,0.784592,0.510337,0.86839,0.87265,58.4507,0.457106,0.510337,0.489147,0.295956,1.6e-05
