global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.951142,0.510337,0.986265,0.987615,19.4254,0.151914,0.510337,0.488448,0.315937,1.43956
00020000,0.966396,0.510337,0.989561,0.991042,16.9048,0.132201,0.510337,0.501517,0.301254,1.34419
00030000,0.965621,0.510337,0.987484,0.990065,20.6725,0.161667,0.510337,0.502644,0.299002,1.3678
00040000,0.963144,0.510337,0.985171,0.989563,27.5457,0.215417,0.510337,0.487571,0.298898,1.35522
00050000,0.967789,0.510337,0.985646,0.989363,27.3713,0.214054,0.510337,0.501271,0.300432,1.36537
00060000,0.964615,0.510337,0.983075,0.988666,32.6331,0.255203,0.510337,0.489065,0.300383,1.35495
00070000,0.966473,0.510337,0.982578,0.988044,33.8894,0.265027,0.510337,0.498869,0.302897,1.38451
00080000,0.960976,0.510337,0.979827,0.987099,41.4151,0.323881,0.510337,0.485748,0.304086,1.37589
00090000,0.965389,0.510337,0.980661,0.986901,40.9985,0.320623,0.510337,0.495697,0.301056,1.26271
00100000,0.966396,0.510337,0.979949,0.986663,44.0985,0.344867,0.510337,0.494779,0.305306,1.26524
00110000,0.967789,0.510337,0.981228,0.98708,41.7379,0.326405,0.510337,0.500408,0.304087,1.27148
00120000,0.942857,0.510337,0.964377,0.97975,80.3897,0.628677,0.510337,0.462114,0.298529,1.27303
00130000,0.96144,0.510337,0.978008,0.986109,51.9829,0.406526,0.510337,0.486624,0.301807,1.40223
00140000,0.968254,0.510337,0.979912,0.986514,48.2168,0.377073,0.510337,0.499661,0.299823,1.2812
00150000,0.962369,0.510337,0.977973,0.985032,52.5366,0.410855,0.510337,0.499908,0.302743,1.26372
00160000,0.960124,0.510337,0.975825,0.983083,57.3625,0.448596,0.510337,0.503738,0.298519,1.41494
00170000,0.965079,0.510337,0.977168,0.985447,59.5732,0.465884,0.510337,0.493167,0.301232,1.26951
00180000,0.965312,0.510337,0.978292,0.984987,58.5606,0.457965,0.510337,0.500668,0.306054,1.28056
00190000,0.961208,0.510337,0.973762,0.983949,67.153,0.525161,0.510337,0.486653,0.302755,1.29889
00200000,0.961827,0.510337,0.975119,0.983817,65.3873,0.511353,0.510337,0.491772,0.304335,1.26614
00210000,0.966241,0.510337,0.978421,0.985435,61.57,0.4815,0.510337,0.499481,0.299361,1.46934
00220000,0.963686,0.510337,0.975784,0.984094,67.4553,0.527525,0.510337,0.495408,0.301532,1.26857
00230000,0.960898,0.510337,0.972677,0.982652,76.2395,0.596221,0.510337,0.490324,0.296914,1.26673
00240000,0.962679,0.510337,0.97332,0.983276,77.1775,0.603556,0.510337,0.492426,0.30663,1.25507
00250000,0.953852,0.510337,0.968427,0.981756,95.0638,0.743433,0.510337,0.476152,0.30405,1.30486
00260000,0.960898,0.510337,0.97184,0.982994,83.6599,0.654251,0.510337,0.485078,0.304019,1.29378
00270000,0.93163,0.510337,0.949456,0.972852,151.96,1.18839,0.510337,0.449433,0.297011,1.27317
00280000,0.96144,0.510337,0.97318,0.983047,82.0447,0.64162,0.510337,0.48944,0.297453,1.51099
00290000,0.963763,0.510337,0.973299,0.983023,87.3988,0.68349,0.510337,0.494787,0.299776,1.27582
00300000,0.963298,0.510337,0.973938,0.982961,83.5477,0.653373,0.510337,0.495471,0.297897,1.29189
