global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.968146,0.500683,0.985715,0.99176,20.8676,0.163807,0.499317,0.477754,0.48742,1.3e-05
00020000,0.965074,0.500683,0.981653,0.989583,27.94,0.219324,0.499317,0.472845,0.498532,1.6e-05
00030000,0.970933,0.500683,0.980286,0.988917,32.6852,0.256573,0.499317,0.478358,0.497474,1.3e-05
00040000,0.971217,0.500683,0.985829,0.991234,19.4584,0.152745,0.499317,0.490597,0.490348,1.5e-05
00050000,0.971047,0.500683,0.978938,0.988315,42.6268,0.334613,0.499317,0.478484,0.499679,1.3e-05
00060000,0.966894,0.500683,0.986917,0.991422,19.4855,0.152958,0.499317,0.487947,0.484016,1.3e-05
00070000,0.970876,0.500683,0.978218,0.987751,42.1989,0.331254,0.499317,0.479028,0.493869,1.3e-05
00080000,0.969625,0.500683,0.980593,0.98925,30.9373,0.242852,0.499317,0.47614,0.498206,1.5e-05
00090000,0.969511,0.500683,0.977633,0.987689,44.4508,0.348931,0.499317,0.475815,0.500645,1.3e-05
00100000,0.968885,0.500683,0.978881,0.98825,40.0697,0.314541,0.499317,0.476654,0.501171,1.4e-05
00110000,0.971274,0.500683,0.980129,0.988314,37.7963,0.296694,0.499317,0.481273,0.499049,1.3e-05
00120000,0.970421,0.500683,0.977341,0.987478,48.5923,0.381441,0.499317,0.476772,0.492147,1.7e-05
00130000,0.968544,0.500683,0.976381,0.986335,40.5701,0.318469,0.499317,0.476965,0.49981,1.4e-05
00140000,0.96843,0.500683,0.976652,0.986835,47.4943,0.372822,0.499317,0.475527,0.500931,1.3e-05
00150000,0.967406,0.500683,0.97579,0.986649,51.7969,0.406597,0.499317,0.47299,0.492317,1.6e-05
00160000,0.968259,0.500683,0.977088,0.986884,48.2497,0.378752,0.499317,0.476727,0.489683,1.4e-05
00170000,0.968259,0.500683,0.976751,0.986468,50.6496,0.397591,0.499317,0.477118,0.499212,1.2e-05
00180000,0.967804,0.500683,0.976924,0.986465,48.9635,0.384355,0.499317,0.479038,0.499038,1.2e-05
00190000,0.968487,0.500683,0.976056,0.986114,54.7267,0.429595,0.499317,0.477733,0.50118,1.2e-05
00200000,0.962287,0.500683,0.973709,0.983596,53.8163,0.422449,0.499317,0.478579,0.492845,1.4e-05
00210000,0.967065,0.500683,0.972602,0.985275,74.8338,0.587433,0.499317,0.471812,0.498152,1.3e-05
00220000,0.96678,0.500683,0.971099,0.984414,110.9,0.870544,0.499317,0.471767,0.496555,1.2e-05
00230000,0.96934,0.500683,0.983696,0.989939,25.836,0.202808,0.499317,0.480257,0.498379,1.6e-05
00240000,0.968885,0.500683,0.97424,0.985655,65.9738,0.517883,0.499317,0.475824,0.499593,1.2e-05
00250000,0.96843,0.500683,0.972979,0.985052,91.0312,0.714579,0.499317,0.475366,0.498474,1.4e-05
00260000,0.968089,0.500683,0.972332,0.984717,112.727,0.884889,0.499317,0.47432,0.499566,1.3e-05
00270000,0.967918,0.500683,0.971884,0.984495,127.357,0.999734,0.499317,0.473938,0.496774,1.4e-05
00280000,0.968032,0.500683,0.971776,0.984413,133.444,1.04751,0.499317,0.474013,0.499684,1.4e-05
00290000,0.967918,0.500683,0.971776,0.984413,135.968,1.06732,0.499317,0.47409,0.497106,1.3e-05
00300000,0.968032,0.500683,0.97172,0.984386,137.431,1.07881,0.499317,0.474167,0.505308,1.2e-05
