global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.973265,0.500228,0.987986,0.993191,17.0787,0.134065,0.499772,0.480124,0.882238
00020000,0.974573,0.500228,0.983419,0.990849,30.6875,0.240892,0.499772,0.480918,0.882064
00030000,0.966894,0.500228,0.985962,0.991358,20.0499,0.157388,0.499772,0.485885,0.878149
00040000,0.97446,0.500228,0.986091,0.99242,21.4469,0.168355,0.499772,0.480526,0.881909
00050000,0.974972,0.500228,0.981716,0.99003,43.0629,0.338036,0.499772,0.481242,0.876788
00060000,0.974801,0.500228,0.980504,0.989288,57.8684,0.454257,0.499772,0.480953,0.882503
00070000,0.973834,0.500228,0.983262,0.990698,29.4311,0.231029,0.499772,0.482323,0.882162
00080000,0.973948,0.500228,0.980857,0.989507,44.1621,0.346665,0.499772,0.48069,0.879257
00090000,0.974517,0.500228,0.97968,0.988835,54.1382,0.424976,0.499772,0.481374,0.875435
00100000,0.974346,0.500228,0.979004,0.988346,63.6052,0.49929,0.499772,0.481373,0.872769
00110000,0.972639,0.500228,0.981131,0.989539,30.7392,0.241298,0.499772,0.479386,0.873082
00120000,0.972355,0.500228,0.979294,0.988546,42.7057,0.335232,0.499772,0.479424,0.878605
00130000,0.968942,0.500228,0.989774,0.992707,14.6736,0.115185,0.499772,0.497378,0.87309
00140000,0.974289,0.500228,0.981889,0.989997,42.3087,0.332116,0.499772,0.481407,0.879415
00150000,0.81661,0.500228,0.83707,0.918498,563.919,4.42667,0.499772,0.316436,0.879653
00160000,0.972696,0.500228,0.982416,0.990489,30.3577,0.238303,0.499772,0.479095,0.887294
00170000,0.972469,0.500228,0.979728,0.989031,44.098,0.346162,0.499772,0.478582,0.889624
00180000,0.973151,0.500228,0.979761,0.988358,40.1433,0.315118,0.499772,0.482361,0.878779
00190000,0.975199,0.500228,0.982245,0.990095,34.5356,0.271099,0.499772,0.482005,0.879765
00200000,0.973151,0.500228,0.984042,0.991006,26.3034,0.206478,0.499772,0.482777,0.879798
00210000,0.973549,0.500228,0.980746,0.98976,35.7135,0.280345,0.499772,0.478078,0.873238
00220000,0.973265,0.500228,0.986961,0.991914,20.3344,0.159621,0.499772,0.489043,0.887814
00230000,0.973606,0.500228,0.981014,0.989445,41.71,0.327417,0.499772,0.479439,0.884335
00240000,0.973606,0.500228,0.980841,0.989671,39.8056,0.312467,0.499772,0.479046,0.900641
00250000,0.973322,0.500228,0.979069,0.988687,52.5158,0.41224,0.499772,0.479089,0.881722
00260000,0.973265,0.500228,0.977924,0.988078,64.8292,0.508898,0.499772,0.478559,0.886401
00270000,0.971502,0.500228,0.980129,0.989015,42.3137,0.332155,0.499772,0.479568,0.885465
00280000,0.971615,0.500228,0.978314,0.987732,54.7374,0.429679,0.499772,0.479723,0.8927
00290000,0.973948,0.500228,0.982642,0.990265,38.3807,0.301282,0.499772,0.483204,0.897291
00300000,0.975882,0.500228,0.984002,0.991414,36.5808,0.287153,0.499772,0.482587,0.885108
