global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.979181,0.500853,0.995064,0.996721,9.2342,0.0724869,0.499147,0.481038,0.705221
00020000,0.985836,0.500853,0.995832,0.997365,7.18832,0.0564271,0.499147,0.489643,0.713812
00030000,0.984983,0.500853,0.995452,0.99726,7.74062,0.0607626,0.499147,0.487382,0.700595
00040000,0.986746,0.500853,0.996187,0.997625,6.63251,0.0520641,0.499147,0.490687,0.687277
00050000,0.985267,0.500853,0.99499,0.99723,8.56412,0.0672268,0.499147,0.486835,0.691541
00060000,0.986689,0.500853,0.995206,0.99726,7.93831,0.0623144,0.499147,0.489202,0.689482
00070000,0.987088,0.500853,0.994705,0.997088,8.74154,0.0686196,0.499147,0.488464,0.713
00080000,0.987088,0.500853,0.994392,0.997014,9.78647,0.0768222,0.499147,0.48893,0.69574
00090000,0.988623,0.500853,0.994286,0.99693,10.0567,0.0789435,0.499147,0.490266,0.721592
00100000,0.987884,0.500853,0.995069,0.997208,8.42464,0.066132,0.499147,0.490386,0.716948
00110000,0.98777,0.500853,0.995357,0.997163,7.19187,0.0564549,0.499147,0.492058,0.702399
00120000,0.987884,0.500853,0.9939,0.996754,10.9717,0.0861257,0.499147,0.489289,0.70287
00130000,0.986234,0.500853,0.993149,0.996392,13.6609,0.107236,0.499147,0.487371,0.69642
00140000,0.988168,0.500853,0.993969,0.996734,10.2856,0.0807399,0.499147,0.490254,0.693571
00150000,0.986689,0.500853,0.993128,0.996426,14.1708,0.111238,0.499147,0.4873,0.706965
00160000,0.98686,0.500853,0.993523,0.996652,12.274,0.0963486,0.499147,0.487881,0.720497
00170000,0.987258,0.500853,0.994526,0.997016,10.287,0.0807515,0.499147,0.489022,0.70202
00180000,0.988339,0.500853,0.993149,0.996446,13.628,0.106978,0.499147,0.489531,0.700811
00190000,0.987884,0.500853,0.993936,0.996741,13.2491,0.104003,0.499147,0.489359,0.720681
00200000,0.98851,0.500853,0.992794,0.99629,20.0471,0.157366,0.499147,0.488948,0.70578
00210000,0.988737,0.500853,0.993537,0.996694,18.5163,0.14535,0.499147,0.489335,0.690818
00220000,0.988908,0.500853,0.993891,0.996877,15.5529,0.122088,0.499147,0.489856,0.695325
00230000,0.989135,0.500853,0.993283,0.996523,16.8966,0.132635,0.499147,0.489587,0.701905
00240000,0.988396,0.500853,0.993495,0.996514,19.7253,0.15484,0.499147,0.489817,0.701608
00250000,0.988623,0.500853,0.993913,0.996871,19.7652,0.155154,0.499147,0.490082,0.696238
00260000,0.988111,0.500853,0.993855,0.996841,18.7952,0.147539,0.499147,0.489291,0.696255
00270000,0.988339,0.500853,0.993411,0.996625,18.7459,0.147152,0.499147,0.488909,0.678926
00280000,0.98868,0.500853,0.994004,0.996844,20.4984,0.160909,0.499147,0.490097,0.686077
00290000,0.988282,0.500853,0.994531,0.997204,20.2523,0.158977,0.499147,0.489201,0.691525
00300000,0.988396,0.500853,0.993954,0.996911,19.7758,0.155237,0.499147,0.48926,0.682771
