global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.970478,0.502787,0.987261,0.992472,18.2782,0.143481,0.502787,0.48195,1.13936
00020000,0.968771,0.502787,0.98338,0.991332,24.8089,0.194745,0.502787,0.476742,1.14701
00030000,0.974687,0.502787,0.984881,0.991392,23.7267,0.18625,0.502787,0.486315,1.10507
00040000,0.971047,0.502787,0.980009,0.989678,37.1486,0.29161,0.502787,0.478033,1.14406
00050000,0.972355,0.502787,0.985604,0.991174,21.7461,0.170703,0.502787,0.489589,1.14334
00060000,0.972924,0.502787,0.983836,0.991249,30.7882,0.241682,0.502787,0.482461,1.14299
00070000,0.973094,0.502787,0.98027,0.989516,47.9226,0.376185,0.502787,0.48103,1.14556
00080000,0.972696,0.502787,0.98163,0.990256,38.4525,0.301845,0.502787,0.480293,1.14988
00090000,0.97099,0.502787,0.985555,0.992042,25.2576,0.198268,0.502787,0.480542,1.14468
00100000,0.97116,0.502787,0.977017,0.987815,57.525,0.451561,0.502787,0.478362,1.13701
00110000,0.970933,0.502787,0.980359,0.989448,40.2728,0.316135,0.502787,0.479139,1.14412
00120000,0.973038,0.502787,0.979706,0.989263,51.4732,0.404056,0.502787,0.479888,1.1371
00130000,0.971445,0.502787,0.979142,0.988646,48.5717,0.381279,0.502787,0.480178,1.13945
00140000,0.970421,0.502787,0.975186,0.986733,75.0449,0.589089,0.502787,0.477599,1.15553
00150000,0.97025,0.502787,0.97783,0.988198,56.133,0.440635,0.502787,0.477688,1.1387
00160000,0.970819,0.502787,0.975023,0.986939,101.875,0.799698,0.502787,0.476866,1.14533
00170000,0.971729,0.502787,0.974704,0.986733,122.391,0.960745,0.502787,0.477881,1.14538
00180000,0.971615,0.502787,0.974114,0.986457,139.838,1.09771,0.502787,0.47742,1.14598
00190000,0.969568,0.502787,0.975039,0.986522,100.99,0.792753,0.502787,0.477939,1.15246
00200000,0.970819,0.502787,0.976562,0.987306,78.9485,0.619733,0.502787,0.47855,1.1439
00210000,0.970421,0.502787,0.979633,0.988941,50.7185,0.398132,0.502787,0.478863,1.1557
00220000,0.968601,0.502787,0.974375,0.986408,68.0322,0.534041,0.502787,0.475372,1.14132
00230000,0.970478,0.502787,0.977061,0.987336,78.3833,0.615296,0.502787,0.480035,1.1409
00240000,0.971445,0.502787,0.978158,0.98836,70.2127,0.551158,0.502787,0.479704,1.13479
00250000,0.970762,0.502787,0.97741,0.987634,66.4361,0.521512,0.502787,0.479547,1.13891
00260000,0.969795,0.502787,0.973494,0.98556,124.062,0.973869,0.502787,0.477858,1.14087
00270000,0.969511,0.502787,0.975444,0.98657,80.3276,0.630558,0.502787,0.478559,1.14494
00280000,0.968885,0.502787,0.975695,0.986802,97.7045,0.766964,0.502787,0.477893,1.14702
00290000,0.969169,0.502787,0.975815,0.986651,101.111,0.793706,0.502787,0.479495,1.14983
00300000,0.971217,0.502787,0.977259,0.987175,80.6376,0.632992,0.502787,0.481306,1.14595
