global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.953091,0.505751,0.968378,0.978033,59.9519,0.474099,0.494249,0.475704,0.485944,1.3e-05
00020000,0.952732,0.505751,0.965019,0.975827,82.1599,0.649719,0.494249,0.475023,0.473512,1.5e-05
00030000,0.952912,0.505751,0.962277,0.974173,97.5638,0.771532,0.494249,0.474982,0.476632,1.3e-05
00040000,0.95417,0.505751,0.962155,0.974164,106.302,0.840631,0.494249,0.475194,0.476008,1.4e-05
00050000,0.95381,0.505751,0.962169,0.974182,109.432,0.865384,0.494249,0.475439,0.470619,1.3e-05
00060000,0.95399,0.505751,0.962017,0.974125,110.995,0.877743,0.494249,0.475372,0.478422,1.3e-05
00070000,0.95399,0.505751,0.961671,0.973958,111.938,0.8852,0.494249,0.475401,0.480791,1.3e-05
00080000,0.95417,0.505751,0.961671,0.973958,112.642,0.890773,0.494249,0.475414,0.476284,1.5e-05
00090000,0.95417,0.505751,0.961837,0.974134,113.203,0.895211,0.494249,0.475419,0.464954,1.4e-05
00100000,0.95417,0.505751,0.961839,0.974136,113.637,0.898642,0.494249,0.475454,0.478943,1.4e-05
00110000,0.95417,0.505751,0.961839,0.974136,114.052,0.90192,0.494249,0.475433,0.47535,1.4e-05
00120000,0.95417,0.505751,0.961839,0.974136,114.391,0.904606,0.494249,0.475439,0.47892,1.5e-05
00130000,0.95417,0.505751,0.96184,0.974137,114.701,0.907051,0.494249,0.475433,0.476872,1.4e-05
00140000,0.95399,0.505751,0.961841,0.974137,114.964,0.909137,0.494249,0.475444,0.467609,1.3e-05
00150000,0.95417,0.505751,0.961842,0.974138,115.216,0.911125,0.494249,0.47544,0.466711,2e-05
00160000,0.95417,0.505751,0.961842,0.974139,115.441,0.912904,0.494249,0.475445,0.482843,1.5e-05
00170000,0.95417,0.505751,0.961843,0.97414,115.66,0.914634,0.494249,0.475441,0.481505,1.5e-05
00180000,0.95417,0.505751,0.961847,0.974148,115.855,0.916181,0.494249,0.475448,0.474649,1.3e-05
00190000,0.95417,0.505751,0.961847,0.974148,116.047,0.9177,0.494249,0.475448,0.466969,1.4e-05
00200000,0.95417,0.505751,0.961847,0.974148,116.228,0.919127,0.494249,0.475448,0.476153,1.6e-05
00210000,0.95417,0.505751,0.961847,0.974148,116.401,0.920498,0.494249,0.475446,0.468993,1.5e-05
00220000,0.95417,0.505751,0.961847,0.974148,116.567,0.921811,0.494249,0.475443,0.476103,1.4e-05
00230000,0.95417,0.505751,0.961847,0.974149,116.719,0.92301,0.494249,0.475445,0.477717,1.4e-05
00240000,0.95417,0.505751,0.961848,0.974149,116.867,0.924183,0.494249,0.475444,0.480987,1.4e-05
00250000,0.95417,0.505751,0.961848,0.974149,116.997,0.925214,0.494249,0.475452,0.479294,1.3e-05
00260000,0.95417,0.505751,0.961848,0.974149,117.13,0.926259,0.494249,0.47545,0.470984,1.5e-05
00270000,0.95417,0.505751,0.961848,0.974149,117.253,0.927234,0.494249,0.475452,0.471225,1.2e-05
00280000,0.95417,0.505751,0.961849,0.97415,117.373,0.928185,0.494249,0.47545,0.467475,1.7e-05
00290000,0.95417,0.505751,0.961849,0.97415,117.487,0.929082,0.494249,0.475449,0.469699,1.3e-05
00300000,0.95417,0.505751,0.961849,0.974151,117.597,0.929951,0.494249,0.475445,0.47098,1.3e-05
