global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.952193,0.501078,0.96613,0.978682,75.4408,0.596584,0.498922,0.475012,0.882589
00020000,0.952372,0.501078,0.963201,0.976785,111.131,0.878825,0.498922,0.47436,0.881213
00030000,0.952013,0.501078,0.962861,0.976639,135.708,1.07317,0.498922,0.474189,0.880683
00040000,0.952193,0.501078,0.962514,0.976465,145.214,1.14835,0.498922,0.473963,0.88001
00050000,0.944464,0.501078,0.96304,0.975973,69.3091,0.548095,0.498922,0.475637,0.88487
00060000,0.946621,0.501078,0.959865,0.973633,96.3898,0.762249,0.498922,0.477445,0.910706
00070000,0.946441,0.501078,0.958642,0.972852,120.284,0.951204,0.498922,0.47799,0.895809
00080000,0.946082,0.501078,0.957769,0.972245,138.733,1.0971,0.498922,0.478045,0.885879
00090000,0.940151,0.501078,0.957251,0.970921,77.3921,0.612015,0.498922,0.481517,0.882469
00100000,0.941589,0.501078,0.957261,0.971209,100.171,0.792148,0.498922,0.480655,0.886196
00110000,0.944824,0.501078,0.955637,0.970473,117.351,0.928012,0.498922,0.478329,0.8874
00120000,0.945543,0.501078,0.954976,0.970521,141.542,1.11932,0.498922,0.474098,0.894581
00130000,0.945363,0.501078,0.959713,0.973711,72.5617,0.573816,0.498922,0.476731,0.89112
00140000,0.946082,0.501078,0.957207,0.972272,103.434,0.817954,0.498922,0.476094,0.890843
00150000,0.946981,0.501078,0.956145,0.971484,127.049,1.0047,0.498922,0.476144,0.888196
00160000,0.94734,0.501078,0.955259,0.970725,143.163,1.13213,0.498922,0.476027,0.883009
00170000,0.943027,0.501078,0.96415,0.975918,48.376,0.382557,0.498922,0.478987,0.881885
00180000,0.941948,0.501078,0.958939,0.97273,65.9784,0.521756,0.498922,0.476775,0.887884
00190000,0.943925,0.501078,0.954439,0.970132,96.8775,0.766105,0.498922,0.475907,0.892424
00200000,0.945004,0.501078,0.953346,0.969359,123.136,0.973759,0.498922,0.474388,0.885357
00210000,0.944644,0.501078,0.952363,0.968977,145.419,1.14997,0.498922,0.472738,0.883089
00220000,0.936017,0.501078,0.956324,0.970761,81.7132,0.646187,0.498922,0.4781,0.884421
00230000,0.938893,0.501078,0.953163,0.969363,104.332,0.825056,0.498922,0.475998,0.884793
00240000,0.938533,0.501078,0.951439,0.96781,129.424,1.02348,0.498922,0.477884,0.883448
00250000,0.941948,0.501078,0.950087,0.967669,153.211,1.21159,0.498922,0.475504,0.885988
00260000,0.942487,0.501078,0.955385,0.970563,116.869,0.924201,0.498922,0.479464,0.886696
00270000,0.944824,0.501078,0.953974,0.970033,121.133,0.957921,0.498922,0.477903,0.883614
00280000,0.944464,0.501078,0.953359,0.96985,128.026,1.01243,0.498922,0.476172,0.890324
00290000,0.941948,0.501078,0.95277,0.969832,139.938,1.10663,0.498922,0.475359,0.893619
00300000,0.941769,0.501078,0.95153,0.968906,159.619,1.26226,0.498922,0.474582,0.893187
