global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.965313,0.505751,0.980641,0.986791,28.5792,0.226004,0.505751,0.494364,0.653352,1.6e-05
00020000,0.963156,0.505751,0.9789,0.985618,32.9342,0.260443,0.505751,0.49778,0.654865,1.3e-05
00030000,0.964774,0.505751,0.977974,0.984693,38.2071,0.302141,0.505751,0.499471,0.648721,1.3e-05
00040000,0.963515,0.505751,0.978363,0.985066,42.9524,0.339667,0.505751,0.496559,0.657213,1.4e-05
00050000,0.965313,0.505751,0.975763,0.983873,54.2365,0.428901,0.505751,0.494527,0.646079,1.3e-05
00060000,0.962976,0.505751,0.972067,0.98062,67.3906,0.532924,0.505751,0.498115,0.657035,2.5e-05
00070000,0.963336,0.505751,0.974266,0.982483,66.5884,0.526579,0.505751,0.49823,0.649088,1.4e-05
00080000,0.963336,0.505751,0.973809,0.981919,88.5261,0.700063,0.505751,0.497736,0.65435,1.5e-05
00090000,0.964774,0.505751,0.971629,0.97996,96.3395,0.761851,0.505751,0.502654,0.648343,1.5e-05
00100000,0.962617,0.505751,0.971749,0.980931,127.747,1.01022,0.505751,0.496371,0.655609,1.6e-05
00110000,0.964234,0.505751,0.972527,0.981031,140.974,1.11482,0.505751,0.497562,0.652828,1.2e-05
00120000,0.962797,0.505751,0.972563,0.980282,121.647,0.961978,0.505751,0.499567,0.646824,1.5e-05
00130000,0.962976,0.505751,0.970947,0.978838,144.167,1.14007,0.505751,0.501548,0.650899,2.1e-05
00140000,0.963515,0.505751,0.970897,0.9789,142.693,1.12841,0.505751,0.501972,0.656012,1.2e-05
00150000,0.962797,0.505751,0.971598,0.979873,158.026,1.24967,0.505751,0.500118,0.652558,1.1e-05
00160000,0.963515,0.505751,0.972175,0.980462,187.241,1.4807,0.505751,0.499879,0.657519,1.3e-05
00170000,0.963515,0.505751,0.971871,0.979949,201.099,1.59029,0.505751,0.501827,0.65078,2.3e-05
00180000,0.964953,0.505751,0.9728,0.980374,182.922,1.44655,0.505751,0.502754,0.648599,1.5e-05
00190000,0.965313,0.505751,0.972716,0.980767,190.064,1.50302,0.505751,0.501229,0.647622,1.3e-05
00200000,0.962976,0.505751,0.970566,0.978947,222.493,1.75947,0.505751,0.502435,0.653744,1.2e-05
00210000,0.963695,0.505751,0.971091,0.978974,249.149,1.97026,0.505751,0.503148,0.645107,1.2e-05
00220000,0.963515,0.505751,0.968901,0.977952,286.329,2.26428,0.505751,0.501194,0.654348,1.6e-05
00230000,0.964055,0.505751,0.970667,0.979102,285.981,2.26153,0.505751,0.499759,0.655343,2.1e-05
00240000,0.963515,0.505751,0.968979,0.97847,311.26,2.46144,0.505751,0.499573,0.650608,1.4e-05
00250000,0.963336,0.505751,0.96897,0.978001,306.835,2.42645,0.505751,0.501015,0.652059,1.7e-05
00260000,0.963515,0.505751,0.968953,0.977981,365.032,2.88667,0.505751,0.501563,0.656198,2.5e-05
00270000,0.963156,0.505751,0.968206,0.97672,348.737,2.7578,0.505751,0.502982,0.644109,1.3e-05
00280000,0.961898,0.505751,0.967891,0.976938,408.094,3.2272,0.505751,0.502174,0.644238,1.9e-05
00290000,0.962437,0.505751,0.968963,0.977218,313.694,2.48069,0.505751,0.504684,0.648311,1.3e-05
00300000,0.962976,0.505751,0.967183,0.976341,410.559,3.24669,0.505751,0.501141,0.647228,1.6e-05
