global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.956147,0.501977,0.965684,0.976698,79.5538,0.62911,0.498023,0.482598,1.15997
00020000,0.957045,0.501977,0.963847,0.975575,107.276,0.848335,0.498023,0.481852,1.16577
00030000,0.957225,0.501977,0.963201,0.975216,122.044,0.96512,0.498023,0.481887,1.16837
00040000,0.956686,0.501977,0.963233,0.975161,127.591,1.00899,0.498023,0.482373,1.16464
00050000,0.956326,0.501977,0.963074,0.975,130.413,1.0313,0.498023,0.482824,1.16092
00060000,0.956326,0.501977,0.962924,0.974853,131.728,1.0417,0.498023,0.483079,1.17034
00070000,0.956686,0.501977,0.962936,0.974878,132.58,1.04844,0.498023,0.483229,1.16092
00080000,0.956326,0.501977,0.96294,0.974886,133.223,1.05353,0.498023,0.483325,1.15931
00090000,0.956326,0.501977,0.96294,0.974886,133.729,1.05753,0.498023,0.483404,1.15641
00100000,0.956326,0.501977,0.962944,0.974894,134.152,1.06087,0.498023,0.483459,1.16265
00110000,0.956326,0.501977,0.962944,0.974895,134.516,1.06375,0.498023,0.483504,1.15633
00120000,0.956506,0.501977,0.962948,0.974903,134.827,1.06621,0.498023,0.483554,1.16035
00130000,0.956506,0.501977,0.962781,0.97473,135.103,1.06839,0.498023,0.483592,1.15925
00140000,0.956326,0.501977,0.962785,0.974739,135.344,1.07029,0.498023,0.483635,1.16667
00150000,0.956326,0.501977,0.962789,0.974747,135.563,1.07203,0.498023,0.483663,1.16197
00160000,0.956506,0.501977,0.962789,0.974747,135.762,1.0736,0.498023,0.483692,1.1605
00170000,0.956506,0.501977,0.96279,0.974748,135.944,1.07505,0.498023,0.483719,1.16229
00180000,0.956506,0.501977,0.962789,0.974747,136.115,1.0764,0.498023,0.483739,1.16149
00190000,0.956506,0.501977,0.962789,0.974748,136.269,1.07761,0.498023,0.483765,1.16131
00200000,0.956506,0.501977,0.96279,0.974748,136.414,1.07876,0.498023,0.483785,1.16238
00210000,0.956506,0.501977,0.962791,0.974749,136.555,1.07987,0.498023,0.483797,1.15913
00220000,0.956506,0.501977,0.962791,0.974749,136.681,1.08087,0.498023,0.483816,1.16571
00230000,0.956506,0.501977,0.962799,0.974766,136.8,1.08181,0.498023,0.483833,1.16617
00240000,0.956506,0.501977,0.9628,0.974767,136.912,1.0827,0.498023,0.483847,1.16688
00250000,0.956326,0.501977,0.9628,0.974767,137.018,1.08354,0.498023,0.483858,1.15449
00260000,0.956326,0.501977,0.962809,0.974785,137.115,1.0843,0.498023,0.483878,1.16129
00270000,0.956326,0.501977,0.962809,0.974785,137.208,1.08504,0.498023,0.483891,1.16325
00280000,0.956326,0.501977,0.962813,0.974794,137.295,1.08573,0.498023,0.483904,1.16352
00290000,0.956326,0.501977,0.962814,0.974794,137.375,1.08636,0.498023,0.483922,1.15899
00300000,0.956326,0.501977,0.962814,0.974794,137.452,1.08697,0.498023,0.483937,1.15524
