global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.9291,0.503055,0.963225,0.975294,48.2251,0.377738,0.503055,0.468515,0.496844,1.3e-05
00020000,0.933185,0.503055,0.964446,0.975495,46.5315,0.364472,0.503055,0.47739,0.492306,1.2e-05
00030000,0.932678,0.503055,0.963123,0.972991,48.6971,0.381435,0.503055,0.491319,0.493316,2.4e-05
00040000,0.930855,0.503055,0.96563,0.975919,45.1283,0.353482,0.503055,0.479063,0.484594,1.5e-05
00050000,0.933455,0.503055,0.961819,0.973621,53.3887,0.418184,0.503055,0.48202,0.488219,1.2e-05
00060000,0.931767,0.503055,0.962494,0.973348,51.8217,0.40591,0.503055,0.484486,0.493089,1.6e-05
00070000,0.932374,0.503055,0.962334,0.972877,52.9684,0.414891,0.503055,0.490471,0.492538,1.2e-05
00080000,0.932239,0.503055,0.95795,0.971077,59.2132,0.463806,0.503055,0.477083,0.493684,1.6e-05
00090000,0.934772,0.503055,0.95859,0.970386,61.8561,0.484507,0.503055,0.489487,0.48698,1.2e-05
00100000,0.936493,0.503055,0.950467,0.966249,125.316,0.981575,0.503055,0.482397,0.5024,1.4e-05
00110000,0.936291,0.503055,0.947093,0.963796,181.983,1.42544,0.503055,0.48308,0.494095,1.6e-05
00120000,0.936325,0.503055,0.945132,0.962539,222.319,1.74138,0.503055,0.482842,0.491681,1.7e-05
00130000,0.936527,0.503055,0.944384,0.962096,241.693,1.89314,0.503055,0.482712,0.491288,1.2e-05
00140000,0.936493,0.503055,0.944279,0.962008,248.931,1.94983,0.503055,0.482886,0.485754,1.4e-05
00150000,0.936527,0.503055,0.944261,0.962061,252.492,1.97772,0.503055,0.482803,0.491262,1.4e-05
00160000,0.936595,0.503055,0.944149,0.962018,254.732,1.99527,0.503055,0.482766,0.491434,1.4e-05
00170000,0.936561,0.503055,0.944125,0.962014,256.377,2.00815,0.503055,0.482744,0.485182,1.3e-05
00180000,0.936595,0.503055,0.944165,0.962055,257.642,2.01806,0.503055,0.482759,0.493063,1.4e-05
00190000,0.936493,0.503055,0.944137,0.962029,258.714,2.02646,0.503055,0.482755,0.4925,1.3e-05
00200000,0.936493,0.503055,0.944075,0.961983,259.638,2.03369,0.503055,0.482757,0.492842,1.6e-05
00210000,0.936493,0.503055,0.944017,0.961944,260.472,2.04022,0.503055,0.482738,0.492206,1.6e-05
00220000,0.936561,0.503055,0.944016,0.96196,261.2,2.04593,0.503055,0.482731,0.486245,1.6e-05
00230000,0.936595,0.503055,0.943983,0.961927,261.822,2.0508,0.503055,0.482747,0.489129,2.1e-05
00240000,0.936595,0.503055,0.943951,0.961912,262.415,2.05544,0.503055,0.482742,0.491627,1.2e-05
00250000,0.936561,0.503055,0.943953,0.961915,262.96,2.05972,0.503055,0.482735,0.489368,1.3e-05
00260000,0.936561,0.503055,0.943954,0.961917,263.444,2.06351,0.503055,0.48274,0.492441,2.4e-05
00270000,0.936561,0.503055,0.943927,0.961872,263.898,2.06706,0.503055,0.48274,0.494187,1.4e-05
00280000,0.936527,0.503055,0.943864,0.961845,264.331,2.07046,0.503055,0.482732,0.490389,2.3e-05
00290000,0.936493,0.503055,0.943864,0.961845,264.724,2.07353,0.503055,0.482733,0.491332,1.2e-05
00300000,0.93646,0.503055,0.943895,0.961876,265.094,2.07643,0.503055,0.48273,0.500624,1.6e-05
