global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.90837,0.50076,0.959467,0.96686,42.7165,0.33459,0.50076,0.504968,0.551636,1.2e-05
00020000,0.926061,0.50076,0.96166,0.974444,45.9369,0.359815,0.50076,0.460751,0.551068,1.3e-05
00030000,0.927175,0.50076,0.962966,0.974458,45.7615,0.358441,0.50076,0.469744,0.551667,1.5e-05
00040000,0.940646,0.50076,0.962461,0.974491,59.4319,0.465518,0.50076,0.48321,0.551148,1.6e-05
00050000,0.923866,0.50076,0.959569,0.967882,51.5812,0.404026,0.50076,0.509577,0.551067,1.6e-05
00060000,0.925048,0.50076,0.961867,0.971116,46.9212,0.367525,0.50076,0.494731,0.552522,1.3e-05
00070000,0.938587,0.50076,0.95312,0.967777,100.81,0.789627,0.50076,0.482558,0.55659,1.3e-05
00080000,0.936865,0.50076,0.961305,0.973173,64.7692,0.507325,0.50076,0.481249,0.556448,1.5e-05
00090000,0.937945,0.50076,0.957542,0.971428,75.8712,0.594285,0.50076,0.477362,0.553365,1.1e-05
00100000,0.935886,0.50076,0.960077,0.971315,58.0142,0.454414,0.50076,0.486164,0.553791,1.3e-05
00110000,0.918768,0.50076,0.953561,0.962839,59.6194,0.466988,0.50076,0.515661,0.550331,1.5e-05
00120000,0.938485,0.50076,0.953391,0.968368,98.7578,0.773551,0.50076,0.478676,0.548689,1.3e-05
00130000,0.93727,0.50076,0.957762,0.971192,74.9015,0.586689,0.50076,0.478106,0.551861,1.2e-05
00140000,0.937101,0.50076,0.950706,0.966956,114.726,0.898626,0.50076,0.477605,0.563478,1.2e-05
00150000,0.93727,0.50076,0.947102,0.964492,148.809,1.1656,0.50076,0.477488,0.548969,1.8e-05
00160000,0.935649,0.50076,0.95667,0.96962,81.6656,0.639671,0.50076,0.481694,0.549525,1.6e-05
00170000,0.935784,0.50076,0.94755,0.962791,153.45,1.20194,0.50076,0.485453,0.552733,1.2e-05
00180000,0.935616,0.50076,0.945281,0.961504,186.507,1.46087,0.50076,0.485358,0.551244,1.3e-05
00190000,0.935278,0.50076,0.956616,0.969656,79.8242,0.625248,0.50076,0.481064,0.551661,1.5e-05
00200000,0.935211,0.50076,0.946148,0.96262,160.866,1.26003,0.50076,0.482566,0.549677,1.5e-05
00210000,0.935481,0.50076,0.944574,0.961486,191.723,1.50173,0.50076,0.483304,0.549156,1.5e-05
00220000,0.934907,0.50076,0.950122,0.965428,108.646,0.851005,0.50076,0.480423,0.551843,1.7e-05
00230000,0.935244,0.50076,0.946099,0.962679,157.128,1.23075,0.50076,0.48091,0.551373,1.4e-05
00240000,0.934974,0.50076,0.944478,0.962248,183.002,1.43342,0.50076,0.478298,0.552636,1.3e-05
00250000,0.936493,0.50076,0.953968,0.968328,95.3506,0.746863,0.50076,0.479866,0.552698,1.1e-05
00260000,0.93619,0.50076,0.949504,0.964877,128.709,1.00815,0.50076,0.482485,0.557817,1.4e-05
00270000,0.936291,0.50076,0.95208,0.967207,102.876,0.805805,0.50076,0.478763,0.558751,1.1e-05
00280000,0.935886,0.50076,0.947998,0.964989,135.484,1.06122,0.50076,0.477089,0.552432,1.5e-05
00290000,0.934974,0.50076,0.954969,0.969059,88.7431,0.695108,0.50076,0.477081,0.55776,1.3e-05
00300000,0.935514,0.50076,0.949008,0.965588,120.364,0.942791,0.50076,0.474995,0.565848,1.5e-05
