global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.947601,0.50103,0.984135,0.98759,18.9629,0.148533,0.49897,0.494075,0.676352,1.2e-05
00020000,0.953206,0.50103,0.986235,0.989563,17.212,0.134819,0.49897,0.504801,0.661038,1.3e-05
00030000,0.956751,0.50103,0.987302,0.990441,16.3701,0.128224,0.49897,0.499429,0.673346,1.3e-05
00040000,0.957932,0.50103,0.987947,0.990965,16.4172,0.128593,0.49897,0.498285,0.662217,1.4e-05
00050000,0.958236,0.50103,0.98841,0.991195,16.2276,0.127108,0.49897,0.502659,0.671503,1.4e-05
00060000,0.959148,0.50103,0.988225,0.991132,16.4431,0.128795,0.49897,0.504121,0.670789,1.2e-05
00070000,0.960532,0.50103,0.98798,0.991254,17.8584,0.139882,0.49897,0.484465,0.66921,1.2e-05
00080000,0.961039,0.50103,0.988626,0.991662,16.565,0.12975,0.49897,0.500064,0.670989,1.3e-05
00090000,0.961714,0.50103,0.988353,0.991473,18.0399,0.141303,0.49897,0.496112,0.671155,1.4e-05
00100000,0.961748,0.50103,0.987577,0.991129,19.541,0.153061,0.49897,0.491734,0.6639,1.2e-05
00110000,0.961342,0.50103,0.988057,0.991254,18.2984,0.143328,0.49897,0.497596,0.665874,1.3e-05
00120000,0.961545,0.50103,0.986882,0.990748,21.6835,0.169843,0.49897,0.494168,0.663953,1.2e-05
00130000,0.962457,0.50103,0.987606,0.991257,21.0571,0.164936,0.49897,0.493341,0.669869,1.4e-05
00140000,0.963841,0.50103,0.987517,0.991377,21.8882,0.171446,0.49897,0.490983,0.663068,1.5e-05
00150000,0.964246,0.50103,0.987989,0.991379,20.6945,0.162096,0.49897,0.49642,0.66528,1.7e-05
00160000,0.964584,0.50103,0.987435,0.991265,21.9579,0.171992,0.49897,0.493076,0.665348,2.3e-05
00170000,0.965158,0.50103,0.987371,0.991469,24.8134,0.194358,0.49897,0.48691,0.664857,1.4e-05
00180000,0.964178,0.50103,0.986517,0.990977,25.9981,0.203638,0.49897,0.485357,0.660211,1.3e-05
00190000,0.965259,0.50103,0.988149,0.991699,20.7728,0.162709,0.49897,0.490819,0.665312,4.6e-05
00200000,0.964516,0.50103,0.98662,0.991093,28.6524,0.224429,0.49897,0.489346,0.671331,1.3e-05
00210000,0.965428,0.50103,0.98628,0.991235,27.6831,0.216836,0.49897,0.483208,0.666215,1.2e-05
00220000,0.965765,0.50103,0.987076,0.991345,25.6593,0.200984,0.49897,0.487477,0.669135,1.1e-05
00230000,0.965259,0.50103,0.98724,0.991492,26.2379,0.205517,0.49897,0.486361,0.664992,1.6e-05
00240000,0.966204,0.50103,0.985749,0.990961,31.4572,0.246398,0.49897,0.482021,0.669349,1.3e-05
00250000,0.964482,0.50103,0.986491,0.991066,26.8679,0.210451,0.49897,0.486026,0.666121,1.3e-05
00260000,0.9659,0.50103,0.986121,0.991178,34.3464,0.269029,0.49897,0.48322,0.657461,1.1e-05
00270000,0.966812,0.50103,0.985945,0.990979,32.2588,0.252677,0.49897,0.483753,0.662974,1.5e-05
00280000,0.965968,0.50103,0.986311,0.991206,29.9629,0.234694,0.49897,0.484465,0.666004,1.3e-05
00290000,0.96617,0.50103,0.98635,0.991107,29.263,0.229212,0.49897,0.486197,0.663676,1.3e-05
00300000,0.965326,0.50103,0.986148,0.991044,29.964,0.234702,0.49897,0.484434,0.663216,1.3e-05
