global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.934907,0.506432,0.970048,0.977056,38.2842,0.299873,0.493568,0.487553,1.17416
00020000,0.93835,0.506432,0.97059,0.978564,39.3395,0.308139,0.493568,0.481982,1.15642
00030000,0.939161,0.506432,0.967156,0.977284,47.0451,0.368495,0.493568,0.476854,1.17232
00040000,0.941592,0.506432,0.965774,0.975662,50.156,0.392863,0.493568,0.477206,1.17553
00050000,0.942098,0.506432,0.963052,0.974392,60.8723,0.476801,0.493568,0.475935,1.17202
00060000,0.942773,0.506432,0.954619,0.967779,120.722,0.945591,0.493568,0.480347,1.1788
00070000,0.942604,0.506432,0.951631,0.965087,163.465,1.28039,0.493568,0.482337,1.15849
00080000,0.942436,0.506432,0.950709,0.964361,192.446,1.5074,0.493568,0.482899,1.16112
00090000,0.942503,0.506432,0.950337,0.964369,204.611,1.60268,0.493568,0.481837,1.16126
00100000,0.942436,0.506432,0.950236,0.964385,208.819,1.63564,0.493568,0.481344,1.15153
00110000,0.942402,0.506432,0.950272,0.964473,211.066,1.65324,0.493568,0.48111,1.16148
00120000,0.942436,0.506432,0.950246,0.964463,212.62,1.66541,0.493568,0.480946,1.14853
00130000,0.942436,0.506432,0.950155,0.964404,213.803,1.67468,0.493568,0.480829,1.17968
00140000,0.942436,0.506432,0.950009,0.964359,214.781,1.68234,0.493568,0.480718,1.14569
00150000,0.942436,0.506432,0.950008,0.964393,215.594,1.6887,0.493568,0.480643,1.1507
00160000,0.942503,0.506432,0.950034,0.964436,216.309,1.69431,0.493568,0.480564,1.16683
00170000,0.942503,0.506432,0.950096,0.964518,216.936,1.69922,0.493568,0.4805,1.15263
00180000,0.942436,0.506432,0.950063,0.964499,217.484,1.70351,0.493568,0.480456,1.13789
00190000,0.942503,0.506432,0.950035,0.96447,217.99,1.70747,0.493568,0.480409,1.10665
00200000,0.942503,0.506432,0.950096,0.964533,218.457,1.71113,0.493568,0.48036,1.15101
00210000,0.942436,0.506432,0.950062,0.964534,218.885,1.71448,0.493568,0.480317,1.09656
00220000,0.942537,0.506432,0.950032,0.96452,219.277,1.71755,0.493568,0.480283,1.11929
00230000,0.942537,0.506432,0.950063,0.96457,219.647,1.72045,0.493568,0.480243,1.09884
00240000,0.942503,0.506432,0.95007,0.964576,219.99,1.72314,0.493568,0.48021,1.10084
00250000,0.942571,0.506432,0.950075,0.96458,220.309,1.72564,0.493568,0.48018,1.12519
00260000,0.942537,0.506432,0.950042,0.964565,220.608,1.72798,0.493568,0.480154,1.11775
00270000,0.942537,0.506432,0.950041,0.964581,220.888,1.73017,0.493568,0.48013,1.11939
00280000,0.942537,0.506432,0.950008,0.964565,221.157,1.73228,0.493568,0.480103,1.14718
00290000,0.942571,0.506432,0.950038,0.964595,221.409,1.73425,0.493568,0.48008,1.14809
00300000,0.942571,0.506432,0.950039,0.964616,221.643,1.73608,0.493568,0.480061,1.15966
