global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.863957,0.510337,0.945202,0.948131,40.5621,0.31721,0.510337,0.455086,0.560067,1.1e-05
00020000,0.892993,0.510337,0.972635,0.975143,34.6099,0.270662,0.510337,0.423205,0.42992,1.4e-05
00030000,0.936043,0.510337,0.979781,0.982093,23.1286,0.180874,0.510337,0.497994,0.437845,1.7e-05
00040000,0.946883,0.510337,0.983513,0.985902,21.3289,0.1668,0.510337,0.492979,0.441636,1.2e-05
00050000,0.95091,0.510337,0.984802,0.987393,21.2362,0.166075,0.510337,0.500427,0.438427,1.4e-05
00060000,0.944638,0.510337,0.983488,0.987165,26.0319,0.203579,0.510337,0.470524,0.431337,1.5e-05
00070000,0.949903,0.510337,0.983793,0.987531,25.609,0.200272,0.510337,0.478309,0.441437,1.4e-05
00080000,0.956717,0.510337,0.98547,0.988535,22.6978,0.177505,0.510337,0.509421,0.436702,1.1e-05
00090000,0.957569,0.510337,0.983834,0.987677,24.7309,0.193404,0.510337,0.508085,0.43676,1.3e-05
00100000,0.954317,0.510337,0.982632,0.987808,28.1865,0.220429,0.510337,0.484233,0.431418,1.4e-05
00110000,0.95664,0.510337,0.982399,0.987097,28.4238,0.222284,0.510337,0.497073,0.441155,1.3e-05
00120000,0.939837,0.510337,0.975515,0.985062,41.8585,0.327349,0.510337,0.459671,0.439408,1.4e-05
00130000,0.957027,0.510337,0.983742,0.987281,26.8277,0.209802,0.510337,0.512638,0.43074,1.3e-05
00140000,0.960821,0.510337,0.984041,0.988239,26.9338,0.210632,0.510337,0.506608,0.441773,1.2e-05
00150000,0.961827,0.510337,0.984303,0.98887,27.75,0.217015,0.510337,0.492916,0.437987,1.5e-05
00160000,0.957956,0.510337,0.982409,0.986625,29.4595,0.230384,0.510337,0.50455,0.44041,1.2e-05
00170000,0.955323,0.510337,0.981025,0.985809,29.4161,0.230045,0.510337,0.504056,0.438386,1.3e-05
00180000,0.962369,0.510337,0.983138,0.988054,29.0253,0.226988,0.510337,0.496424,0.432805,1.3e-05
00190000,0.958962,0.510337,0.982981,0.987576,29.9222,0.234002,0.510337,0.49968,0.43553,1.6e-05
00200000,0.960898,0.510337,0.982788,0.988615,30.4691,0.23828,0.510337,0.486018,0.444746,1.6e-05
00210000,0.965544,0.510337,0.984137,0.988619,27.6696,0.216386,0.510337,0.498953,0.435517,1.8e-05
00220000,0.957414,0.510337,0.982,0.987635,30.7101,0.240164,0.510337,0.491175,0.440638,1.3e-05
00230000,0.964692,0.510337,0.985331,0.988931,27.8219,0.217578,0.510337,0.509056,0.443744,1.6e-05
00240000,0.955091,0.510337,0.980572,0.987828,34.9638,0.273429,0.510337,0.478043,0.527151,1.5e-05
00250000,0.961285,0.510337,0.982236,0.988321,32.4064,0.25343,0.510337,0.486812,0.62501,1.3e-05
00260000,0.963298,0.510337,0.983804,0.988818,29.9603,0.2343,0.510337,0.492834,0.532324,2.2e-05
00270000,0.959272,0.510337,0.981153,0.987826,34.5827,0.270449,0.510337,0.484711,0.66489,1.7e-05
00280000,0.957724,0.510337,0.980779,0.987158,32.4365,0.253666,0.510337,0.487246,0.52313,1.4e-05
00290000,0.963763,0.510337,0.983735,0.988926,29.4094,0.229992,0.510337,0.491472,0.5997,2.1e-05
00300000,0.963608,0.510337,0.984468,0.988033,28.5635,0.223377,0.510337,0.514866,0.540135,2.3e-05
