global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.88734,0.510337,0.963722,0.966691,34.0326,0.266147,0.510337,0.56806,0.612725,1.2e-05
00020000,0.927294,0.510337,0.977049,0.979368,24.9959,0.195477,0.510337,0.511792,0.486996,1.7e-05
00030000,0.938986,0.510337,0.981894,0.984458,23.5655,0.184291,0.510337,0.525373,0.491997,1.7e-05
00040000,0.945567,0.510337,0.981616,0.985352,25.2583,0.197529,0.510337,0.499275,0.492188,1.4e-05
00050000,0.952923,0.510337,0.983696,0.987494,23.8686,0.186661,0.510337,0.491409,0.490019,1.6e-05
00060000,0.955168,0.510337,0.982882,0.987152,24.9903,0.195433,0.510337,0.490207,0.485808,1.3e-05
00070000,0.932791,0.510337,0.97947,0.982007,31.2335,0.244257,0.510337,0.553134,0.483364,1.3e-05
00080000,0.957259,0.510337,0.98455,0.988083,24.4435,0.191157,0.510337,0.499324,0.491954,1.7e-05
00090000,0.950213,0.510337,0.982323,0.98519,26.7192,0.208954,0.510337,0.531479,0.481313,1.3e-05
00100000,0.960279,0.510337,0.985774,0.988663,23.1413,0.180973,0.510337,0.518385,0.480802,1.7e-05
00110000,0.958111,0.510337,0.982753,0.987114,27.9206,0.218349,0.510337,0.500874,0.489515,1.2e-05
00120000,0.962292,0.510337,0.985406,0.988907,22.7872,0.178204,0.510337,0.500261,0.493339,1.3e-05
00130000,0.965544,0.510337,0.986677,0.990339,23.8007,0.18613,0.510337,0.499272,0.493043,2.4e-05
00140000,0.957491,0.510337,0.982405,0.987223,28.0439,0.219314,0.510337,0.497246,0.498314,1.4e-05
00150000,0.962524,0.510337,0.984456,0.989186,25.7774,0.201588,0.510337,0.490664,0.484683,1.3e-05
00160000,0.966163,0.510337,0.986205,0.989941,23.3342,0.182482,0.510337,0.500737,0.486294,1.5e-05
00170000,0.968099,0.510337,0.986429,0.989718,23.2187,0.181579,0.510337,0.504279,0.487655,1.2e-05
00180000,0.95873,0.510337,0.98295,0.987304,26.1055,0.204155,0.510337,0.503557,0.484104,1.5e-05
00190000,0.967015,0.510337,0.98586,0.989701,24.2941,0.189989,0.510337,0.501382,0.48322,1.1e-05
00200000,0.965389,0.510337,0.985421,0.989316,25.4213,0.198804,0.510337,0.502082,0.485925,1.7e-05
00210000,0.946961,0.510337,0.97728,0.982182,35.2086,0.275344,0.510337,0.511732,0.490708,1.4e-05
00220000,0.965931,0.510337,0.985224,0.989482,25.3005,0.197859,0.510337,0.499181,0.491118,1.3e-05
00230000,0.962602,0.510337,0.983224,0.987833,28.6147,0.223777,0.510337,0.50038,0.494489,1.4e-05
00240000,0.967093,0.510337,0.98474,0.989428,26.221,0.205058,0.510337,0.498417,0.60211,1.6e-05
00250000,0.964383,0.510337,0.984904,0.988708,25.7444,0.201331,0.510337,0.50305,0.632357,2.2e-05
00260000,0.963531,0.510337,0.984961,0.989808,26.6791,0.20864,0.510337,0.486793,0.583001,2.2e-05
00270000,0.961053,0.510337,0.982697,0.98867,30.5992,0.239297,0.510337,0.484554,0.726386,2.3e-05
00280000,0.960666,0.510337,0.98547,0.98875,22.0879,0.172736,0.510337,0.505878,0.579288,1.5e-05
00290000,0.965312,0.510337,0.983187,0.989037,29.6846,0.232145,0.510337,0.490385,0.647283,1.6e-05
00300000,0.966163,0.510337,0.985179,0.989581,26.4111,0.206545,0.510337,0.497704,0.533664,1.3e-05
