global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.918235,0.510337,0.971386,0.97407,27.7747,0.217209,0.510337,0.488216,0.742368,1.2e-05
00020000,0.941231,0.510337,0.98266,0.985073,22.5951,0.176702,0.510337,0.481067,0.608954,1.3e-05
00030000,0.947425,0.510337,0.984903,0.987164,21.3896,0.167274,0.510337,0.529146,0.612254,1.3e-05
00040000,0.951916,0.510337,0.985285,0.987481,21.9965,0.17202,0.510337,0.526431,0.6227,1.3e-05
00050000,0.959195,0.510337,0.985406,0.988153,20.4176,0.159673,0.510337,0.509081,0.614664,1.3e-05
00060000,0.959659,0.510337,0.985664,0.989316,22.1484,0.173208,0.510337,0.489487,0.621858,1.4e-05
00070000,0.964615,0.510337,0.985655,0.989451,21.5766,0.168737,0.510337,0.49722,0.610875,1.3e-05
00080000,0.951065,0.510337,0.980754,0.987605,32.4992,0.254155,0.510337,0.472446,0.607285,1.3e-05
00090000,0.962911,0.510337,0.985272,0.989361,22.8338,0.178569,0.510337,0.495284,0.622481,1.3e-05
00100000,0.965312,0.510337,0.988162,0.990646,19.7942,0.154798,0.510337,0.515729,0.616179,1.5e-05
00110000,0.944483,0.510337,0.979019,0.985055,31.8368,0.248975,0.510337,0.472523,0.617528,1.2e-05
00120000,0.970422,0.510337,0.987095,0.990851,20.1787,0.157804,0.510337,0.499955,0.614645,1.5e-05
00130000,0.969183,0.510337,0.987675,0.99079,21.0224,0.164403,0.510337,0.504535,0.614984,1.2e-05
00140000,0.963453,0.510337,0.984883,0.990127,25.3873,0.198538,0.510337,0.485265,0.618277,1.6e-05
00150000,0.961595,0.510337,0.983491,0.988604,26.165,0.20462,0.510337,0.492473,0.605182,1.5e-05
00160000,0.956949,0.510337,0.983778,0.987612,24.3863,0.19071,0.510337,0.496419,0.605235,1.4e-05
00170000,0.966783,0.510337,0.986056,0.989933,22.727,0.177733,0.510337,0.498506,0.61695,1.3e-05
00180000,0.970267,0.510337,0.98791,0.991363,20.6266,0.161307,0.510337,0.499033,0.614912,1.4e-05
00190000,0.971661,0.510337,0.98824,0.991096,20.2505,0.158366,0.510337,0.508473,0.604916,1.4e-05
00200000,0.970887,0.510337,0.987257,0.990639,21.1286,0.165233,0.510337,0.502933,0.617108,1.5e-05
00210000,0.972435,0.510337,0.987041,0.99106,21.5211,0.168303,0.510337,0.498304,0.609288,1.6e-05
00220000,0.952846,0.510337,0.979765,0.987518,33.6351,0.263039,0.510337,0.472653,0.639721,1.3e-05
00230000,0.966163,0.510337,0.984533,0.990073,26.4004,0.206461,0.510337,0.488595,0.618427,1.3e-05
00240000,0.968873,0.510337,0.986477,0.990886,22.8981,0.179072,0.510337,0.494119,0.682637,1.3e-05
00250000,0.968099,0.510337,0.987102,0.989773,22.5696,0.176502,0.510337,0.516086,0.699438,1.3e-05
00260000,0.971119,0.510337,0.985848,0.99038,24.827,0.194156,0.510337,0.49768,0.855384,1.2e-05
00270000,0.966009,0.510337,0.985873,0.990085,24.3931,0.190763,0.510337,0.49464,0.911992,1.4e-05
00280000,0.973209,0.510337,0.988375,0.991467,18.892,0.147742,0.510337,0.501912,0.687453,2.1e-05
00290000,0.971196,0.510337,0.988084,0.991402,20.0984,0.157177,0.510337,0.501965,0.835593,1.7e-05
00300000,0.973442,0.510337,0.987149,0.991,21.9635,0.171763,0.510337,0.501876,0.713643,1.3e-05
