global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.868138,0.510337,0.948578,0.952706,39.2761,0.307153,0.510337,0.456505,1.15087
00020000,0.918235,0.510337,0.975067,0.976531,26.7637,0.209302,0.510337,0.484774,1.16191
00030000,0.902362,0.510337,0.976203,0.978669,32.6539,0.255365,0.510337,0.430457,1.15934
00040000,0.942702,0.510337,0.984621,0.985763,20.3875,0.159437,0.510337,0.491341,1.16359
00050000,0.94758,0.510337,0.985251,0.986228,19.4137,0.151822,0.510337,0.509603,1.15214
00060000,0.949129,0.510337,0.986451,0.987245,18.6837,0.146113,0.510337,0.493387,1.15713
00070000,0.954007,0.510337,0.987788,0.988974,17.5496,0.137244,0.510337,0.522665,1.16601
00080000,0.957724,0.510337,0.987944,0.989295,16.8418,0.131709,0.510337,0.513501,1.16419
00090000,0.957104,0.510337,0.989064,0.989741,16.5584,0.129493,0.510337,0.495576,1.17444
00100000,0.961053,0.510337,0.989044,0.990078,15.9638,0.124842,0.510337,0.501054,1.1828
00110000,0.966086,0.510337,0.989968,0.991176,15.1655,0.118599,0.510337,0.503725,1.16528
00120000,0.95571,0.510337,0.989039,0.990415,18.404,0.143926,0.510337,0.480045,1.17346
00130000,0.967789,0.510337,0.990525,0.991761,14.5924,0.114118,0.510337,0.503122,1.17384
00140000,0.960434,0.510337,0.989387,0.990782,16.7853,0.131267,0.510337,0.488117,1.17427
00150000,0.969803,0.510337,0.991415,0.992167,13.6571,0.106804,0.510337,0.506022,1.16543
00160000,0.969106,0.510337,0.991065,0.992026,14.3927,0.112557,0.510337,0.503541,1.15275
00170000,0.967944,0.510337,0.990974,0.992092,14.371,0.112387,0.510337,0.519312,1.17176
00180000,0.966163,0.510337,0.990474,0.991929,15.4042,0.120467,0.510337,0.492807,1.14605
00190000,0.957259,0.510337,0.989665,0.991088,18.2314,0.142576,0.510337,0.481468,1.10461
00200000,0.967402,0.510337,0.989996,0.991774,16.429,0.12848,0.510337,0.49219,1.10599
00210000,0.968951,0.510337,0.991133,0.992296,14.7393,0.115266,0.510337,0.514336,1.10326
00220000,0.967867,0.510337,0.990936,0.992049,14.4119,0.112707,0.510337,0.507985,1.09104
00230000,0.970267,0.510337,0.991062,0.992646,14.7235,0.115143,0.510337,0.502694,1.09728
00240000,0.972822,0.510337,0.991263,0.992861,14.5045,0.113431,0.510337,0.497216,1.10497
00250000,0.966783,0.510337,0.990672,0.991807,15.1913,0.118802,0.510337,0.514719,1.11709
00260000,0.970577,0.510337,0.990642,0.99238,15.4176,0.120571,0.510337,0.496747,1.20125
00270000,0.969648,0.510337,0.991488,0.993078,15.8361,0.123844,0.510337,0.492152,1.17626
00280000,0.968873,0.510337,0.991493,0.992726,15.043,0.117642,0.510337,0.494028,1.1933
00290000,0.972435,0.510337,0.991224,0.992755,15.0868,0.117984,0.510337,0.497272,1.18116
00300000,0.974216,0.510337,0.992089,0.993383,13.8427,0.108255,0.510337,0.506992,1.19627
