global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.791715,0.510337,0.89914,0.902377,56.8313,0.444442,0.510337,0.605681,0.771997,1.4e-05
00020000,0.865196,0.510337,0.942813,0.947484,41.1992,0.322193,0.510337,0.521519,0.652784,2.1e-05
00030000,0.840496,0.510337,0.953632,0.956989,42.7775,0.334536,0.510337,0.409093,0.654215,1.3e-05
00040000,0.896864,0.510337,0.966239,0.969014,32.9657,0.257804,0.510337,0.553038,0.659615,1.4e-05
00050000,0.908169,0.510337,0.971615,0.973721,29.4321,0.23017,0.510337,0.491666,0.644195,1.5e-05
00060000,0.916763,0.510337,0.975572,0.977305,27.9687,0.218726,0.510337,0.536185,0.659454,1.1e-05
00070000,0.930778,0.510337,0.97896,0.980332,24.876,0.194539,0.510337,0.50486,0.645213,1.2e-05
00080000,0.931552,0.510337,0.979637,0.981035,24.912,0.194821,0.510337,0.52167,0.654473,1.2e-05
00090000,0.93736,0.510337,0.98087,0.982266,23.5753,0.184367,0.510337,0.503619,0.647402,1.2e-05
00100000,0.942935,0.510337,0.983953,0.984858,22.1098,0.172907,0.510337,0.505623,0.65025,1.5e-05
00110000,0.940844,0.510337,0.983816,0.98497,21.076,0.164822,0.510337,0.522125,0.652783,1.6e-05
00120000,0.947503,0.510337,0.985728,0.986493,20.1092,0.157262,0.510337,0.507004,0.649714,1.2e-05
00130000,0.943167,0.510337,0.984187,0.985165,21.6888,0.169614,0.510337,0.533968,0.657741,1.4e-05
00140000,0.933798,0.510337,0.982764,0.984007,23.5466,0.184143,0.510337,0.543459,0.646151,1.5e-05
00150000,0.952149,0.510337,0.986718,0.987317,19.1921,0.150089,0.510337,0.514719,0.648395,1.3e-05
00160000,0.951219,0.510337,0.985799,0.986545,19.1318,0.149618,0.510337,0.512148,0.652987,1.2e-05
00170000,0.944715,0.510337,0.985346,0.985956,20.3374,0.159046,0.510337,0.49619,0.653339,1.3e-05
00180000,0.948277,0.510337,0.987152,0.988039,19.1063,0.149418,0.510337,0.543152,0.642861,1.2e-05
00190000,0.945877,0.510337,0.987006,0.987877,19.731,0.154303,0.510337,0.544948,0.64479,1.4e-05
00200000,0.947813,0.510337,0.986324,0.986352,19.6502,0.153672,0.510337,0.498255,0.640861,1.4e-05
00210000,0.953852,0.510337,0.98731,0.987764,17.6595,0.138104,0.510337,0.513682,0.64873,1.3e-05
00220000,0.952691,0.510337,0.986688,0.987525,18.6973,0.14622,0.510337,0.524766,0.651128,1.6e-05
00230000,0.960588,0.510337,0.988656,0.989068,17.0615,0.133427,0.510337,0.521926,0.655111,1.3e-05
00240000,0.960511,0.510337,0.989047,0.989757,16.1599,0.126376,0.510337,0.509681,0.771346,1.6e-05
00250000,0.954317,0.510337,0.987746,0.988252,17.2852,0.135177,0.510337,0.510899,0.7283,1.3e-05
00260000,0.963144,0.510337,0.989807,0.990383,15.7306,0.123019,0.510337,0.527404,0.759217,1.7e-05
00270000,0.957724,0.510337,0.988117,0.988702,17.1625,0.134217,0.510337,0.512673,0.710566,2e-05
00280000,0.961518,0.510337,0.988766,0.989609,16.1394,0.126216,0.510337,0.521266,0.748703,1.4e-05
00290000,0.958653,0.510337,0.988317,0.988979,16.3607,0.127947,0.510337,0.518562,0.764448,1.5e-05
00300000,0.966163,0.510337,0.989958,0.990743,15.4948,0.121175,0.510337,0.526627,0.827124,1.3e-05
