global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.876732,0.510337,0.970151,0.97324,36.1909,0.283026,0.510337,0.602187,1.10063
00020000,0.919319,0.510337,0.982705,0.984468,27.0191,0.2113,0.510337,0.567355,1.07371
00030000,0.947271,0.510337,0.98623,0.987497,19.8687,0.155381,0.510337,0.530284,1.09862
00040000,0.938366,0.510337,0.986353,0.987995,23.3858,0.182886,0.510337,0.548339,1.11425
00050000,0.952226,0.510337,0.983356,0.987982,24.6952,0.193126,0.510337,0.481057,1.09818
00060000,0.960201,0.510337,0.986359,0.988967,19.4577,0.152166,0.510337,0.511254,1.10057
00070000,0.955091,0.510337,0.983883,0.987216,22.5608,0.176434,0.510337,0.498452,1.09958
00080000,0.94007,0.510337,0.976513,0.985498,38.7502,0.303041,0.510337,0.455678,1.10973
00090000,0.964615,0.510337,0.98576,0.989487,21.2088,0.16586,0.510337,0.505244,1.10409
00100000,0.962911,0.510337,0.985415,0.988739,21.9498,0.171656,0.510337,0.512976,1.09693
00110000,0.957956,0.510337,0.982586,0.987335,26.8844,0.210246,0.510337,0.509634,1.102
00120000,0.949361,0.510337,0.979208,0.987261,34.6584,0.271041,0.510337,0.467357,1.10651
00130000,0.958111,0.510337,0.980931,0.988324,32.1101,0.251113,0.510337,0.47576,1.10341
00140000,0.963144,0.510337,0.987233,0.989542,20.7351,0.162156,0.510337,0.525738,1.12531
00150000,0.967789,0.510337,0.986024,0.990563,22.8235,0.178488,0.510337,0.492969,1.1142
00160000,0.960743,0.510337,0.985467,0.989003,22.9357,0.179365,0.510337,0.504451,1.09758
00170000,0.966938,0.510337,0.985153,0.990126,24.3575,0.190484,0.510337,0.492154,1.10182
00180000,0.969803,0.510337,0.987441,0.990821,20.3417,0.15908,0.510337,0.510218,1.09328
00190000,0.960666,0.510337,0.982456,0.986878,27.199,0.212706,0.510337,0.506778,1.04582
00200000,0.968099,0.510337,0.985802,0.990059,23.5581,0.184233,0.510337,0.496492,1.09599
00210000,0.971893,0.510337,0.987612,0.991059,20.6581,0.161554,0.510337,0.501389,1.04917
00220000,0.966241,0.510337,0.985553,0.988939,24.0862,0.188363,0.510337,0.513234,1.05131
00230000,0.968254,0.510337,0.985211,0.990053,24.8857,0.194615,0.510337,0.495452,1.04285
00240000,0.968254,0.510337,0.985407,0.990216,24.2494,0.189639,0.510337,0.49365,1.0502
00250000,0.971196,0.510337,0.984988,0.989646,25.3383,0.198154,0.510337,0.500651,1.06922
00260000,0.970887,0.510337,0.985276,0.990087,24.6102,0.192461,0.510337,0.498831,1.08631
00270000,0.967015,0.510337,0.984395,0.98999,27.5149,0.215176,0.510337,0.48937,1.14162
00280000,0.971661,0.510337,0.985965,0.990201,22.8759,0.178898,0.510337,0.500108,1.06265
00290000,0.973287,0.510337,0.986825,0.990688,22.5287,0.176183,0.510337,0.500894,1.11165
00300000,0.974216,0.510337,0.98679,0.990925,22.9476,0.179458,0.510337,0.500224,1.11036
