global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.847,0.510337,0.927049,0.930921,45.8122,0.358268,0.510337,0.518749,1.64573
00020000,0.90422,0.510337,0.968053,0.970102,32.226,0.252019,0.510337,0.46575,1.66906
00030000,0.942315,0.510337,0.983031,0.983977,22.8121,0.178399,0.510337,0.531338,1.66911
00040000,0.952458,0.510337,0.987885,0.988317,18.3902,0.143818,0.510337,0.495892,1.68954
00050000,0.946883,0.510337,0.990263,0.99048,19.2026,0.150171,0.510337,0.460571,1.64465
00060000,0.96384,0.510337,0.991651,0.991926,14.8128,0.115842,0.510337,0.488324,1.68648
00070000,0.967325,0.510337,0.99255,0.993202,13.836,0.108203,0.510337,0.532641,1.66006
00080000,0.958498,0.510337,0.992327,0.992863,16.2524,0.1271,0.510337,0.472737,1.66346
00090000,0.973829,0.510337,0.993499,0.994193,12.2632,0.0959029,0.510337,0.522027,1.71267
00100000,0.967789,0.510337,0.992919,0.993854,13.8183,0.108064,0.510337,0.486552,1.68717
00110000,0.970422,0.510337,0.992802,0.993892,13.6794,0.106978,0.510337,0.490434,1.70261
00120000,0.97499,0.510337,0.993371,0.994442,12.587,0.0984349,0.510337,0.497975,1.67356
00130000,0.969106,0.510337,0.99297,0.994209,14.5988,0.114168,0.510337,0.487694,1.65036
00140000,0.96477,0.510337,0.991359,0.993292,17.2729,0.13508,0.510337,0.481745,1.70773
00150000,0.971816,0.510337,0.993031,0.994422,14.2404,0.111365,0.510337,0.492126,1.64636
00160000,0.975377,0.510337,0.993141,0.994271,12.9574,0.101331,0.510337,0.500086,1.70422
00170000,0.976384,0.510337,0.992981,0.99417,13.2817,0.103868,0.510337,0.498665,1.70516
00180000,0.974371,0.510337,0.992584,0.993976,14.0787,0.110101,0.510337,0.496271,1.65972
00190000,0.975068,0.510337,0.992707,0.994125,13.9431,0.10904,0.510337,0.497024,1.68794
00200000,0.972358,0.510337,0.991829,0.993797,15.263,0.119362,0.510337,0.492248,1.59839
00210000,0.971816,0.510337,0.991328,0.993466,16.2455,0.127045,0.510337,0.489969,1.57674
00220000,0.976229,0.510337,0.992354,0.993959,14.2458,0.111408,0.510337,0.499824,1.58638
00230000,0.975532,0.510337,0.992578,0.99411,14.5389,0.1137,0.510337,0.497376,1.59805
00240000,0.976849,0.510337,0.992236,0.993577,13.8912,0.108634,0.510337,0.505739,1.57583
00250000,0.972358,0.510337,0.991564,0.993659,16.1483,0.126285,0.510337,0.493494,1.59597
00260000,0.975532,0.510337,0.992244,0.993786,14.822,0.115913,0.510337,0.499231,1.66778
00270000,0.975377,0.510337,0.992191,0.99386,15.1026,0.118108,0.510337,0.498477,1.69775
00280000,0.974913,0.510337,0.991865,0.993665,15.5913,0.12193,0.510337,0.495751,1.6716
00290000,0.977236,0.510337,0.992177,0.993796,14.2662,0.111567,0.510337,0.502414,1.68844
00300000,0.974835,0.510337,0.991656,0.99371,15.7957,0.123528,0.510337,0.496142,1.73308
