global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.689199,0.510337,0.772141,0.773534,75.5177,0.590576,0.510337,0.540654,0.483521,1.6e-05
00020000,0.695625,0.510337,0.799128,0.800185,73.0221,0.57106,0.510337,0.595131,0.363757,1.1e-05
00030000,0.732559,0.510337,0.817841,0.81865,68.7124,0.537356,0.510337,0.459264,0.366138,1.5e-05
00040000,0.741463,0.510337,0.830474,0.831751,66.4669,0.519795,0.510337,0.559744,0.366901,1.3e-05
00050000,0.760821,0.510337,0.841441,0.842842,63.8772,0.499543,0.510337,0.53035,0.361533,1.6e-05
00060000,0.770732,0.510337,0.850881,0.852362,62.2323,0.486679,0.510337,0.490029,0.353195,1.4e-05
00070000,0.774061,0.510337,0.858572,0.860271,61.0145,0.477155,0.510337,0.544338,0.370464,1.5e-05
00080000,0.782733,0.510337,0.866061,0.867855,59.5,0.465311,0.510337,0.483945,0.356056,1.2e-05
00090000,0.78583,0.510337,0.872385,0.874429,58.5253,0.457689,0.510337,0.472713,0.366674,1.3e-05
00100000,0.794735,0.510337,0.877249,0.879704,57.188,0.447231,0.510337,0.54042,0.364297,1.3e-05
00110000,0.801316,0.510337,0.882921,0.885443,55.8525,0.436787,0.510337,0.532688,0.364405,1.5e-05
00120000,0.80813,0.510337,0.88848,0.891404,54.5031,0.426234,0.510337,0.5099,0.366306,1.5e-05
00130000,0.812234,0.510337,0.893295,0.896427,53.4655,0.418119,0.510337,0.518883,0.365439,1.6e-05
00140000,0.804181,0.510337,0.898526,0.901915,54.2408,0.424183,0.510337,0.444695,0.368627,1.2e-05
00150000,0.809911,0.510337,0.901174,0.904733,52.8183,0.413058,0.510337,0.565472,0.36976,1.4e-05
00160000,0.820132,0.510337,0.906176,0.909597,51.3043,0.401218,0.510337,0.466173,0.356572,1.3e-05
00170000,0.83043,0.510337,0.909865,0.91375,49.6088,0.387958,0.510337,0.524448,0.36335,1.3e-05
00180000,0.8271,0.510337,0.914102,0.918153,49.6621,0.388376,0.510337,0.462009,0.359756,1.3e-05
00190000,0.830197,0.510337,0.916318,0.920453,48.7243,0.381042,0.510337,0.555457,0.361784,1.6e-05
00200000,0.842199,0.510337,0.919775,0.924006,47.0067,0.36761,0.510337,0.52546,0.368103,1.3e-05
00210000,0.8271,0.510337,0.921895,0.926148,48.5251,0.379484,0.510337,0.580169,0.367658,1.4e-05
00220000,0.832443,0.510337,0.925081,0.929515,47.6731,0.372821,0.510337,0.579683,0.362068,1.2e-05
00230000,0.846767,0.510337,0.928677,0.933111,45.1761,0.353294,0.510337,0.549493,0.3707,1.6e-05
00240000,0.856059,0.510337,0.931854,0.936214,43.5859,0.340857,0.510337,0.507601,0.45792,1.4e-05
00250000,0.847309,0.510337,0.934933,0.939296,44.3836,0.347096,0.510337,0.454645,0.501412,1.8e-05
00260000,0.858459,0.510337,0.936341,0.940788,42.7027,0.333951,0.510337,0.544144,0.488633,2.5e-05
00270000,0.861943,0.510337,0.938836,0.943267,42.0915,0.329171,0.510337,0.547656,0.528663,1.9e-05
00280000,0.863569,0.510337,0.941685,0.945903,41.1564,0.321858,0.510337,0.478272,0.475632,1.5e-05
00290000,0.866434,0.510337,0.943719,0.947901,40.2693,0.314921,0.510337,0.484728,0.482961,1.7e-05
00300000,0.872861,0.510337,0.945595,0.949819,39.2822,0.307201,0.510337,0.503079,0.477415,2e-05
