global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.717228,0.510337,0.801813,0.810164,70.304,0.549803,0.510337,0.576054,0.231465,1.3e-05
00020000,0.745335,0.510337,0.829229,0.84192,65.059,0.508785,0.510337,0.545323,0.22572,1.3e-05
00030000,0.760588,0.510337,0.842922,0.856888,62.3669,0.487732,0.510337,0.523608,0.227015,1.4e-05
00040000,0.75362,0.510337,0.850445,0.864256,62.5866,0.48945,0.510337,0.447171,0.228652,1.5e-05
00050000,0.759659,0.510337,0.849103,0.863431,61.5306,0.481192,0.510337,0.480112,0.226302,1.7e-05
00060000,0.766938,0.510337,0.86158,0.874941,60.5823,0.473776,0.510337,0.57507,0.22671,1.6e-05
00070000,0.78072,0.510337,0.867972,0.881319,57.9144,0.452911,0.510337,0.487626,0.226398,1.4e-05
00080000,0.778629,0.510337,0.865858,0.879362,58.0599,0.45405,0.510337,0.505369,0.226932,1.7e-05
00090000,0.782811,0.510337,0.879658,0.89354,57.0915,0.446476,0.510337,0.574081,0.228167,1.4e-05
00100000,0.794812,0.510337,0.881178,0.894337,55.1246,0.431094,0.510337,0.488452,0.225631,1.2e-05
00110000,0.799458,0.510337,0.884631,0.897239,54.1816,0.42372,0.510337,0.505434,0.228405,1.3e-05
00120000,0.795819,0.510337,0.885663,0.898339,54.8313,0.428801,0.510337,0.472613,0.227624,1.3e-05
00130000,0.799768,0.510337,0.890699,0.903169,53.9967,0.422274,0.510337,0.556909,0.224375,1.5e-05
00140000,0.78405,0.510337,0.889004,0.9025,56.7656,0.443928,0.510337,0.593077,0.22555,1.2e-05
00150000,0.809137,0.510337,0.893442,0.906269,52.6739,0.411929,0.510337,0.487313,0.22632,1.3e-05
00160000,0.801703,0.510337,0.889933,0.901879,53.4434,0.417947,0.510337,0.48967,0.225175,1.4e-05
00170000,0.811769,0.510337,0.895115,0.907492,52.3005,0.409009,0.510337,0.493974,0.22566,1.5e-05
00180000,0.79969,0.510337,0.899162,0.911464,54.0819,0.42294,0.510337,0.433442,0.226118,1.6e-05
00190000,0.809911,0.510337,0.901884,0.913809,52.0172,0.406793,0.510337,0.457354,0.224602,1.3e-05
00200000,0.793961,0.510337,0.900881,0.913263,54.6228,0.42717,0.510337,0.598679,0.227531,2.2e-05
00210000,0.807356,0.510337,0.904586,0.915548,52.2075,0.408282,0.510337,0.443399,0.224725,1.4e-05
00220000,0.786372,0.510337,0.895435,0.907392,56.5047,0.441887,0.510337,0.416324,0.226471,1.3e-05
00230000,0.801781,0.510337,0.897112,0.909669,52.9936,0.41443,0.510337,0.564521,0.226631,1.5e-05
00240000,0.819202,0.510337,0.902261,0.912527,50.9578,0.398509,0.510337,0.533731,0.226253,1.3e-05
00250000,0.824855,0.510337,0.907058,0.918289,49.3259,0.385747,0.510337,0.515688,0.223838,1.3e-05
00260000,0.821138,0.510337,0.908447,0.919464,49.3677,0.386074,0.510337,0.483989,0.225881,1.3e-05
00270000,0.814402,0.510337,0.90552,0.916793,50.6347,0.395982,0.510337,0.466448,0.225092,1.3e-05
00280000,0.822609,0.510337,0.907202,0.918591,49.476,0.38692,0.510337,0.487567,0.22456,1.3e-05
00290000,0.790244,0.510337,0.907045,0.918598,56.1586,0.439181,0.510337,0.396848,0.224868,1.3e-05
00300000,0.81084,0.510337,0.909724,0.920979,51.4233,0.402149,0.510337,0.584716,0.224367,1.5e-05
