global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.747348,0.510337,0.869037,0.880007,63.6863,0.49805,0.510337,0.628695,0.572463,1.3e-05
00020000,0.822455,0.510337,0.907042,0.915884,49.3492,0.385929,0.510337,0.50872,0.557316,1.3e-05
00030000,0.820441,0.510337,0.931173,0.94023,50.4185,0.394291,0.510337,0.401432,0.567932,1.4e-05
00040000,0.86566,0.510337,0.941947,0.950136,39.8901,0.311955,0.510337,0.537539,0.560333,1.3e-05
00050000,0.867751,0.510337,0.956282,0.96267,41.8836,0.327545,0.510337,0.419105,0.560305,1.4e-05
00060000,0.8765,0.510337,0.963555,0.969258,36.9874,0.289255,0.510337,0.58479,0.562616,1.2e-05
00070000,0.908788,0.510337,0.966758,0.971237,31.2207,0.244157,0.510337,0.484458,0.555166,1.4e-05
00080000,0.90724,0.510337,0.970194,0.974702,31.5544,0.246767,0.510337,0.55286,0.558272,1.3e-05
00090000,0.92381,0.510337,0.973476,0.97707,27.4418,0.214605,0.510337,0.510366,0.559057,1.2e-05
00100000,0.930081,0.510337,0.975022,0.979111,28.4385,0.2224,0.510337,0.478655,0.558649,1.5e-05
00110000,0.925203,0.510337,0.975407,0.979903,28.3928,0.222042,0.510337,0.529857,0.560905,1.2e-05
00120000,0.931707,0.510337,0.977398,0.981138,27.1492,0.212317,0.510337,0.513708,0.556532,1.2e-05
00130000,0.933488,0.510337,0.976693,0.980434,27.0194,0.211301,0.510337,0.51862,0.547411,1.6e-05
00140000,0.933101,0.510337,0.97589,0.980295,28.4456,0.222455,0.510337,0.509115,0.558546,1.4e-05
00150000,0.939063,0.510337,0.978764,0.982675,26.7791,0.209422,0.510337,0.501396,0.555889,1.6e-05
00160000,0.925513,0.510337,0.97677,0.981793,34.1091,0.266746,0.510337,0.456913,0.545058,1.4e-05
00170000,0.941154,0.510337,0.977305,0.981725,29.4439,0.230262,0.510337,0.495936,0.558379,1.4e-05
00180000,0.934882,0.510337,0.97838,0.9835,33.1531,0.259269,0.510337,0.464812,0.54734,1.8e-05
00190000,0.944328,0.510337,0.978886,0.983427,29.1887,0.228266,0.510337,0.492989,0.558408,1.4e-05
00200000,0.950136,0.510337,0.981232,0.985455,28.0175,0.219107,0.510337,0.491149,0.54705,1.2e-05
00210000,0.945335,0.510337,0.978116,0.983376,30.9639,0.242149,0.510337,0.492221,0.548406,1.4e-05
00220000,0.943941,0.510337,0.978847,0.983638,30.7544,0.240511,0.510337,0.49773,0.555651,1.4e-05
00230000,0.947813,0.510337,0.98027,0.984356,28.9852,0.226675,0.510337,0.518767,0.555187,1.3e-05
00240000,0.946961,0.510337,0.979355,0.984275,32.4227,0.253557,0.510337,0.484187,0.544738,1.7e-05
00250000,0.952768,0.510337,0.980667,0.985514,31.9938,0.250203,0.510337,0.48844,0.556762,1.5e-05
00260000,0.951684,0.510337,0.979766,0.98465,32.556,0.2546,0.510337,0.494631,0.556096,1.3e-05
00270000,0.950213,0.510337,0.980092,0.984397,30.4296,0.237971,0.510337,0.501065,0.556485,1.5e-05
00280000,0.951374,0.510337,0.980027,0.985074,33.0925,0.258795,0.510337,0.494706,0.55634,1.7e-05
00290000,0.951994,0.510337,0.98011,0.984829,32.4011,0.253388,0.510337,0.500839,0.556836,1.5e-05
00300000,0.948277,0.510337,0.978666,0.983581,36.9329,0.288829,0.510337,0.511495,0.556088,1.3e-05
