global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.700426,0.510337,0.810834,0.823761,72.0137,0.563173,0.510337,0.395762,0.851295
00020000,0.754936,0.510337,0.840572,0.854178,62.6719,0.490117,0.510337,0.499347,0.824849
00030000,0.774139,0.510337,0.86392,0.878066,58.9321,0.46087,0.510337,0.476923,0.828937
00040000,0.772513,0.510337,0.865063,0.879774,58.7315,0.459302,0.510337,0.544656,0.830585
00050000,0.769803,0.510337,0.872587,0.887224,60.5181,0.473274,0.510337,0.582413,0.841234
00060000,0.797832,0.510337,0.891387,0.903503,55.0251,0.430316,0.510337,0.463587,0.850867
00070000,0.813705,0.510337,0.903605,0.916604,50.4739,0.394724,0.510337,0.527998,0.847992
00080000,0.819125,0.510337,0.908719,0.920882,49.8752,0.390042,0.510337,0.538609,0.843447
00090000,0.828417,0.510337,0.915025,0.926671,48.666,0.380586,0.510337,0.542595,0.84738
00100000,0.836779,0.510337,0.919245,0.930362,46.9916,0.367492,0.510337,0.506459,0.842956
00110000,0.829191,0.510337,0.916827,0.928535,49.1655,0.384492,0.510337,0.470403,0.853426
00120000,0.834611,0.510337,0.925892,0.93579,47.683,0.372899,0.510337,0.449259,0.849839
00130000,0.836392,0.510337,0.92425,0.934339,47.3865,0.370579,0.510337,0.461803,0.843773
00140000,0.844135,0.510337,0.926496,0.93619,46.0101,0.359816,0.510337,0.520372,0.851717
00150000,0.83554,0.510337,0.923584,0.933908,48.4519,0.378912,0.510337,0.451308,0.849517
00160000,0.84336,0.510337,0.927722,0.937979,45.9195,0.359108,0.510337,0.477909,0.858625
00170000,0.844522,0.510337,0.928592,0.939512,45.3915,0.354978,0.510337,0.524957,0.850646
00180000,0.839489,0.510337,0.925597,0.936527,49.2753,0.38535,0.510337,0.45399,0.848519
00190000,0.850794,0.510337,0.931551,0.94121,44.9834,0.351787,0.510337,0.507599,0.86218
00200000,0.848858,0.510337,0.931234,0.940804,45.4675,0.355572,0.510337,0.528727,0.845776
00210000,0.849322,0.510337,0.928946,0.939599,45.7684,0.357926,0.510337,0.501318,0.851228
00220000,0.849013,0.510337,0.929113,0.93982,46.9432,0.367113,0.510337,0.465895,0.848435
00230000,0.819202,0.510337,0.925229,0.936471,51.7214,0.40448,0.510337,0.595598,0.849545
00240000,0.843825,0.510337,0.930112,0.940814,49.9196,0.390389,0.510337,0.441033,0.853339
00250000,0.856988,0.510337,0.934756,0.944761,44.4934,0.347955,0.510337,0.523315,0.851835
00260000,0.862253,0.510337,0.937439,0.94685,44.0879,0.344784,0.510337,0.514685,0.853612
00270000,0.860163,0.510337,0.938922,0.948445,44.8239,0.350539,0.510337,0.464908,0.852562
00280000,0.861247,0.510337,0.937587,0.946783,45.2214,0.353648,0.510337,0.471439,0.846298
00290000,0.849864,0.510337,0.93712,0.945795,45.5307,0.356067,0.510337,0.554559,0.85724
00300000,0.859388,0.510337,0.936767,0.947154,45.5123,0.355923,0.510337,0.468269,0.845927
