global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.627875,0.510337,0.747896,0.754975,78.993,0.617754,0.510337,0.416217,0.73709,1.7e-05
00020000,0.689199,0.510337,0.762369,0.768337,76.0205,0.594508,0.510337,0.569642,0.725428,1.4e-05
00030000,0.699806,0.510337,0.769985,0.776855,74.9503,0.586139,0.510337,0.554039,0.735127,1.2e-05
00040000,0.702516,0.510337,0.778967,0.789602,74.6432,0.583737,0.510337,0.570961,0.733923,1.4e-05
00050000,0.694309,0.510337,0.783183,0.793661,75.9647,0.594071,0.510337,0.591584,0.734064,1.2e-05
00060000,0.70933,0.510337,0.785535,0.793049,73.8676,0.577672,0.510337,0.564903,0.726104,1.3e-05
00070000,0.717305,0.510337,0.795682,0.808995,74.4035,0.581862,0.510337,0.513526,0.723682,1.2e-05
00080000,0.710259,0.510337,0.787585,0.798029,75.3612,0.589352,0.510337,0.531716,0.727341,1.3e-05
00090000,0.674487,0.510337,0.790287,0.799765,75.8905,0.593492,0.510337,0.602281,0.726139,1.8e-05
00100000,0.609756,0.510337,0.772506,0.789932,79.9624,0.625335,0.510337,0.652695,0.723827,1.6e-05
00110000,0.714828,0.510337,0.787316,0.798683,72.9049,0.570143,0.510337,0.526184,0.718857,1.3e-05
00120000,0.676965,0.510337,0.788088,0.804699,75.8776,0.59339,0.510337,0.624176,0.723362,1.4e-05
00130000,0.669299,0.510337,0.787912,0.801811,76.7041,0.599854,0.510337,0.623731,0.71667,1.3e-05
00140000,0.710801,0.510337,0.797056,0.813327,74.0621,0.579192,0.510337,0.544818,0.725557,1.3e-05
00150000,0.635695,0.510337,0.811736,0.823045,75.7422,0.592331,0.510337,0.45046,0.721137,1.3e-05
00160000,0.658846,0.510337,0.787626,0.799516,77.3738,0.605091,0.510337,0.636751,0.72406,1.7e-05
00170000,0.727526,0.510337,0.802333,0.815031,73.3856,0.573902,0.510337,0.490788,0.721404,1.4e-05
00180000,0.725436,0.510337,0.806279,0.818398,72.3538,0.565833,0.510337,0.514868,0.721216,1.3e-05
00190000,0.713511,0.510337,0.785222,0.794413,73.2587,0.57291,0.510337,0.574008,0.717798,1.5e-05
00200000,0.678126,0.510337,0.783647,0.811541,76.5929,0.598984,0.510337,0.584554,0.723974,1.3e-05
00210000,0.713821,0.510337,0.79671,0.812125,73.511,0.574882,0.510337,0.57414,0.724703,1.3e-05
00220000,0.664499,0.510337,0.796779,0.810707,76.9986,0.602157,0.510337,0.639452,0.726636,1.3e-05
00230000,0.709717,0.510337,0.801163,0.816657,73.0146,0.571,0.510337,0.570231,0.722042,1.3e-05
00240000,0.700348,0.510337,0.778836,0.7983,75.4033,0.589681,0.510337,0.564542,0.724533,1.3e-05
00250000,0.702749,0.510337,0.789126,0.80928,72.1083,0.563913,0.510337,0.557027,0.721277,1.3e-05
00260000,0.685559,0.510337,0.785429,0.797001,76.6712,0.599597,0.510337,0.593407,0.726867,1.2e-05
00270000,0.704297,0.510337,0.790173,0.811375,76.735,0.600096,0.510337,0.549362,0.721125,1.3e-05
00280000,0.649632,0.510337,0.785846,0.814204,79.1814,0.619227,0.510337,0.654088,0.7212,1.5e-05
00290000,0.68192,0.510337,0.782509,0.797266,74.3473,0.581423,0.510337,0.599925,0.715975,2.3e-05
00300000,0.678978,0.510337,0.801162,0.819944,76.2501,0.596304,0.510337,0.622761,0.724293,1.5e-05
