global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.510337,0.510337,0.5,0.755168,88.6136,0.692991,0.510337,0.515721,1.621
00020000,0.489663,0.510337,0.5,0.755168,88.8585,0.694906,0.510337,0.478939,1.65808
00030000,0.489663,0.510337,0.5,0.755168,89.6376,0.700999,0.510337,0.446991,1.61587
00040000,0.489663,0.510337,0.5,0.755168,90.6039,0.708556,0.510337,0.422447,1.64589
00050000,0.489663,0.510337,0.5,0.755168,89.4261,0.699345,0.510337,0.453822,1.63993
00060000,0.489663,0.510337,0.5,0.755168,92.0741,0.720053,0.510337,0.39511,1.65145
00070000,0.510337,0.510337,0.5,0.755168,88.6102,0.692964,0.510337,0.514261,1.6621
00080000,0.510337,0.510337,0.5,0.755168,88.614,0.692994,0.510337,0.515831,1.6369
00090000,0.510337,0.510337,0.5,0.755168,88.6189,0.693032,0.510337,0.517379,1.64373
00100000,0.510337,0.510337,0.5,0.755168,88.8771,0.695051,0.510337,0.542809,1.659
00110000,0.510337,0.510337,0.5,0.755168,91.0213,0.711819,0.510337,0.606324,1.62704
00120000,0.510337,0.510337,0.5,0.755168,88.8735,0.695023,0.510337,0.542588,1.62284
00130000,0.510337,0.510337,0.5,0.755168,88.981,0.695864,0.510337,0.548513,1.66484
00140000,0.510337,0.510337,0.5,0.755168,89.8837,0.702923,0.510337,0.580506,1.6354
00150000,0.510337,0.510337,0.5,0.755168,88.6266,0.693092,0.510337,0.501428,1.65898
00160000,0.489663,0.510337,0.5,0.755168,88.6752,0.693472,0.510337,0.493931,1.63733
00170000,0.489663,0.510337,0.5,0.755168,90.3115,0.706269,0.510337,0.429059,1.64553
00180000,0.510337,0.510337,0.5,0.755168,90.9553,0.711304,0.510337,0.605031,1.63969
00190000,0.489663,0.510337,0.5,0.755168,90.5894,0.708442,0.510337,0.422762,1.65791
00200000,0.510337,0.510337,0.5,0.755168,88.6531,0.693299,0.510337,0.523856,1.63648
00210000,0.510337,0.510337,0.5,0.755168,88.6553,0.693317,0.510337,0.524184,1.6302
00220000,0.489663,0.510337,0.5,0.755168,91.1353,0.712711,0.510337,0.411621,1.63884
00230000,0.510337,0.510337,0.5,0.755168,89.5571,0.700369,0.510337,0.570969,1.62665
00240000,0.489663,0.510337,0.5,0.755168,88.7782,0.694278,0.510337,0.484417,1.6264
00250000,0.489663,0.510337,0.5,0.755168,92.2819,0.721678,0.510337,0.39179,1.63345
00260000,0.489663,0.510337,0.5,0.755168,91.129,0.712662,0.510337,0.411741,1.63695
00270000,0.489663,0.510337,0.5,0.755168,89.7408,0.701805,0.510337,0.443923,1.62525
00280000,0.489663,0.510337,0.5,0.755168,92.2807,0.721669,0.510337,0.391809,1.64656
00290000,0.510337,0.510337,0.5,0.755168,88.7316,0.693914,0.510337,0.532449,1.62846
00300000,0.489663,0.510337,0.5,0.755168,89.7911,0.702199,0.510337,0.442474,1.64068
