global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.688657,0.510337,0.796756,0.812113,71.7385,0.561021,0.510337,0.417972,1.4298
00020000,0.768641,0.510337,0.868618,0.888188,59.0814,0.462038,0.510337,0.582668,1.42485
00030000,0.850871,0.510337,0.928352,0.939788,44.1325,0.345132,0.510337,0.534835,1.41911
00040000,0.893225,0.510337,0.952762,0.961974,36.0031,0.281557,0.510337,0.523261,1.44062
00050000,0.893999,0.510337,0.957524,0.965821,35.8884,0.28066,0.510337,0.471972,1.42633
00060000,0.905149,0.510337,0.960615,0.968421,33.1232,0.259036,0.510337,0.526212,1.43087
00070000,0.931785,0.510337,0.971991,0.977715,28.5652,0.22339,0.510337,0.497533,1.44879
00080000,0.921487,0.510337,0.968486,0.975479,30.4508,0.238136,0.510337,0.521309,1.45373
00090000,0.898258,0.510337,0.967344,0.973507,35.8941,0.280705,0.510337,0.574486,1.48328
00100000,0.929849,0.510337,0.970785,0.976256,30.7325,0.24034,0.510337,0.51717,1.4209
00110000,0.930159,0.510337,0.970408,0.976963,31.5212,0.246507,0.510337,0.489008,1.43031
00120000,0.937592,0.510337,0.972181,0.978639,28.306,0.221363,0.510337,0.514232,1.42681
00130000,0.931862,0.510337,0.969878,0.977042,30.9655,0.242162,0.510337,0.504085,1.44411
00140000,0.933178,0.510337,0.972547,0.978733,28.9697,0.226554,0.510337,0.502185,1.42395
00150000,0.930159,0.510337,0.972206,0.978701,30.3485,0.237337,0.510337,0.479361,1.42323
00160000,0.928146,0.510337,0.971301,0.97773,31.2287,0.24422,0.510337,0.522857,1.42437
00170000,0.947425,0.510337,0.979285,0.983799,25.6482,0.200578,0.510337,0.500198,1.42624
00180000,0.943089,0.510337,0.976636,0.981979,28.5069,0.222934,0.510337,0.52771,1.46671
00190000,0.947038,0.510337,0.978729,0.983279,27.0196,0.211303,0.510337,0.520308,1.4657
00200000,0.932094,0.510337,0.973383,0.979165,31.3388,0.245081,0.510337,0.531552,1.45003
00210000,0.935501,0.510337,0.976084,0.981247,30.7061,0.240133,0.510337,0.473304,1.4487
00220000,0.936043,0.510337,0.974661,0.980491,30.7768,0.240686,0.510337,0.531068,1.43021
00230000,0.946574,0.510337,0.979372,0.984129,27.8553,0.217839,0.510337,0.521493,1.44251
00240000,0.933488,0.510337,0.976088,0.981746,31.3889,0.245473,0.510337,0.540559,1.42717
00250000,0.937669,0.510337,0.975679,0.981012,31.2117,0.244087,0.510337,0.522715,1.42622
00260000,0.949671,0.510337,0.980999,0.985427,27.3196,0.213649,0.510337,0.49016,1.44154
00270000,0.954859,0.510337,0.981771,0.98585,27.1955,0.212679,0.510337,0.502185,1.45421
00280000,0.9506,0.510337,0.980654,0.985052,27.5985,0.21583,0.510337,0.507768,1.44528
00290000,0.938986,0.510337,0.978523,0.982261,31.9985,0.25024,0.510337,0.545195,1.42224
00300000,0.950213,0.510337,0.979919,0.984609,31.291,0.244707,0.510337,0.521371,1.42541
